"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
6844.86,6896,65050,2905.98,2768,68802.9,8968.06,9.62,0.562293
9781.2,9698,66098.2,3277.46,3198,67164.4,10705.6,4.44,0.564498
20235.6,19252,68884.3,7634.58,7184,69646.4,20036.2,22.94,0.565601
7543.14,7699,64209.3,2606.28,2535,67378.8,7690.82,45.88,0.565601
18562.5,18027,67482.8,8161.46,7830,68310.3,28265,3.7,0.566703
11914.3,11749,66458.2,3626.74,3489,68123.3,11011.2,40.7,0.566703
12316.3,11959,67493.8,4505.86,4331,68182,8326.48,37,0.566703
6124.14,6091,65892.6,2832.72,2726,68101.7,21723.4,46.62,0.567806
12592.8,11182,73804.5,8121.5,7294,72971,10140.2,49.58,0.567806
11752.6,11395,67592.8,5365,5131,68524.8,7122.5,-3.7,0.567806
8548.98,7675,72998.8,4463.68,4054,72158.8,7149.14,127.28,0.570011
34305.5,25430,88409.1,28515.2,21394,87350.2,23239,122.84,0.570011
17796.2,16587,70313.8,8044.54,7542,69902.8,17623.8,2.22,0.572216
19363.1,18155,69896.9,6636.32,6150,70718.4,36486.4,34.04,0.573319
24676.7,21425,75482.6,14246.5,12325,75753.1,9892.32,23.68,0.575524
14450,12719,74455.4,8122.98,7298,72944.3,18022,74,0.575524
10838.5,10451,67966.1,3312.98,3215,67533.3,9187.84,37.74,0.575524
27553,16745,107836,21938,15977,89987.6,18294.3,107.3,0.576626
10631.3,10344,67356.1,4174.34,4040,67715.2,16905.3,2.96,0.577729
17635.2,15943,72492,14254.6,13043,71623.9,13818.8,63.64,0.578831
13762.3,12240,73686.9,8014.2,7236,72584.1,36089.8,15.54,0.578831
12571,11838,69594.1,7717.46,7242,69838.6,12796.8,-5.18,0.583242
12786.8,12331,67958.7,5260.66,5003,68911.2,14091.8,-25.16,0.585447
15454.6,14698,68909.4,6309.98,6007,68841.5,41906.2,15.54,0.585447
11196.2,10934,67107.8,3178.3,3070,67847.9,21762.7,14.06,0.586549
15685.6,14914,68926.4,5399.04,5150,68705.1,10082.5,39.96,0.588754
15075.7,14435,68444.9,5742.4,5483,68636.5,8750.5,98.42,0.588754
12681.9,12043,69012.8,4712.32,4502,68597.6,11760.1,42.92,0.592062
23977.1,20682,75977.5,14222.1,12179,76529.9,17501,77.7,0.593164
7986.66,7810,67018.4,3874.64,3686,68890,26956,-14.06,0.595369
12765.7,12150,68857.1,5434.56,5170,68889.6,6394.34,40.7,0.595369
11178.4,10220,71681.9,7627.18,6933,72097.9,21602.8,23.68,0.595369
14184.7,12804,72603.1,11252.4,10208,72241.4,13456.2,10.36,0.596472
7450.74,7271,67156.1,3147.96,3043,67796.5,13889.8,13.32,0.596472
17166.6,15989,70362.8,7344.5,6901,69747.7,14236.9,12.58,0.597574
17626,16651,69373.3,6523.1,6207,68873.5,14640.9,11.84,0.597574
22512.6,19361,76204,12376.5,10837,74846,15908.5,82.14,0.598677
22026.2,18846,76594.9,11315.3,9610,77165.7,72323.2,37,0.598677
16216.9,15303,69449.7,6264.84,5887,69742.2,10967.5,14.8,0.598677
15387.9,13290,75881.2,9648.12,8366,75579.6,31040,12.58,0.59978
14058.7,13206,69767.4,6687.38,6386,68628.9,18864.8,88.06,0.59978
16229.4,12642,84133,12540,10366,79280.7,38101.9,204.98,0.600882
9804.96,9514,67540.3,5150.4,4958,68079.2,10670.8,18.5,0.601985
22442.6,18386,79995.7,10333.4,8782,77113.1,16151.2,47.36,0.60419
12399.4,11943,68040.6,4495.5,4327,68088.1,6883.48,-7.4,0.60419
9530.4,9341,66864.8,3060.64,2973,67467.9,30224.6,-28.86,0.60419
14862.5,12373,78722.3,9421.68,8261,74743.9,12197.4,22.94,0.605292
18489.2,17301,70037,7928.36,7345,70741.1,30009.2,73.26,0.606395
17068.9,15995,69936.1,7007.06,6598,69599.1,21746.4,19.24,0.606395
15213.7,13909,71683.3,6723.64,6097,72271.7,14792.6,64.38,0.606395
19784.8,17818,72770.1,6789.5,6007,74073,19002.5,39.22,0.607497
17736.8,16915,68720.2,7552.44,7215,68601.1,14905.1,68.82,0.6086
21040.8,18895,72978.6,13024.7,11602,73572.6,8504.82,172.42,0.609702
14945.7,14282,68581.5,5407.92,5171,68538.7,24092.2,37,0.610805
18332.8,17334,69312.3,6628.18,6350,68407,6681.46,7.4,0.61301
11162.6,9947,73544.9,6784.32,6022,73832.2,34993.9,49.58,0.61301
18144.7,17399,68344.9,5109.7,4811,69604.9,6136.08,132.46,0.620728
9851.16,9629,67048.1,3407.7,3325,67166,10479.1,11.84,0.62183
19070,16822,74294,8026.04,7030,74821.4,11575.1,50.32,0.622933
16137,15451,68445.7,5597.36,5398,67956.4,18261.7,40.7,0.622933
15475,14598,69473.3,6041.36,5686,69631.8,38696.8,75.48,0.624035
18305.1,14383,83407,12352.8,10559,76669.6,7484.36,-0.74,0.624035
16083.5,13535,77875.9,8316.86,7410,73556.5,35844.1,49.58,0.624035
13113.5,12523,68626.4,5695.78,5382,69356.9,29919.7,22.94,0.625138
12330.1,11687,69142.4,6107.96,5855,68367.4,31128.1,21.46,0.62624
20421.1,19205,69685.7,6683.68,6421,68217,12358.7,54.02,0.627343
12955.8,12419,68368.7,4144,3951,68737.3,9377.28,14.8,0.628445
23904.5,15127,103564,27810.7,19295,94459.7,46559.3,160.58,0.629548
42149.6,35077,78750,23615.6,20357,76026.6,55631,58.46,0.631753
16177.3,15663,67687.7,5447.88,5282,67594.1,29042.8,5.92,0.633958
22510,21082,69975,13986.7,13031,70342.6,8648.38,104.34,0.633958
10146.8,10002,66485,3174.6,3082,67505.1,26042.1,-36.26,0.635061
14759.6,14031,68939.1,5921.48,5634,68880,10274.9,48.1,0.636163
21937.7,20210,71138.6,12726.5,11898,70099.6,9796.86,82.14,0.636163
14992.6,14366,68394.3,6420.24,6202,67842.1,6662.22,62.16,0.636163
