"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
17955.1,18003,65361.5,7226.24,7303,64847.2,9977.6,276.6,0.554442
17951.6,17859,65875.7,8206.08,8087,66501,8300.8,224.4,0.55551
15411.8,14611,69127.7,8018.56,7727,68008.8,26755.8,736.2,0.556578
18441.1,14793,81697.8,13134.7,11508,74799.9,11649.9,336.6,0.556578
14794.6,13815,70183.2,6822.4,6403,69828.6,7553.28,426.6,0.559783
11328.6,11498,64570.2,5537.92,5418,66986.5,20698.9,804,0.559783
7675.14,8123,61922.7,2506.24,2635,62333.6,5971.2,97.8,0.562988
10988.7,11311,63668.5,3618.56,3791,62555,11967.4,667.8,0.565125
21279,19423,71798.5,10262.4,9103,73883,17688.3,930,0.566193
27588.9,22339,80937.5,20389.1,15879,84150.2,38072.3,1771.2,0.566193
13333,12740,68586.7,10078.1,9704,68062.4,24495.4,832.2,0.567261
20865.5,17614,77633.8,15379.2,13598,74120.5,16814.7,606,0.568329
6496.58,6926,61472.7,2499.84,2538,64550.6,5953.28,211.2,0.571534
17715.5,17384,66785.8,9804.16,9409,68288.4,22757.1,643.8,0.575807
11377.3,11095,67203.4,7280.64,7127,66948.8,10111.4,382.8,0.579012
14075.4,14198,64970.3,6360.96,6438,64751.8,15930.9,985.2,0.584354
44696,38767,75559,30505,26731,74788.6,24047.4,917.4,0.589695
5052.38,5501,60191.4,1880.96,2016,61146.1,9160.32,235.8,0.591832
32690,25911,82681.8,25617.9,19451,86314.1,23134.7,737.4,0.595037
13603.9,13696,65095.3,5626.88,5804,63536,15405.4,211.8,0.597173
8548.04,8807,63609,3044.48,3191,62526.8,6940.8,119.4,0.598241
43899,32899,87448.5,69383.7,52907,85945.7,6933.76,772.8,0.601446
17108.3,16563,67693.5,8657.92,8819,64339,9800.96,439.8,0.602515
22378.1,15635,93800.7,20116.5,17943,73474.5,22601,964.8,0.602515
10004.4,9191,71336.1,8075.52,7559,70014.2,11219.2,618.6,0.604651
64555.7,39874,106102,38773.8,24426,104032,12657.9,475.8,0.605719
11366.3,10433,71398.4,6885.76,6429,70192.1,13590.4,273,0.609993
18795.5,17767,69329.7,9996.8,9675,67715.8,7933.44,202.2,0.614266
29275.5,24759,77491,13049.6,11571,73910.5,17750.4,544.2,0.621744
12556.4,12028,68415.2,7198.08,6785,69525.9,9877.12,399,0.626017
15361.3,15611,64487.7,5185.28,5211,65212.5,7253.76,220.8,0.629222
6399.72,6934,60486.3,2830.72,2902,63926.3,6558.72,207.6,0.633495
15515,15090,67381.8,8918.4,8638,67663.4,9652.48,456.6,0.634563
18503.2,18606,65173.8,6080.64,6231,63954.6,9787.52,159.6,0.635632
15445.4,14051,72039.7,12373.1,11543,70249.1,5963.52,389.4,0.6367
16208.1,16527,64271.4,7161.6,7138,65752.7,8652.16,273,0.6367
11824.5,11932,64945.3,6993.92,7089,64657,8949.12,166.2,0.637768
8769.6,9387,61225.6,2147.2,2246,62653.1,19046.4,348.6,0.637768
16332.2,15670,68305.6,6356.48,5774,72147.3,16346.9,797.4,0.638836
61832.6,43538,93074.2,42894.1,34494,81495.5,6570.88,170.4,0.642041
19664.9,19715,65369.5,9308.16,9383,65013.3,14798.7,249.6,0.648451
35138.1,25466,90427,19929,16407,79604.1,34885.1,917.4,0.650588
15635.1,13542,75665.3,9507.84,8478,73496.8,26610.6,485.4,0.656997
16440.1,16701,64512.2,4810.24,4592,68650.7,17356.2,288.6,0.662339
24268.9,20115,79069.8,16129.9,14451,73150,45118.1,1170,0.665544
16633.8,16969,64241.5,4688.64,4756,64607.8,15334.4,819.6,0.66768
56116.2,33803,108796,38482.6,23519,107232,32038.4,1543.8,0.66768
13077.3,12791,67002.7,7937.92,7479,69557.4,8740.48,391.2,0.669817
20787.8,20578,66204.1,9024.64,8978,65876.5,7838.08,192.6,0.670885
19474.7,17876,71396.9,9465.6,8796,70525,9345.92,723,0.670885
31917.4,27807,75223.5,12850.6,11327,74351,15431,766.2,0.670885
10297.9,10555,63939.7,4923.52,5003,64494.9,8256.64,248.4,0.671953
15632.7,15750,65048.1,5902.72,5926,65278.5,6264.96,208.2,0.67409
19182.9,18910,66481.9,8382.08,8439,65094,8553.6,294.6,0.67409
18839.6,15670,78791.9,11428.5,10018,74763.1,19427.2,1108.2,0.675158
18568.1,16998,71589.6,8819.84,8218,70335.5,15077.1,408,0.681568
16601.9,13967,77899.6,10871.7,9426,75587.4,22139.5,781.2,0.682636
17981.7,16558,71171.1,12759,11774,71018.9,11631.4,811.8,0.683704
17912.1,17224,68154.3,7448.96,7125,68515.8,18956.8,325.8,0.691182
14637.5,13766,69684.8,6554.24,6254,68682.2,10800,438.6,0.692251
36089.3,26750,88416.9,26338.6,19843,86989.1,46328.3,1633.8,0.696524
16629.2,16646,65469.8,7784.32,7922,64397,9892.48,420.6,0.697592
28533.1,25919,72145.7,12400.6,11759,69112,11017.6,650.4,0.698661
19278,18089,69843.9,9667.2,9252,68477.1,8650.88,410.4,0.702934
13844,12711,71377.7,8496.64,8259,67421.7,29258.2,868.8,0.702934
22350.9,22130,66190.1,8657.28,8686,65319.3,11598.7,278.4,0.71148
16119.9,16134,65478.9,7256.96,7298,65167.5,8046.72,565.2,0.714685
14229.1,14386,64821.4,8983.04,8982,65543.6,17836.2,653.4,0.715753
10764.2,11215,62901.8,4947.84,5119,63344.7,16781.4,27.6,0.715753
19189.3,18799,66896.6,10143.4,9938,66890.2,12291.2,109.2,0.716821
23236,22054,69048.3,11918.7,11430,68338.2,18061.4,310.8,0.716821
14745.9,13196,73233.4,10467.8,9573,71662,16691.2,514.2,0.71789
8100.28,8075,65741.2,3560.32,3606,64705.8,8272.64,537.6,0.724299
15197.7,15211,65478.9,5760,5931,63646.5,10496,264,0.725368
19837.7,19583,66388.5,7440,7695,63364.2,9077.76,379.2,0.725368
21547.6,17776,79440.9,12951.7,11900,71327.8,14969,500.4,0.726436
13710,13494,66585.2,6346.88,6490,64090.8,13872,669,0.726436
12847.6,12974,64897.4,4083.2,4186,63926.6,7969.92,391.2,0.730709
20102.2,17217,76518.5,14543.4,13577,70200.6,18208.6,798.6,0.734982
12833.7,12976,64817.1,6012.8,5852,67336.8,7585.28,234,0.738187
10461.5,10618,64569.8,5480.32,5495,65360.9,6126.72,231,0.739255
15082.3,15135,65307.9,5127.68,5298,63429.1,14256.6,462,0.74246
16602.5,15902,68422.9,9219.84,9166,65921,12151,511.2,0.744597
13114.4,10674,80519.4,11255,10230,72102.7,17132.2,574.2,0.747802
7636.86,7991,62631.6,2448,2543,63087.7,7152.64,161.4,0.756348
8999.86,9094,64857.6,4876.8,4870,65627.5,8023.68,160.2,0.758485
26855.2,20406,86248.2,19968,16166,80949.1,31966.7,1060.2,0.765963
13149.8,13254,65020.6,5411.2,5578,63576.3,21674.2,598.8,0.769168
27917.1,23382,78247.3,18837.8,16830,73354.2,19321,976.2,0.770236
31043.3,20391,99772.3,23596.8,17383,88962.8,15754.9,610.8,0.770236
12722.9,12214,68266.5,9560.32,9378,66810.1,12191.4,628.2,0.770236
7757.5,8023,63367.3,4517.12,4427,66870.1,12798.1,158.4,0.772372
8820.06,9103,63499,3192.96,3298,63448.7,9563.52,405,0.773441
25605.3,21635,77562.6,14960,13431,72996.7,14665.6,784.2,0.773441
14408.4,14182,66582,5404.16,5334,66398,19242.9,570,0.774509
20660.8,18933,71516.6,11254.4,10445,70614.5,8423.68,399,0.774509
17644.2,15344,75360.3,8498.56,7944,70111,30486.4,1123.2,0.775577
25775.2,21006,80415.3,13769.6,11946,75540.3,33813.8,1175.4,0.775577
10453.9,10760,63671.8,4359.04,4385,65148,8176,7.8,0.777714
34388.2,25054,89952.3,25556.5,17898,93578.6,36896.6,853.8,0.777714
15772.5,15950,64806.8,5845.12,5882,65125.1,9118.08,226.8,0.783055
67063.1,39201,112116,38497.9,27213,92713,25271.7,1418.4,0.785192
18155.2,15885,74901.9,11015,9824,73481.4,11325.4,598.8,0.78626
13652,13396,66788.6,8416,8584,64253.4,31513,503.4,0.788397
36863.6,31323,77128.5,16782.7,14518,75759.2,40213.8,2068.2,0.790533
15575.9,15523,65759.3,7981.44,8151,64172.7,14731.5,275.4,0.791602
55848.8,37266,98215.7,46456.3,30602,99489,35934.1,986.4,0.79267
7956.44,8358,62387.3,2989.44,3146,62274.6,11692.2,81,0.794806
40290.3,19461,135680,23333.1,13993,109280,13818.9,474,0.796943
21765.7,20891,68279.8,11276.8,10795,68461,8502.4,822,0.803353
12655,12738,65109.1,7287.04,7190,66420.5,13741.4,438,0.808694
19514.1,19323,66184.1,8673.92,8911,63792.4,19223.7,654.6,0.815104
22302.7,22096,66149.2,9994.88,10188,64293.7,26736.6,603.6,0.815104
16828.7,16434,67110,10236.8,10450,64198.9,13898.9,164.4,0.818309
17143.1,17563,63969,6257.28,6415,63924.7,15624.3,410.4,0.821514
17172.6,17601,63941,5539.2,5677,63945.2,12241.3,221.4,0.822582
25759,21315,79199.6,13609.6,12039,74085.8,12403.2,211.2,0.825787
23499.9,18504,83229.9,22569.6,19173,77146.1,19776.6,312.6,0.826855
19623.7,18607,69117,9690.88,9211,68950.3,24879.4,427.2,0.826855
12033.8,11686,67486.7,7833.6,7558,67925.8,15931.5,489.6,0.827923
