"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
9405,9287,66368.7,3230.1,3131,67610.3,10175,211.64,0.598638
11266.2,10723,68855.9,5607.72,5259,69881.6,20094,347.8,0.606355
20997.9,16616,82818.9,16125.3,13736,76935.8,19406.5,815.48,0.609663
16267,14943,71342.8,6716.24,6290,69977,14222.8,163.54,0.610765
13741.2,12567,71659.4,6270.76,5711,71959.5,40662.3,1043.4,0.610765
16169.3,15255,69464,6087.24,5779,69031.6,6666.66,315.98,0.611868
16586.5,15734,69086.7,4762.64,4590,68001,13190.5,130.98,0.618482
12709,12209,68219.7,5125.98,4917,68321.4,7097.34,100.64,0.620687
68634.7,43911,102436,36660.3,25099,95723.8,59119.3,2303.62,0.6262
14906.1,13614,71756,7317.12,6430,74577.7,15615.5,573.5,0.631712
13027.7,12601,67755.4,4911.38,4701,68468.9,26795.4,285.64,0.635019
5784.24,5611,67559.4,2133.42,2054,68070,13180.9,167.98,0.637224
15400.4,14694,68686.8,5479.7,5246,68455.5,19303.6,167.24,0.639429
11532.8,11242,67231.5,4847.74,4666,68088.6,16599.7,593.48,0.641634
16013.6,14174,74041.6,9889.36,8887,72927.8,12366.9,712.62,0.641634
17276.8,14140,80074.5,13232.7,11416,75965,43318.1,1428.2,0.649351
10385.8,9995,68098.2,3589.74,3423,68728.4,8767.52,268.62,0.652659
8640.72,8434,67142.3,3571.24,3450,67839.1,12180.4,420.32,0.654864
5209.38,5123,66641,2392.42,2315,67727.7,6943.42,163.54,0.654864
17253.1,16051,70444,7778.14,7327,69571.2,21081.9,652.68,0.655966
16531,15521,69800.7,7491.76,7109,69064.6,16285.9,278.24,0.661479
5821.86,5616,67938.3,2108.26,2036,67862,7516.18,207.2,0.664786
13255.4,12007,72350.2,8344.24,7647,71511.5,5969.58,281.2,0.664786
9566.04,8775,71443.9,6368.44,5891,70847.4,7439.96,140.6,0.668093
12664.1,11911,69679.6,5684.68,5347,69674.8,37568.3,1184.74,0.668093
33634.3,22113,99681.4,32392,23269,91230.5,41297.2,1002.7,0.674708
28997.8,24755,76768.2,8834.12,7567,76510.2,43672.6,1384.54,0.676913
14545.7,12944,73645.7,8498.9,7492,74343.8,9315.86,547.6,0.676913
10841.8,10510,67605.1,2877.12,2647,71233.5,10564.2,321.16,0.679118
28802.4,20453,92289.4,21558.4,17521,80637.7,15286.9,459.54,0.68463
18959.2,17395,71429,8366.44,7947,68995,6079.1,149.48,0.686835
16412.9,14775,72801,10559.1,9599,72090.7,28882.2,594.22,0.692348
7000.62,6886,66626.9,2923.74,2858,67043.5,19037.2,467.68,0.695655
15923.2,15095,69131.5,5221.44,5035,67962.7,25135.6,614.2,0.695655
14965.5,14218,68981.5,6463.16,6151,68861.9,9732.48,125.8,0.696757
21568.1,15838,89246.7,15202.6,11991,83088.6,62526.3,2545.6,0.698962
11227.3,10595,69446.9,5481.92,5247,68470.2,12585.9,244.94,0.70227
12032.5,11623,67844.7,4139.56,3999,67839.5,9588.18,187.96,0.704475
14085.1,13463,68564.1,4250.56,4059,68628.9,6702.18,319.68,0.704475
16846.5,15415,71621.9,10773.7,10015,70500.5,15107.1,253.82,0.707782
20716.1,19690,68951.2,6517.18,6195,68944.3,8160.72,196.84,0.715499
19726.7,18652,69312.2,8241.38,7644,70657.6,19874.2,563.14,0.718807
10633.3,9858,70689.9,5794.2,5358,70871.4,6361.78,228.66,0.722114
8024.94,7823,67227.7,3645.24,3506,68138.8,19817.9,261.96,0.723217
21471.1,19131,73552.4,9679.94,8687,73026.9,15640.6,592.74,0.724319
11334.8,10866,68363.7,5407.92,5178,68446,9384.68,148,0.726524
17203.6,16269,69300.7,5700.96,5389,69329.8,31212.5,130.24,0.727626
16754.1,16116,68130.9,5723.9,5472,68552.9,13977.1,253.82,0.733139
12487.9,11486,71252.4,8285.04,7726,70278.1,16169.7,248.64,0.734241
17731.6,16702,69575.8,6574.9,6243,69020.1,13397,426.98,0.735344
7793.94,7738,66009.8,3345.54,3191,68709.9,19875.7,537.24,0.735344
70529.6,44110,104789,40136.1,23802,110510,99814.9,1127.02,0.735344
21514,15402,91542.9,13138,10647,80868.7,49481.6,1576.94,0.737549
