"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
22734.1,18062,82488.1,18399.6,14622,82467.3,37100.9,10684.6,0.601318
10868.5,10694,66605.3,5612.6,5270,69796.5,11947.2,7131.54,0.606466
8094.72,8495,62448,2768.68,2815,64457.6,28705.2,12222.1,0.607496
8097.28,8071,65749.4,3524.88,3411,67724,16669.1,3509.6,0.609555
11237.8,10887,67647.5,5826.92,5219,73169.8,36093.2,12612.4,0.611615
13070.7,11734,73001.8,7842.44,6974,73696.9,31301.4,7885.12,0.628089
9153.28,8871,67621.4,5783.6,5487,69078.6,14783.5,4693.68,0.631178
8051.2,8006,65906,3751.36,3762,65350.7,24299.5,1926.18,0.631178
16825.6,16426,67130.3,7713.24,7626,66285.7,10028.2,3191.44,0.632208
12079.4,11570,68421.2,6016.92,5530,71306.5,13512,6368.94,0.639415
7089.28,6915,67187.7,5392.2,5035,70185.3,24942.4,2809.32,0.639415
20660.5,17355,78018.2,15774.6,13958,74065.2,11568,2380.46,0.640445
37388.2,22307,109843,29516.1,12983,148992,54362,12286.1,0.642504
13150.1,13151,65531.4,5954.6,5842,66799.2,8951.28,4462.44,0.646623
7802.88,7787,65669.6,2627.32,2587,66557.4,14670.3,5046.28,0.650741
9568.64,9547,65684.5,4351.76,4379,65128.3,26083.2,7730.96,0.650741
41598.7,30081,90629.1,48880.9,37017,86540.2,66807.8,28490.9,0.657949
22791,18767,79588.3,16183.4,13499,78568.6,53779.9,18002.3,0.658979
8376.96,8700,63102.6,2609.08,2645,64646,9774.36,3471.88,0.661038
11496.3,11426,65939.3,4205.08,4034,68315.4,31737.6,13736.6,0.661038
9875.2,9596,67442.8,9006.76,8545,69077.5,6738.16,1512.9,0.662068
15488,14667,69204.4,9947.64,9142,71311.4,26748.2,11885.9,0.662068
13848.3,13531,67072.9,6600.6,6043,71583.1,21898.6,8727.26,0.662068
21321,16990,82241.9,20113.4,15767,83601.9,30260.2,5481.7,0.664127
15381.1,15735,64062.1,5253.12,5299,64968.6,11897,2256.64,0.668245
10775,10831,65197.4,5042.6,4767,69324.9,23333.5,8311.52,0.671334
6152.96,6323,63773.6,2967.8,2843,68412.9,6767.04,3517.8,0.672364
15123.8,13922,71193.5,9172.44,7922,75880.5,22031.6,3919.6,0.674423
39607,25755,100784,31461,24006,85887.9,7549.08,936.44,0.674423
16782.7,16785,65527.1,5867.2,5657,67971.2,15587.6,6024.54,0.675453
5382.4,5734,61517.4,2921.44,2966,64551.4,7426.72,1321.84,0.676483
8555.52,8663,64722.9,5120.88,5027,66759.9,20485,7929.4,0.682661
5296.64,5479,63354.7,2036.8,2071,64453.8,12107.6,6921.62,0.687809
16078.7,15450,68202.9,5983.48,5690,68916.2,17761.2,4287.78,0.693987
8814.08,8542,67623.5,6085.32,5911,67468.7,21862.9,2391.12,0.697076
16460.2,13798,78180.4,12255,10602,75754,7237.48,1129.14,0.702224
19942.4,19446,67209,11872,11286,68938.6,18570.6,2661.72,0.703254
25175,20535,80344.4,17822.8,14619,79898.2,41631.3,12772.3,0.706343
27101.4,24160,73514.9,19168.7,17224,72935.5,47826,8331.2,0.708402
7891.2,7870,65712.5,3674.6,3562,67607.7,8521.12,3557.16,0.710461
17897.6,15803,74222.4,11823.3,10191,76033.1,31875.2,14680.5,0.720758
6030.72,6459,61190.5,2141.68,2159,65010.3,10268.4,3404.64,0.721787
11680.6,11507,66524.9,6869.64,6311,71337.1,7910.84,3538.3,0.723847
15265.3,14991,66735.1,10559.4,10139,68253.6,27743.8,6794.52,0.724876
5728,5880,63841.9,2371.2,2277,68247.2,6901.56,2972.5,0.730025
6951.68,7079,64357.3,2991.36,2915,67252.7,8365.32,1642.46,0.730025
7909.12,8231,62973.2,1623.36,1619,65712.5,12632,3978.64,0.730025
12005.8,12010,65512.9,7290.68,6819,70069.2,8642.72,2421.46,0.735173
12282.2,12198,65988.6,7169.08,6778,69317.3,27604.7,7678.48,0.741351
16505.6,16473,65665.7,7289.16,7156,66755.5,13636.7,8753.5,0.742381
9486.72,9716,63989.5,4107.04,4188,64269.1,11308.8,2875.74,0.753707
9875.84,8773,73774.4,6316.36,5673,72968.3,13273.4,3143.88,0.754736
21798.4,18956,75362.9,18091.8,15921,74471.7,19257.6,5206.18,0.756796
10653.4,9282,75219.1,10006.2,9202,71263.2,6787.56,4459.16,0.761944
13393.3,12874,68179.4,9692.28,9066,70063.2,21584.8,11554.6,0.762974
10337.3,10102,67062.4,9322.16,8986,67987.7,17191.2,9024.92,0.768122
6586.24,6624,65162.4,3290.8,3224,66893.9,12127.3,7126.62,0.77327
5659.52,5661,65518.9,2769.44,2656,68335.1,7344.64,1055.34,0.778418
11881.6,11324,68763,8527.96,8001,69852.3,33569.2,10538.6,0.780478
15249.3,13063,76504.4,10383.1,9183,74100.9,29728.9,5551.4,0.785626
17415.7,14466,78899.1,13642.8,12334,72490,8828.92,3855.64,0.785626
17381.1,16392,69490.5,7340.84,6565,73280.9,33199.8,4541.98,0.790774
12312.3,11097,72713.4,8294.64,7540,72095.2,6270,1968.82,0.790774
17214.7,15487,72847.2,12095.4,10411,76139.1,12777.9,7293.08,0.793863
19124.5,17759,70575,10216.7,9442,70913,26152.4,3475.98,0.795923
13985.9,13270,69071.7,9193.72,8814,68359.4,22173,6371.4,0.797982
26716.2,19906,87956.9,29993.4,24118,81501.3,30856.8,4573.96,0.805189
55410.6,41022,88522.9,43123.2,31706,89135.2,46593.3,6467.34,0.808278
47241.6,35846,86370.2,56935.4,41174,90623.2,115547,30024.3,0.813427
15614.7,14600,70090.8,9731.8,8901,71653,31799.9,10117.2,0.814456
19052.2,17990,69405.4,6686.48,5862,74753.5,32742.3,4161.5,0.817545
21930.2,18660,77021.4,22423.8,19240,76380.8,33838.2,5137.3,0.837109
10187.5,9127,73151,7701.08,7051,71578.2,22338.7,4452.6,0.844316
16453.1,15502,69556.9,12164.6,11198,71192.8,13927,1897.48,0.844316
13520.6,12242,72381,6428.08,5618,74985.9,8353.92,3818.74,0.852554
10176,10059,66298.3,4598.76,4475,67348.5,29906.8,5766.24,0.852554
9235.2,9350,64731.3,4651.96,4718,64618.7,27232.3,2300.1,0.854613
34454.4,27035,83521.5,22259.6,17791,81997,50087,5908.92,0.855642
10777.6,10608,66583.8,4962.04,4780,68031.9,26402.4,8886.34,0.856672
52112,39524,86408.6,20330,16108,82713.4,68235.8,12464,0.857702
19216,16360,76976.8,11205.4,9925,73990.9,60785.6,5015.12,0.859761
10410.2,9451,72187.6,6129.4,5487,73208.7,18630.6,6806.82,0.860791
10170.9,9194,72499.3,7001.12,6407,71613.1,26927.6,9821.96,0.86285
18078.1,17435,67953.3,7076.36,6790,68299.9,10439.4,4204.96,0.869028
5975.04,6158,63588.9,2870.52,2858,65823.1,15312.5,6566.56,0.870058
13216.6,12434,69661.1,7809,7057,72519.6,15376.3,1988.5,0.872117
6520.96,6794,62902.2,3589.48,3550,66264.8,26166.8,3487.46,0.890651
40924.8,27438,97749.4,31400.2,20215,101798,36817.4,6893.74,0.897858
16741.1,16322,67218.8,11004,10170,70910.6,8600.92,1642.46,0.897858
13601.3,13718,64978.4,6764,6550,67677.2,12055.9,3908.94,0.905066
11889.9,11318,68847.7,5549.52,5230,69539.8,25276.1,8919.14,0.908155
8257.92,8069,67070.4,5985.76,5737,68377.7,15723.6,2338.64,0.909185
6723.2,6885,63995.9,3074.2,2937,68597.5,21250.4,8404.18,0.916392
31139.8,25097,81315.7,21251.9,17300,80506.5,12556.7,3486.64,0.92154
20209.3,15670,84520.4,16930.5,13846,80135.7,18363.9,5785.92,0.925659
15957.1,15662,66770.9,6668.24,6462,67627.6,13855.6,6578.86,0.926689
21710.7,17064,83382.2,15903,13125,79407.2,32118.4,5872.02,0.928748
6391.04,6594,63518.8,2276.96,2362,63176.5,6025.28,765.88,0.929778
28657.9,15914,118017,32596.4,19475,109691,54033,22682.8,0.933896
27802.9,21251,85741.4,25752.6,21211,79568.3,28541,8805.16,0.933896
8449.28,8654,63985.7,3383.52,3422,64799.1,12885.8,2981.52,0.934926
13671.7,12899,69461.8,6509.4,5931,71927.2,31815.9,12277.9,0.936985
14935,14698,66592.9,7030,6874,67023.3,11573.3,1725.28,0.938015
8669.44,8934,63595.3,3583.4,3638,64552.4,24590.6,6206.58,0.940074
20849.3,17803,76749.9,30571,27055,74052.9,32734.7,9257.8,0.944193
5530.88,5630,64382.2,2592.36,2590,65595.7,6586.92,1410.4,0.947282
18718.7,15924,77037.8,10258.5,8920,75369.9,17510.4,7814.6,0.95243
9888,8979,72170.6,4963.56,4563,71289,19853.5,4965.92,0.954489
15020.2,14783,66587.4,6069.36,6059,65648.1,15059.4,7366.06,0.955519
17360.6,16918,67250.7,10699.3,10514,66690.9,10563.2,828.2,0.956549
27639.7,19860,91208.2,23353.3,17624,86840.7,31046.8,9375.88,0.958608
41388.8,28727,94421.9,46423.8,32283,94242.6,83489.8,30750,0.960667
9941.12,9359,69612.3,6189.44,5899,68762.7,10431.8,1270.18,0.960667
8883.2,8854,65752.1,4210.4,4006,68879.9,11853,7319.32,0.960667
9944.32,9911,65756.3,3489.92,3463,66045.5,22217.8,2068.04,0.961697
12140.8,10846,73359.7,7594.68,6810,73087.4,17768.8,8702.66,0.963756
7369.6,7155,67501.6,4606.36,4395,68687.7,10262.3,3260.32,0.964786
8929.28,8870,65974,4414.84,4270,67759,11492.7,2556.76,0.966845
8709.12,8570,66599.9,8632.84,8211,68902.9,17642.6,7239.78,0.968904
8346.88,8611,63525.9,4411.8,4399,65726.7,22132,9571.04,0.970964
45129,35331,83710.4,30963.9,21751,93294.6,58852.9,18115.4,0.974053
11017.6,11431,63165.9,3924.64,4055,63429.2,15728.2,6386.16,0.984349
31301.8,22598,90777.6,24443.1,19450,82360.1,12539.2,3235.72,0.994646
9916.8,10351,62786.9,3546.16,3599,64573.8,12320.4,2624,0.994646
9916.16,9858,65922.7,5925.72,5618,69125.7,18583.5,2731.42,0.995675
13273,13454,64654.1,4066,4062,65600.5,10165,5560.42,0.997735
13009.9,13302,64097,5206,5170,65992.3,17394.1,3957.32,0.998764
7575.04,7868,63095.8,2530.04,2497,66403.2,8179.88,2589.56,1.00494
14868.5,12713,76647.6,14974.3,12260,80045.2,43096.6,5129.1,1.00597
5012.48,5262,62428.3,1197,1210,64831.9,6924.36,3394.8,1.007
10656.6,10575,66041.9,5728.12,5522,67982.3,32334.2,2956.92,1.01009
15474.6,14971,67740.3,6390.08,5974,70100.5,21040.6,7755.56,1.01318
11145.6,10727,68093.4,6263.92,5807,70692.7,8182.16,4174.62,1.01524
20529.3,16370,82187.4,13019.6,10806,78960.8,20143.8,9237.3,1.01627
12171.5,10898,73194.4,8106.16,7478,71041.1,14307.8,7883.48,1.0173
26279,18933,90964.1,35413,25229,91990.3,65189.8,16173.7,1.02554
9559.04,9671,64777.3,4891.36,4787,66964.7,11637.1,4929.02,1.02759
6905.6,7196,62891.2,3220.12,3201,65927.5,8897.32,2535.44,1.02965
10268.8,10525,63940.7,6281.4,6128,67176.5,9782.72,7094.64,1.03171
8225.28,8491,63485.1,2896.36,2859,66392.4,16993.6,5637.5,1.03171
14066.6,14487,63634,5798.04,5831,65165.6,14250.8,3719.52,1.0348
18928,15346,80833.1,17993,15594,75618.1,28239.3,8696.1,1.03583
7486.72,7867,62368.1,2715.48,2742,64902.2,6416.68,1092.24,1.03583
10651.5,9715,71853.6,8364.56,7843,69894.1,12803.7,7475.12,1.03686
14837.8,13881,70053.1,8864.64,8148,71300.1,6150.68,892.98,1.03789
12439.7,12163,67026.8,7639.52,7331,68294,12549.9,4578.88,1.04304
8542.08,8703,64324.2,2789.96,2831,64585.9,24919.6,6173.78,1.0451
12588.2,12407,66492.9,4689.2,4591,66937.8,8692.12,1178.34,1.05128
17899.5,17486,67085.8,8140.36,8042,66337.6,9929.4,1559.64,1.05745
12088.3,11343,69842.2,9870.88,9167,70568.1,13166.2,4428.82,1.05848
24555.5,21574,74593.1,28364.7,25394,73202.7,53299.6,8047.48,1.06157
13306.9,11943,73020.1,10070,9047,72946.6,7192.64,3797.42,1.0626
11775.4,11568,66710.8,5472.76,5320,67417.8,16531.5,1109.46,1.06363
12409,12194,66691.3,9166.36,9058,66320,10360.3,1040.58,1.06363
11255,11103,66433.4,6113.44,5842,68581,6906.88,4359.94,1.06466
24549.8,20373,78971.8,17039.2,14153,78900.6,47342.7,11409.5,1.06466
13514.2,11834,74841.1,8019.52,7246,72532.1,13370.7,7115.14,1.06466
10053.1,9914,66455.7,3473.2,3354,67865.1,21847.7,6464.88,1.06672
12412.2,12439,65394.6,4219.52,4183,66108.2,13595.6,1613.76,1.06775
24323.8,18196,87606.5,19018.2,14040,88773.5,34374,11600.5,1.07084
34341.8,25623,87836,27733.9,20871,87085.9,50799.2,15449.6,1.07084
10122.2,10051,66000.5,3376.68,3363,65802.6,13066.7,5046.28,1.07084
