"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
12432,12826,63522.8,3502.84,3454,66462.7,8375.96,4618.24,0.596188
19761.3,15895,81476.9,16420.6,13559,79367.1,45189.6,7254.54,0.598329
6412.16,6638,63306.3,4578.24,4314,69550.2,8317.44,2552.66,0.600469
9088.64,9072,65656.2,6765.52,6376,69539.7,16653.9,9455.42,0.60154
14810.9,14172,68490.4,9639.84,8705,72574,23702.9,7366.06,0.604751
11761.3,11636,66241.6,8028.64,7612,69123.1,14665.7,4336.98,0.610102
17711.4,14454,80305.2,13804.6,11366,79597.1,42087.3,12877.3,0.613314
14797.4,14094,68806.9,9631.48,8954,70494.6,10291.9,5685.88,0.620806
10544,10336,66854.8,4087.28,3852,69538.9,23093.4,4273.84,0.622947
22587.5,18158,81523.1,16911.5,14446,76721.1,33687,7011,0.624017
19074.6,18138,68920,9353.32,8606,71227,19360.2,5460.38,0.636861
13571.8,12819,69384.8,5811.72,5571,68367.8,13635.9,4661.7,0.640072
9593.6,8799,71454.3,5411.2,4911,72211,17239.1,7833.46,0.642213
8350.72,7747,70643.2,4094.88,3903,68757.9,16799,9409.5,0.643283
11609,11044,68888.5,5837.56,5308,72074.3,12628.2,4837.18,0.646495
11557.8,11334,66829.8,5587.52,5334,68650.9,9851.12,3382.5,0.651846
16231.7,13515,78709.5,9221.84,8031,75253.7,14538.8,10118,0.660409
9641.6,9931,63626.2,3988.48,3883,67316.3,15253.2,6019.62,0.672183
8347.52,8406,65080.1,3702.72,3554,68278.4,6738.16,3097.96,0.672183
8581.76,8243,68229.3,6507.12,6035,70662.9,8632.84,3216.04,0.681816
13696,12991,69092.5,6029.84,5634,70140.5,17456.4,4125.42,0.688238
9244.16,9487,63858.5,3881.32,3871,65710.7,27755.2,8272.16,0.690379
12470.4,10587,77194.7,7596.96,6715,74143.6,28108.6,12741.2,0.694661
7564.16,7122,69604.7,3697.4,3534,68566.2,6786.04,4450.96,0.698942
