Optimal order: 6
Type,Order,Mean,Std
Train,0,2.0095036745715335e-15,2.2960153001789537e-15
Train,1,0.73705498500657,0.000350283513350934
Train,2,0.915730978607538,0.0002737170553167118
Train,3,0.9524879306884998,0.00024377689885285997
Train,4,0.9704479768782563,0.0001764039697725459
Train,5,0.9820943729470075,0.00014798383584752105
Train,6,0.9882530255531418,0.00011917989050866654
Test,0,-8.496055394595637e-05,0.00011441283333500915
Test,1,0.7376637187486146,0.003128478814245897
Test,2,0.9164376588544723,0.0024821463954264916
Test,3,0.9524978542468082,0.0022108841393172554
Test,4,0.968534063225038,0.0016390018362146454
Test,5,0.9770695447535094,0.0014947067370387646
Test,6,0.9782201970668263,0.0013979053200756898
