Optimal order: 5
Type,Order,Mean,Std
Train,0,2.7755575615628914e-16,2.9358000080253692e-15
Train,1,0.7251933160615531,0.0004471692507402857
Train,2,0.9085491345954895,0.00023654673627301632
Train,3,0.9440061356015544,0.0002857885455510708
Train,4,0.9628422269758028,0.0002736521346464934
Train,5,0.973438727268975,0.0002647366985555821
Train,6,0.9799053462698886,0.00025085451172674904
Test,0,-0.00017135462355644115,0.00020377037653830188
Test,1,0.7221623401087591,0.00408045815895781
Test,2,0.9074345727483333,0.002154293339624963
Test,3,0.9425963106928075,0.00262603011533837
Test,4,0.9591315743060091,0.0025910897527678107
Test,5,0.9655808077729082,0.0027251608431525572
Test,6,0.9628780324461342,0.0030459023779969454
