Optimal order: 5
Type,Order,Mean,Std
Train,0,-8.264993627765054e-16,3.147203721654081e-15
Train,1,0.7248770238018667,0.00030816783242121185
Train,2,0.9085027495553132,0.00022158887959250806
Train,3,0.9440662332975551,0.00023409457874107667
Train,4,0.9628563756534151,0.0002899444403950927
Train,5,0.973478670414477,0.00027975180899622847
Train,6,0.9799546277217783,0.0002328895759145289
Test,0,-0.00016934545417271154,0.0001756839848249543
Test,1,0.7250219434664431,0.0027445210518714357
Test,2,0.9078542978302936,0.0020096682749628555
Test,3,0.9420669257029411,0.0021293184040071674
Test,4,0.9589827561567736,0.0027061281069825365
Test,5,0.9651523628704517,0.002867976416346805
Test,6,0.9622205407234176,0.002853705313417574
