Optimal order: 5
Type,Order,Mean,Std
Train,0,3.3306690738754695e-17,2.5341311739065125e-16
Train,1,0.753398524021255,0.00044405952954119953
Train,2,0.956360775197196,9.030291341402502e-05
Train,3,0.9800128431357422,5.2664919166560115e-05
Train,4,0.9868958741188709,5.171782055766044e-05
Train,5,0.9901184701237403,3.76371245348905e-05
Train,6,0.992785209363916,3.642241030921663e-05
Test,0,-0.00024362868766751865,0.00023708562972977237
Test,1,0.7530767266597769,0.003917957768223878
Test,2,0.9560233529253217,0.0008153042151173459
Test,3,0.9793152775218603,0.00047593584001207816
Test,4,0.9855023567455458,0.0004855539075083009
Test,5,0.9870488858660543,0.00036315494872084513
Test,6,0.9868582787605368,0.0004099371177168344
