Optimal order: 5
Type,Order,Mean,Std
Train,0,-8.770761894538737e-16,3.1364340815044177e-15
Train,1,0.6244423087450229,0.0007029100743624684
Train,2,0.8814256069857551,0.0002610398919112159
Train,3,0.942539212176998,0.00016714466848381985
Train,4,0.9653582785491699,0.00011563704019231226
Train,5,0.981432431535372,0.00011224367121629645
Train,6,0.9882757653281725,0.00010630875482061289
Test,0,-0.0005323650522136569,0.0008612227941546193
Test,1,0.6237515158216176,0.006228608176999765
Test,2,0.8804671992005831,0.0023461529399955395
Test,3,0.9402126062381229,0.0016146961090874015
Test,4,0.9602208388271078,0.001164842865335229
Test,5,0.9730755797507118,0.001331349214148236
Test,6,0.9728226177076538,0.0015984110415220437
