"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
11927.7,12382,63131.5,4235.52,4426,62715.6,1470.72,23.4,0.538543
17022.4,15944,69968.7,11349.1,10885,68330.4,9729.28,51,0.539599
21457.1,20986,67007.2,8958.72,9134,64278.4,3509.12,11.4,0.539599
9627.42,9362,67394,6787.84,6694,66454.7,18124.8,12.6,0.539599
18800.1,18639,66102.5,8221.44,7826,68847.5,25658.2,66.6,0.540655
16556.7,16708,64942.5,5392.64,5564,63517.6,27500.2,3,0.540655
12144.6,12448,63938.8,5018.88,5336,61641.2,3633.28,-0.6,0.541711
18873.2,19065,64876.7,6860.16,7204,62408,16000.6,2.4,0.541711
12010.6,11659,67512.6,6676.48,6678,65521.1,493.44,47.4,0.541711
17500.3,16030,71547.2,8411.52,8094,68106.9,18081.3,12,0.543823
15388,15870,63545.5,4826.88,5127,61699.7,6481.28,0.6,0.543823
20442.1,19167,69895.8,7558.4,7106,69708.3,5714.56,15,0.543823
15500.5,15497,65550.8,6620.16,6852,63318.6,13711.4,9.6,0.544879
17164.5,17334,64895.2,5824.64,5882,64896.9,26287.4,13.8,0.545935
15392,15508,65046,7672.96,7820,64303.7,14932.5,47.4,0.545935
9907.56,10008,64878.3,5353.6,5509,63687.3,370.56,50.4,0.546991
12604,12946,63804.6,4472.32,4578,64023.1,4718.72,-11.4,0.548046
7725.02,7971,63513.6,3130.24,3255,63024.1,182.4,13.8,0.548046
19350.5,18521,68471.3,6122.24,5940,67546.6,19241,26.4,0.548046
29207.1,25717,74429.9,15253.1,14054,71127.7,22332.2,58.8,0.549102
34546.5,28850,78476.3,15909.8,13954,74721.4,26277.1,25.2,0.549102
5632.38,5899,62573.9,1638.4,1711,62755.2,1555.2,-15,0.549102
12039.1,12290,64197.9,5359.36,5598,62742.2,13097.6,16.2,0.550158
16102.5,15075,70003.1,6425.6,6227,67626.2,8165.76,-5.4,0.550158
19999,11687,112146,5755.52,3587,105156,21283.2,21,0.550158
12865.6,13018,64768.6,5402.24,5722,61873.7,22650.9,9.6,0.551214
15897.8,16151,64508.6,5864.32,6227,61719,8435.2,16.8,0.551214
33907.4,25159,88324.4,20455.7,17103,78382.9,23393.9,62.4,0.551214
35204.8,23923,96442.1,23751,17575,88566,26572.2,42,0.551214
12802.9,13082,64137.9,5187.2,5390,63070.2,7699.84,4.8,0.551214
29035.4,22993,82758.4,19292.2,17209,73469.2,30568.3,98.4,0.55227
12830.8,12339,68147.9,5827.84,5563,68656,19093.8,20.4,0.55227
13531.4,13558,65407.4,6853.76,6818,65879.7,2859.52,17.4,0.553326
15600.3,16222,63024.2,4779.52,5063,61866.6,25432.3,-19.2,0.553326
14898.5,15318,63741.1,6284.16,6422,64129.3,6672.64,-3.6,0.553326
26976.4,20796,85012.7,20076.2,17745,74145.5,12990.1,48.6,0.553326
18585.5,18524,65753.6,7779.2,8129,62715.9,4681.6,24.6,0.554382
17644.2,17635,65570.1,7400.96,7527,64438.6,5368.32,39,0.555438
7082.96,7250,64026.1,2288,2498,60026.6,158.08,-9,0.555438
40480.5,30310,87526.6,20217,16530,80153.6,10609.3,66.6,0.556494
19066.9,19399,64414.1,4245.76,4579,60766.6,13820.2,-8.4,0.556494
20513.4,20579,65327.2,6305.28,6627,62354.4,14267.5,18,0.556494
16973.7,17254,64471.3,4536.32,4846,61348,4447.36,0,0.55755
32099.5,23766,88516.1,25176.3,22018,74936.7,35056,48.6,0.55755
15449.5,15603,64891.1,5183.36,5463,62181.3,3739.52,-6.6,0.55755
15604.9,16013,63865.8,4238.72,4432,62678,6997.12,22.8,0.558606
12077.9,11819,66971.7,7490.56,7211,68076.7,1067.52,13.2,0.558606
13209.5,13301,65085.2,4768,5033,62085.4,23145,0,0.559662
9237.08,9440,64127.3,2884.48,3180,59445.7,5807.36,-13.8,0.559662
7812.02,8163,62718.2,3463.68,3571,63566.4,330.24,22.2,0.559662
26603.4,23089,75511.4,18042.2,17133,69014,1809.92,117,0.561774
11475.9,12207,61610.8,5351.68,5547,63228.4,3760,30.6,0.561774
6113.78,6575,60938.8,3383.68,3583,61890.3,267.52,8.4,0.561774
9800.84,10378,61891.3,3116.8,3283,62218.3,25722.9,57,0.56283
11758.9,10181,75693.2,11600,10345,73486.5,1201.92,52.8,0.56283
17870.4,18343,63847.4,6229.76,6403,63762.8,15375.4,31.2,0.564942
20710.6,21351,63570.4,9773.44,10171,62974.4,18761,-10.2,0.564942
38153,28370,88135.1,23349.1,17458,87650.8,15283.2,52.8,0.565998
20790.7,16785,81175.9,12723.8,11465,72731.8,39233.9,32.4,0.565998
18227.1,18626,64132.4,6974.08,7298,62627.2,2235.52,20.4,0.565998
22596.8,19462,76092.1,9967.36,8962,72887.8,4014.72,13.2,0.567054
15657.1,16247,63156.5,4277.76,4375,64079.4,7630.08,-16.8,0.569166
