"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
42998.9,32120,87732.7,21467.5,15153,92846,30610.6,45.6,0.585461
21783.1,21531,66303.2,8605.44,8603,65554.6,16491.5,90,0.58654
17840.8,17779,65763.8,6947.84,7131,63852.7,6537.6,4.2,0.587618
13603.3,13517,65954.5,7131.52,6976,66997,7769.6,18.6,0.587618
14628.8,15118,63415.2,5036.8,5207,63393.8,2139.52,-13.8,0.589774
20151.5,20204,65365.8,7736.96,7713,65739.6,10272,3,0.590852
16570,16747,64843.4,5964.8,5979,65380.3,422.4,39.6,0.590852
35492.5,25218,92237.2,19267.2,14226,88759.7,33220.5,10.8,0.591931
11567.5,11624,65217.6,7349.76,7141,67451.9,2817.28,36,0.591931
10984.6,11493,62637.1,3146.24,3195,64535.8,346.88,3,0.595165
16368.8,16726,64136.3,5770.24,6006,62963.4,7445.76,26.4,0.596243
14955.9,14044,69791.3,10329,9669,70009.2,7166.72,28.8,0.599478
12303.5,11866,67952.5,6199.04,5838,69588.9,7984,39,0.599478
23901.8,22166,70668.1,12992,12158,70031.6,33217.9,51.6,0.600556
17752.6,16579,70175.3,8754.56,8435,68018.8,14841.6,-10.2,0.600556
31156.4,28826,70834.3,19264,18366,68740.4,16692.5,34.2,0.601634
6813.26,7088,62995.7,3475.84,3548,64203.1,14488.3,55.2,0.601634
29254,27246,70366,20801.3,19854,68662.9,10847.4,65.4,0.601634
15732.5,15014,68672.2,9427.84,8838,69909.8,15312,31.8,0.602713
23530.6,22930,67252.6,11086.1,11430,63564.1,4796.16,36,0.603791
25829.1,22027,76848.3,16242.6,14447,73681.2,16161.9,61.8,0.603791
13478.6,11963,73838.9,7459.2,6779,72111.8,13660.8,10.2,0.603791
17093.8,17154,65305.9,6384.64,6518,64195.1,8448.64,22.8,0.605947
14645.6,14550,65966.5,8192,8278,64855.1,14039.7,27.6,0.605947
14977.3,15137,64844.8,6573.44,6553,65740.4,10092.2,37.2,0.607025
21115.5,15975,86624.4,15189.1,12319,80804.8,2336,80.4,0.607025
11391.2,11635,64162.8,5150.08,5303,63646.2,10607.4,-0.6,0.607025
9694.12,9966,63748.1,3980.16,4010,65048.3,15078.4,21.6,0.608104
14937.3,15199,64407.7,5347.2,5391,65003.5,6452.48,16.8,0.608104
16117.6,15103,69938.7,10766.7,10146,69545.4,18514.6,47.4,0.609182
14761,14435,67016.1,7703.68,7487,67432.7,13062.4,-6.6,0.609182
