"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
17003.9,17467,63798.3,4749.44,4731,65791.4,13008,40.8,0.565462
13407.9,12575,69876.5,8152.96,7490,71336.8,1207.04,36,0.567588
25087.9,21107,77896.5,12130.6,10831,73399.4,7741.44,55.8,0.568651
33379,28819,75905.7,16606.7,15043,72348.5,44140.8,71.4,0.569714
18801.9,18524,66519,7078.4,7153,64852.5,7440.64,22.8,0.571839
24708,20802,77841.7,13352.3,11862,73769.8,13410.6,15,0.571839
25152.9,19516,84465,15406.1,12913,78188.9,5541.76,31.2,0.573965
18807.1,17235,71513.8,8169.6,7539,71017.8,17643.5,19.2,0.573965
7234.92,7562,62701.4,3139.2,3299,62361.5,6282.24,3,0.573965
11546.1,11790,64180,4606.08,4810,62757.6,14413.4,9,0.576091
17991.6,17825,66148.5,10619.5,10265,67799.4,10359.7,44.4,0.576091
14775.5,13911,69608.7,9346.56,8839,69299.3,12130.6,31.8,0.576091
25647,21827,77005.7,17700.5,16183,71681.3,1668.48,54,0.580343
12247.9,12266,65439.1,6208,6106,66630.8,11413.1,48.6,0.580343
18747.9,18287,67187.8,10968.3,10363,69364.1,1051.52,43.2,0.582468
18108.2,18123,65482.4,6366.72,6331,65905.8,835.84,21.6,0.582468
14959.4,14958,65542,6057.6,6154,64509.4,3169.92,18.6,0.582468
35003.6,26030,88128.9,17112.3,13710,81799.6,1898.88,73.8,0.583531
16542.2,13935,77797.5,9037.44,8287,71470.7,1742.08,30,0.584594
11863.3,12130,64095.2,5840.64,5698,67176.6,4270.08,30,0.584594
20893.3,20722,66077.9,8068.48,8210,64406.3,920.32,26.4,0.584594
14482.6,14456,65656.6,5260.8,5361,64311.1,3868.8,37.2,0.584594
14702.4,13534,71193.9,10302.7,9530,70849.8,1205.76,-0.6,0.584594
8938.96,9166,63912.7,2837.12,2974,62519.7,466.56,-3.6,0.585657
14117.8,13943,66357.5,6784,6639,66967.3,19884.8,0,0.585657
16779.4,16856,65238.2,5793.28,5893,64427,8357.12,36,0.58672
15785.9,13502,76621.4,9198.72,8019,75177.4,1647.36,-1.2,0.58672
17512.5,17339,66191.9,6854.4,7003,64145.4,10478.1,-12.6,0.587783
15701.2,16039,64155.7,2892.16,2991,63370.3,5882.88,1.8,0.587783
15802.1,15387,67304,7532.8,7327,67376.8,17571.2,33.6,0.587783
22450.1,19258,76398.8,12837.1,11258,74728.5,2181.12,46.8,0.589909
14776.7,14592,66365.4,9193.6,8908,67637.2,6981.76,7.8,0.590972
13606.2,13835,64452.3,4775.04,4918,63630.9,462.08,30.6,0.593097
12785.5,13063,64143.9,4700.16,4887,63030.4,1136.64,-7.2,0.593097
5114.44,5362,62510.2,2338.56,2310,66346.3,156.16,3,0.593097
17115.2,16935,66233.4,6174.72,6075,66611.8,7347.84,9.6,0.59416
7618.88,7874,63412.6,2901.76,3010,63179.3,4028.16,-3,0.59416
19550.6,14749,86871.7,15979.5,13526,77423.8,4055.04,66,0.59416
17904.6,18075,64918.2,6067.2,6166,64485.9,13359.4,24,0.595223
9877.4,9991,64790.8,4095.36,4227,63495,3740.16,-0.6,0.595223
11813.4,11880,65168.8,4203.52,4325,63695.2,17856.6,42.6,0.596286
10199.9,10307,64854.9,3482.24,3495,65296.7,360.96,28.2,0.596286
18053.1,17470,67723.3,14820.5,14650,66298.6,16197.1,27,0.597349
14431.6,13982,67643.2,8259.84,8266,65487.2,10178.6,31.8,0.598412
12358.1,12599,64282.7,3038.72,2971,67029.8,697.6,-1.2,0.598412
