"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
19116.8,16954,73896.3,11003.5,9834,73329.9,1269.76,71.4,0.5968
31658.1,21422,96851.3,29909.1,21866,89642.6,22975.4,118.2,0.5968
13558.7,13252,67052.5,8001.92,7452,70372.2,9610.24,34.8,0.5968
17204,15781,71445.3,10391,9801,69481.4,25663.4,45,0.5968
21464.1,21008,66958.7,8571.52,8488,66180.9,947.84,60,0.597901
22011.6,19859,72639.7,9471.36,8455,73414,2830.72,22.2,0.597901
15430.9,15462,65404.2,6993.28,6962,65830.4,736,7.8,0.599003
6325.48,6538,63405.7,2737.28,2798,64113.8,1202.56,-22.8,0.599003
15729,15471,66629,7380.48,7179,67375.3,13933.4,22.8,0.600104
17529.9,17227,66688.4,8620.8,8415,67138.8,4574.08,25.2,0.600104
20336,19173,69511.2,15866.2,14649,70981.6,16401.9,46.8,0.601205
9476.62,9626,64519,3939.84,4062,63565.1,4551.68,-23.4,0.601205
10263.1,10490,64118.4,4057.6,4243,62672.4,11296.6,6,0.601205
14115.5,12895,71738.7,8132.48,7458,71462.9,8464,16.8,0.601205
57290.7,35907,104565,48509.4,31987,99387.7,49232.6,163.8,0.601205
24321.7,22632,70429,17831.7,16389,71305,7119.36,52.2,0.602306
11439.9,11810,63482.4,3640.32,3778,63147.7,5386.88,54,0.602306
14146.8,14359,64567.4,4595.2,4859,61978,473.6,48.6,0.602306
6730.9,7114,62006.8,2460.8,2558,63045.7,3618.56,22.8,0.604508
15181.5,15606,63753.4,3635.2,3798,62726.8,9376,24,0.604508
25489.3,22057,75734,14339.2,12964,72488,6908.16,75.6,0.604508
17792.7,18058,64573,7868.8,7754,66506.3,819.84,12,0.604508
42721.6,22489,124497,19290.2,10260,123217,15278.1,28.2,0.604508
13590.6,12863,69242.9,8311.04,7995,68126.6,15397.8,49.8,0.607811
15239.5,15625,63919.1,5603.2,5828,63008.1,2808.96,-16.8,0.607811
22806.8,20845,71703.7,14305.3,12816,73151.6,10183.7,43.2,0.607811
12656.2,12950,64049.1,5195.52,5274,64560.8,10261.1,4.8,0.607811
6622.44,6955,62402.3,2501.76,2630,62340.4,3092.48,-1.8,0.608913
15561.4,15812,64497.3,8255.36,8396,64438.2,3772.8,31.8,0.608913
7452.42,7843,62272.3,2476.8,2579,62939,9733.76,21,0.608913
7332.94,7695,62452.4,2684.8,2783,63223.5,9633.28,-12,0.610014
13469.9,13883,63586,5393.28,5547,63719.8,7696,24.6,0.611115
6107.4,6619,60470.6,2323.2,2358,64568.8,3980.8,13.2,0.611115
8188.44,8875,60466.2,2869.76,2923,64342.3,914.56,6.6,0.611115
18746.2,19296,63668.6,4830.72,4796,66010.4,5045.12,-22.2,0.611115
