"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
16975.4,15306,72684.1,10710.4,9866,71145,14858.2,18,0.555456
12956.6,12231,69424,8353.92,7687,71221.9,12205.4,39,0.555456
14031.4,14430,63725.5,4128.64,4206,64330.6,592.64,1.2,0.557584
16223.2,16534,64304,7066.88,7014,66030.1,499.2,39,0.557584
17673.8,16321,70967.9,8839.68,8153,71055.7,804.48,7.8,0.558648
14109.1,14082,65662,4754.56,4654,66952.1,1720.96,21,0.559712
14663,14481,66359.6,6369.92,6089,68559.6,329.6,15.6,0.560776
53107.1,36990,94091.1,38665,29114,87035.3,4944.64,88.8,0.56184
16785.2,16446,66887.7,5280,5182,66775.4,4701.44,24,0.562904
5079.64,5118,65044.8,5171.84,4906,69087.2,262143,56.4,0.56716
8677.38,8616,66002.9,3791.36,3857,64420.7,10306.6,-10.2,0.568225
18002,17366,67936.3,10096,10002,66151.9,4295.68,-36,0.568225
17284.6,17127,66139,6339.84,6391,65011.4,584.32,22.8,0.570353
15519.6,15478,65712.3,4723.2,4838,63980.9,585.6,-10.2,0.571417
33519.4,27070,81149.8,16260.5,14295,74546.8,25955.2,75.6,0.572481
7488.96,7483,65588.2,5231.36,4955,69191.2,1600.64,28.8,0.574609
12127.2,12256,64847.4,3831.68,3852,65190.3,3019.52,3.6,0.574609
19602.8,18386,69873.4,7485.44,6966,70422.9,995.2,39,0.576737
8597.34,8919,63172.5,3192.32,3179,65810.6,17600.6,-6,0.576737
25289.2,24363,68027.4,7996.16,7814,67063.8,6754.56,31.2,0.577801
13544.7,11741,75604.1,9547.52,8336,75060.7,4686.72,-4.2,0.577801
17183.1,15936,70664.6,9036.16,8392,70566.5,1061.76,16.2,0.57993
12470,12795,63871.4,4214.4,4155,66472.9,4606.08,7.2,0.580994
14541.2,13874,68687.5,10551.7,9678,71452.3,11600,32.4,0.580994
15341,14561,69046.6,7010.56,6541,70240.6,929.28,19.2,0.582058
12718.8,12858,64826.6,4764.8,4782,65300.3,348.8,57.6,0.583122
11365.1,10338,72047.1,6924.16,6218,72978.7,2325.12,-18.6,0.583122
7777.8,8138,62635.3,3251.84,3338,63844.4,6038.4,7.8,0.584186
67297.4,40790,108125,40041.6,26502,99017.7,74339.2,109.8,0.58525
13318,11879,73474.7,7755.52,7031,72289.3,1137.92,10.2,0.586314
22277.8,21750,67126.3,9605.12,9446,66640,18829.4,2.4,0.586314
6286.04,6598,62437.4,2247.68,2290,64324.9,3599.36,33.6,0.587378
13913.6,14053,64886,6172.16,6281,64400.4,13376.6,14.4,0.587378
8400.72,8843,62258.2,3322.24,3371,64588.1,5393.28,45,0.591635
13277.9,13665,63679.7,4275.84,4173,67151.1,1479.68,18,0.591635
8825.86,9170,63076.5,3678.72,3554,67835.9,21303.7,54.6,0.594827
7146.18,7551,62022.5,3160.96,3131,66163.1,1472,32.4,0.594827
9526.5,9821,63570.8,3074.56,3056,65934,10503,13.2,0.595891
11977.6,11559,67909.2,7714.56,7315,69115.7,897.28,24.6,0.600147
18307.7,16574,72391.3,9262.72,8282,73296.5,1368.96,-1.2,0.600147
11684.1,11728,65290.7,4849.28,4588,69268.2,4329.6,-0.6,0.601211
16782.9,16823,65379.7,2983.68,3023,64683.6,1788.16,-4.8,0.601211
8864.72,9206,63106.5,3103.36,3094,65734.3,7546.88,-3,0.60334
17137.8,17026,65966.5,7880.96,7854,65761,6324.48,-4.8,0.604404
16034.1,13710,76645.6,10887,9886,72172.1,2355.2,88.2,0.604404
14665.9,14718,65303.9,5411.2,5370,66038.8,3212.16,-3.6,0.604404
19137.1,18198,68918,6922.88,6482,69993.5,10101.8,13.8,0.606532
12439.3,12590,64751.3,4314.24,4302,65722.5,397.44,-19.2,0.607596
27558.1,24470,73806.7,9743.36,8574,74474.1,1413.76,10.2,0.610788
20915.4,20698,66224.3,7077.12,7102,65306.4,6712.32,-1.2,0.610788
14715.8,14663,65771.8,4441.6,4119,70668.8,19056.6,16.2,0.611852
24896.5,23702,68838.8,12104.3,11686,67882,1959.68,34.2,0.613981
15746.4,15766,65454.6,5784.96,5846,64851.7,21706.9,37.2,0.615045
18926,16906,73366.4,11998.7,11038,71240.1,9057.92,6,0.619301
11071.6,10821,67053.9,6419.84,6237,67457.2,3542.4,-36.6,0.619301
8710.44,8707,65561.9,2720,2831,62966.4,330.24,-7.8,0.621429
15285.9,14902,67224.3,6727.04,6674,66056.8,14550.4,5.4,0.621429
17181.9,17154,65642.7,9267.2,9202,66000.3,17504.6,19.2,0.623557
14714,14324,67320.4,6571.52,6344,67886.4,12624,4.2,0.627814
16299.2,16395,65152.9,4472.96,4523,64810.9,4135.68,10.2,0.627814
28566.2,26186,71492.9,15751.7,14766,69910.8,2001.92,33,0.633134
53201.1,44750,77912.5,23913,19530,80243.7,2762.88,40.8,0.634198
6068.54,6372,62414.9,2659.84,2680,65043,261.12,19.2,0.636326
7878.72,8290,62284.6,3386.88,3286,67548,263.04,6,0.63739
14784.2,14403,67270.5,9242.24,8547,70866.9,14917.1,6,0.63739
39804.2,26575,98160.3,34228.5,24107,93051.7,65332.5,93.6,0.63739
20464.1,19917,67336.3,8928,8304,70460.7,4441.6,30.6,0.638455
22107.3,19454,74474.3,16334.7,14494,73859,19180.8,-6.6,0.638455
10987.5,11434,62976.9,4545.28,4446,66999.4,1519.36,32.4,0.640583
18924.8,17982,68972.1,7024,6362,72355.4,776.96,19.2,0.640583
20653.2,20589,65740.4,8114.56,7680,69244.2,2412.8,-9.6,0.641647
10151.2,10699,62180.2,4916.48,4742,67947.4,12704.6,-19.8,0.641647
5210.72,6056,56388.7,2693.12,2732,64603.3,2772.48,52.8,0.642711
14444.3,14543,65091.3,7564.8,7243,68447.7,4437.76,4.2,0.643775
16583.9,16454,66053.5,6139.52,6070,66286.6,6113.92,9.6,0.643775
18238.1,18266,65435.9,7066.24,7102,65206,13262.7,19.2,0.644839
29609.6,28487,68118.6,15395.8,14967,67413.8,7649.92,30.6,0.644839
10208,9251,72315.6,6248.96,5939,68956.4,1331.84,24.6,0.648031
13054.6,10942,78189.4,7820.16,6967,73561.4,10101.8,3.6,0.652288
9890.16,9888,65550.3,4031.36,4140,63816.2,419.2,45.6,0.652288
13282.6,12355,70456.3,7504.64,7103,69241.7,19318.4,-18,0.653352
11028.7,11119,65003.8,4081.92,4203,63648,17467.5,15,0.65548
24082.8,23455,67290,7766.4,7730,65844.6,6008.32,2.4,0.65548
12227,12166,65864.5,9315.84,8902,68582.7,735.36,21,0.657608
17696.4,17349,66848.2,7251.2,7309,65017.7,9199.36,33,0.658672
19813.4,19369,67039.6,8143.36,7972,66944.7,8930.56,48,0.659736
20269.3,17144,77482.9,11852.2,10373,74881.2,39863,12.6,0.661865
9626.84,9438,66847.3,5044.48,4894,67551.1,2569.6,26.4,0.661865
53858.2,27427,128693,48980.5,27827,115355,25266.6,137.4,0.662929
15911.1,14384,72493.9,8905.6,8556,68213.8,8619.52,19.8,0.662929
25726.5,23831,70748.6,13985.9,12911,70992.3,4837.12,39,0.663993
9920.32,9812,66259.5,4949.12,4812,67403.5,3754.24,0,0.665057
23463.9,21448,71695.7,8754.56,8295,69166.8,12437.8,-39.6,0.671441
18837.8,16235,76042.8,11031.7,9935,72770.2,9723.52,22.2,0.671441
18220.7,17139,69672.2,7930.88,7259,71601.9,20246.4,34.2,0.672505
12976.3,12327,68988.2,7021.44,6515,70630.4,3698.56,19.2,0.672505
17796.7,17382,67099.6,5525.76,5710,63421.4,4737.92,24.6,0.67357
16842.6,14482,76218.6,8475.52,7418,74878.9,6241.28,30,0.674634
16904.7,15250,72646.9,10865.3,10230,69605.8,10148.5,54,0.674634
24897.1,20465,79729.1,13820.8,11773,76935.4,1804.16,35.4,0.675698
34424.7,24238,93079.4,18357.1,14823,81161.2,21863,31.2,0.676762
15973.8,15322,68323.8,9709.44,9223,68992.5,8434.56,57.6,0.676762
10815.3,10723,66099.9,4743.68,4663,66669.9,513.28,13.2,0.677826
16706.9,16631,65835.1,6274.56,6379,64463,623.36,61.8,0.677826
7946.58,8076,64485.8,3389.44,3425,64855.6,10700.8,-18,0.677826
14071.4,13959,66063.6,5930.88,6007,64705.5,16300.2,19.2,0.679954
18187.1,17932,66468.2,6462.72,6497,65190.2,9509.12,-8.4,0.679954
12985,13063,65144.9,5387.52,5275,66933.9,638.08,32.4,0.679954
14881.6,13974,69792.7,7325.44,6594,72805.6,711.68,16.2,0.679954
16395.4,16202,66318.5,6012.16,6042,65212.3,22265,29.4,0.679954
60992.8,40518,98653,41219.2,28990,93181.8,15079,109.8,0.681018
23328.2,22170,68959.7,8896,8567,68052.8,1466.88,4.2,0.682082
7597.42,6322,78757.4,23605.1,18674,82841.7,6780.16,78,0.683146
21584.1,20175,70113.4,9064.32,8594,69122.6,18492.8,28.8,0.683146
8463.94,8371,66263.6,4807.68,4791,65764.2,453.76,-4.2,0.684211
16566,15432,70351.7,5787.52,5537,68501.1,13152.6,36.6,0.684211
20761.7,19078,71319.7,14273.9,13450,69550.6,22645.8,19.2,0.685275
13228.6,12778,67847.3,7287.04,7150,66792.1,1228.16,28.8,0.685275
11868.5,11195,69478.9,6752.64,6127,72228,745.6,6,0.687403
13454.8,13578,64941.6,3928.96,3975,64776.9,5319.04,24,0.689531
8794.54,8734,65990.3,4020.48,3971,66352.6,4811.52,9.6,0.691659
40346,30935,85473.2,26910.1,21959,80312.4,25900.2,60.6,0.693787
12253.1,12178,65940,5284.48,5374,64444.3,9797.12,27,0.694851
19111,17735,70620.7,10413.4,9827,69447,11088.6,8.4,0.694851
21027.9,19903,69240,5850.24,5387,71171.6,10420.5,-15,0.694851
12798.9,12902,65012.1,5122.56,5058,66372.5,4266.24,37.2,0.695916
13820.2,13898,65169.3,6897.28,6666,67809.8,4688.64,10.8,0.699108
9059.6,9167,64768.2,4766.08,4863,64229.9,4006.4,-9.6,0.700172
10441.2,10310,66369.7,5321.6,5082,68625.8,404.48,13.2,0.703364
13700.2,13650,65776.9,5943.04,5746,67783.3,519.04,21,0.703364
11608.1,10996,69184.2,7139.2,6828,68522.9,7011.84,-33,0.708685
10154.1,10149,65568.7,4469.12,4365,67099.3,22229.8,12.6,0.708685
12780.3,12735,65769.1,3528.96,3563,64909.9,1026.56,42,0.709749
11098.9,11094,65564.8,4401.28,4430,65111.1,1942.4,28.2,0.709749
22234.9,19434,74981.2,11137.3,10199,71565.1,16007,36,0.709749
9087.44,9159,65024,3639.68,3715,64207.3,325.12,-25.8,0.710813
30264.4,28716,69069.8,13856.6,13681,66377.4,4114.56,3,0.710813
6699.58,6931,63347.8,3120.64,3139,65152.7,247.68,25.8,0.712941
10834.4,10880,65261.3,3456,3580,63266,8677.12,-7.2,0.714005
12823.2,12327,68174.1,6903.04,6631,68224.6,8318.72,28.2,0.714005
32147.7,27686,76097.3,16471.7,14674,73564.7,13766.4,12,0.715069
16956.9,16819,66073.2,5232,5339,64222.6,11875.2,14.4,0.717197
12979.2,12681,67077.3,5735.68,5764,65214,1194.88,43.8,0.718261
7622.36,7855,63595,3256.96,3311,64466.4,2569.6,16.8,0.719325
13718.7,13505,66573.2,6951.68,6941,65636.8,7626.88,-16.8,0.719325
33647.5,27138,81256,24107.5,17610,89716.7,26016.6,84,0.719325
14917.6,14878,65710.4,4670.08,4698,65146.5,7032.96,-12,0.72039
16691.8,16398,66710.3,6368,6439,64813.4,679.04,55.8,0.721454
5382.98,5738,61481.2,2732.8,2686,66677.9,232.96,15.6,0.723582
13603.3,13671,65211.6,6626.56,6451,67319.5,798.08,-0.6,0.724646
21382.3,20772,67461.4,8272.64,7916,68488.6,1388.16,5.4,0.724646
17428.4,17470,65380,5427.2,5450,65261.8,2318.72,-3,0.726774
15874,14895,69843.6,7397.76,6674,72643,704,54,0.726774
12316.9,12378,65212.4,4512.64,4510,65574.4,2819.2,33,0.727838
22319,19615,74570.3,9895.04,9087,71363.6,1356.8,16.2,0.729966
10569.9,10511,65903.4,5061.76,4987,66518.5,1240.96,7.8,0.729966
12171.3,12131,65753.7,4319.36,4331,65359.9,18492.2,34.8,0.73103
17257.3,16151,70025.1,6215.04,5951,68443.8,8432.64,-0.6,0.73103
7650.78,7689,65210.2,2768.64,2820,64342.4,184.32,8.4,0.732095
22574.2,19314,76598.4,13333.8,11510,75920.2,14225.9,39,0.732095
14129.4,13426,68969.4,7990.4,7682,68167,563.84,40.2,0.735287
18391.2,17404,69253.4,10891.5,10565,67561.4,16171.5,-28.2,0.736351
8198.88,8350,64349.9,3089.28,3194,63387.3,406.4,19.8,0.737415
21581.8,17330,81614.8,16130.6,13014,81230.4,29066.9,19.2,0.737415
9394.84,9358,65794,6397.44,6206,67557.6,419.2,27.6,0.740607
14398.5,12246,77055.4,8305.92,7258,74998.2,883.2,66,0.741671
9587.98,9775,64282.1,2924.8,3007,63744.5,7381.76,13.8,0.741671
20394.5,20085,66546,8782.72,8813,65310.8,2023.04,72,0.745928
57709.4,39392,96010.5,35865,24392,96361.4,11400.3,87,0.746992
8993.48,9042,65184.3,3582.08,3654,64246.1,725.76,-6,0.748056
17527,17467,65761.2,5148.16,5211,64745.7,2460.8,12.6,0.748056
13403.8,13230,66396.9,4490.24,4570,64392.2,4688,3,0.750184
19819.8,17930,72443.3,11266.6,10586,69749.2,8772.48,-15,0.752312
13283.7,13113,66389.3,5706.24,5588,66922.7,8435.84,31.8,0.752312
14135.2,13953,66391.7,5288.32,5245,66077.3,1160.96,19.2,0.752312
10051.4,10184,64682.7,3128.32,3185,64369.7,12375.7,-15,0.753376
9382.08,9405,65376.3,3283.84,3312,64978.8,14820.5,6,0.753376
9500.4,9666,64413.2,4266.24,4322,64690.5,12369.3,48.6,0.754441
18560.6,18026,67479.5,7111.04,6878,67756.5,4520.96,30,0.755505
16054.4,14926,70490.5,8076.8,7351,72006.7,18287.4,87.6,0.755505
12481,12471,65588.7,7068.8,7071,65515.6,808.32,10.8,0.755505
11443.4,11495,65241.8,4815.36,4831,65323.8,21772.8,-3,0.757633
13029.1,13272,64336.7,5264.64,5397,63928.7,22035.8,0,0.758697
16915.1,16554,66965.6,7333.76,7207,66688.7,9031.68,34.2,0.759761
18277,16679,71814.8,9148.16,8647,69334.3,1549.44,38.4,0.760825
8141.46,8472,62979.1,3333.12,3249,67232.8,3517.44,15.6,0.762953
19305.9,14951,84625.1,15817.6,12487,83016.1,1306.88,55.8,0.762953
6638.68,7086,61398.9,2533.76,2622,63330.5,8521.6,6,0.764017
6520.94,6818,62680.6,2582.4,2638,64154.7,445.44,0,0.765081
12849.9,13130,64137.9,5162.24,5235,64625.1,1885.44,12,0.765081
14730.3,13855,69676.1,5991.04,5339,73539.8,13077.8,51.6,0.76721
16559,16658,65146.5,4520.96,4578,64719.4,6040.32,19.2,0.768274
12929.9,11703,72406.8,8295.68,7599,71544.4,13500.2,1.2,0.768274
23284.1,22206,68717.8,11429.1,11102,67467,1445.12,16.8,0.768274
16708.6,16251,67381.5,8868.48,8799,66053.5,5064.96,-15.6,0.768274
13748.3,13747,65542.3,4105.6,4119,65322.8,574.08,1.2,0.769338
21081.8,20751,66580.9,11118.7,10831,67276.9,1456,13.8,0.769338
17076.9,15222,73522.2,8604.8,7750,72764.4,882.56,-9.6,0.770402
11630.7,10254,74335.1,8522.24,7955,70209.1,10197.8,48,0.770402
