"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
27227,22963,77705.3,15111.5,13031,75999.5,46818.3,132.46,0.611783
19194.1,16672,75450.2,12918.2,10983,77083.3,9875.3,202.76,0.611783
15022.3,14119,69728.7,7606.46,6907,72172.7,18255.8,34.04,0.612992
10208.2,9935,67338.3,4824.06,4559,69346.3,20236.8,-34.78,0.614201
16203.7,15344,69207.7,5940.72,5620,69276,7761.12,-25.9,0.61541
7520.04,7495,65755,3037.7,2931,67921.8,13880.9,38.48,0.61541
29149.6,20625,92622.8,23208.6,17669,86083,38391.2,102.86,0.617828
29492.8,22695,85165.8,17985.7,14783,79734.2,23601.6,148.74,0.617828
16399.7,14251,75417.1,9220.4,8134,74289.2,21291.3,45.88,0.619037
7269.24,7147,66656.9,2486.4,2383,68379.7,10082.5,78.44,0.621455
11836.4,11307,68604.7,4967.62,4694,69356.2,10775.9,-5.92,0.623873
15591.2,14100,72466.9,6995.22,6212,73798.9,12417.9,54.76,0.623873
14839.4,14012,69406,6452.8,6056,69830,14530.6,80.66,0.625082
9783.18,9433,67968.9,3436.56,3277,68727,7758.16,-21.46,0.625082
10023.4,9640,68142.6,3773.26,3612,68461.9,18799,5.92,0.627501
9473.64,9255,67084.2,3350.72,3191,68816.3,9373.58,-13.32,0.62871
16785.1,14594,75375.5,10562.8,9374,73846.9,43008.1,73.26,0.629919
31270.8,23901,85743.8,24615.4,19113,84402.9,13635.2,195.36,0.631128
13733.9,13283,67760.9,4486.62,4339,67765.7,6905.68,22.2,0.631128
17864.2,14870,78732.3,10746.3,9242,76203,23492.8,32.56,0.632337
36071,25786,91675.6,27502.8,22023,81842.9,59655.8,167.98,0.632337
12893.1,11834,71401.2,7159.5,6499,72196.5,21238,29.6,0.633546
15939,14239,73360.4,9731,8658,73658,18498.5,66.6,0.633546
17975.8,14504,81223.1,15210,13432,74210.8,11782.3,76.22,0.635964
15143.7,14458,68644.2,5956.26,5699,68494.4,21486.6,47.36,0.635964
13855.4,13599,66771.5,4960.22,4770,68149.5,10852.8,14.8,0.635964
22241.3,17951,81199.3,15657.7,12898,79558.1,11882.9,145.04,0.635964
23040.6,20918,72186.1,11995.4,11234,69977.8,8037.14,11.84,0.637173
25773.7,18738,90143.2,18850.8,15458,79920,26037.6,153.18,0.639591
13063.4,12374,69187.1,5299.88,5046,68833.3,8434.52,19.24,0.6408
11695.2,11386,67315.7,4567.28,4391,68167,6111.66,65.86,0.644427
20058.7,18544,70889.1,9652.56,8928,70854.6,11399.7,57.72,0.644427
15011,14472,67977,5025.34,4840,68045.6,9069.44,37,0.644427
11963.8,10783,72712.7,7067,6306,73444.8,13149.1,53.28,0.645636
16455.8,14174,76086.2,10253.4,8999,74671.6,21325.3,85.84,0.645636
13178.2,12463,69296.9,6211.56,5887,69149.1,15416.4,38.48,0.645636
12095.8,11674,67904,4866.24,4695,67926.3,14410.8,36.26,0.648054
71780.3,46534,101092,40346.3,26702,99023.8,48661.7,330.04,0.649264
18733.4,15063,81505.3,11749.7,9675,79589.6,51866.6,115.44,0.649264
5196.18,5151,66110.8,1925.48,1874,67336.3,11300.5,33.3,0.650473
21087,19639,70368,8411.58,7935,69472.1,7250.52,32.56,0.650473
15640,14960,68515,5132.64,4932,68202.1,39245.2,62.9,0.651682
16733.6,15743,69659.9,8407.14,7746,71129.7,14498.8,57.72,0.651682
19793.4,17465,74273.1,10022.6,8893,73860.2,27679.7,34.78,0.652891
11373.1,10465,71223,5197.02,4721,72144,20636.4,162.8,0.652891
16563.4,15794,68728.4,6332.18,6002,69141.2,8434.52,85.1,0.660145
16008.3,14983,70020.7,7640.5,7279,68790.7,12502.3,38.48,0.660145
23292.7,21358,71472.6,9530.46,8867,70439.6,6672.58,64.38,0.660145
12522.2,11285,72720.8,8040.1,7281,72368.6,14234.6,13.32,0.661354
7624.98,7062,70760.5,5430.12,4874,73013.6,6482.4,19.98,0.661354
16073,15394,68426.6,7199.46,6762,69775.8,12046.5,79.92,0.661354
