"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
22265.8,19914,73275.5,11723.8,10935,70263.6,12030.2,691.9,0.57631
16207,14206,74767,9407.62,8275,74506.1,24935.8,3452.84,0.577363
12177,11294,70659.8,7753.72,7235,70234.7,15984,2043.88,0.577363
37276.1,27591,88540.8,25649.9,20431,82276.5,23924.2,3466.16,0.585792
14238.8,13532,68959.3,5089.72,4860,68633.7,9238.16,526.14,0.585792
9836.64,9548,67517.2,3668.92,3532,68076.5,8359.04,782.92,0.585792
11427.9,10999,68091.5,3093.94,3019,67162.8,13721.8,1754.54,0.586845
19446.2,15315,83214.4,11751.2,10063,76530.5,9248.52,707.44,0.587899
30159.4,24619,80284.5,20405.5,16870,79270.6,24320.8,3723.68,0.59106
16271.6,15043,70888.7,9016.9,8387,70458,6792.46,490.62,0.592113
7703.52,7658,65925.6,2452.36,2407,66771,6261.14,640.84,0.592113
10381.8,10171,66894.3,4679.02,4550,67394.3,6813.92,320.42,0.593167
10864.3,10626,67005.5,3998.22,3882,67498,24522.1,3119.84,0.593167
16649.8,15463,70566,9072.4,8495,69990.4,39419.8,6772.48,0.59422
14875.1,12829,75988.3,6727.34,5965,73911.6,16376.9,2749.1,0.595274
20645.5,17859,75761.3,9340.28,8187,74767.9,6529.02,291.56,0.596328
16156.1,15543,68121.3,6079.84,5883,67728.8,14221.3,2447.18,0.596328
14060,13351,69016.2,7176.52,6851,68649.9,17197.6,923.52,0.597381
13590.7,13100,67991,4522.14,4316,68666.1,10253.4,1198.8,0.597381
17891.9,15542,75445,8290.22,7126,76243,14704.5,1636.88,0.598435
16632,15600,69871.5,6759.9,6404,69178.1,29548.2,4195.8,0.598435
6784.14,6694,66418.5,2587.04,2534,66907.8,22792.7,4537.68,0.599488
15847.9,14716,70576.9,7860.28,7388,69725.4,23372.9,2660.3,0.599488
16465,15754,68493.8,6273.72,6058,67869.7,9777.62,953.12,0.600542
7907.46,7771,66686.8,2198.54,2102,68545.9,11208.8,1262.44,0.601595
19485.8,16481,77484.6,12160.4,10389,76710.5,11806.7,625.3,0.604756
11363.2,10883,68427.8,4674.58,4463,68642.9,12941.1,1185.48,0.604756
12800,10604,79108.2,8874.08,7740,75138.5,12313.6,1058.2,0.607917
27992.6,24441,75059.2,18575.5,16285,74753.6,29223.3,4469.6,0.608971
17280.1,15946,71019.1,9737.66,8791,72593.3,17118.4,3517.22,0.610024
16750.8,14526,75573.5,9403.18,8483,72644.9,34006,4093.68,0.611078
29718.5,22555,86350.3,19427.2,15019,84771.5,27377,3801.38,0.613185
18020.6,15708,75184.7,9407.62,8156,75593.2,27146.9,3428.42,0.613185
12019.9,11762,66973.1,4170.64,4014,68093.4,12221.1,593.48,0.614238
28855.2,21747,86957,21272.8,16571,84130.9,30959.4,3765.86,0.617399
17605.5,16509,69888.8,6885.7,6294,71697.1,6411.36,290.82,0.619506
14266.6,13418,69680.5,6948.6,6526,69779.9,27769.2,4944.68,0.62056
11846.3,11431,67917.2,5928.88,5651,68758.6,8552.92,461.76,0.625828
21477.1,19787,71133.6,10983.8,9750,73829.3,23236,1813,0.626881
9461.76,9239,67116.1,3749.58,3611,68051.1,12339.5,511.34,0.627935
19966.3,17918,73027.8,6103.52,5443,73488.9,22226.6,1101.86,0.627935
13198.7,12043,71825,6110.92,5579,71784.4,24282.4,3658.56,0.628989
19371,16294,77912,9712.5,8266,77004.4,20143.5,2817.92,0.630042
13700.9,12890,69659,6426.9,6046,69664.8,9785.76,899.1,0.631096
48448,30478,104176,26559.3,17523,99331.9,46677.7,5487.84,0.631096
21178.1,19280,71987.9,8291.7,7523,72232.5,6392.86,735.56,0.632149
11585,10821,70163,9417.98,8805,70098.4,33518.3,5666.18,0.632149
12952.5,12515,67827,4733.78,4635,66932.7,7047.02,512.08,0.632149
20718.1,17122,79300.3,15364.6,13262,75926.4,13664.8,1063.38,0.634256
11270.8,10630,69486.8,6083.54,5694,70019.5,10398.5,1275.02,0.63531
11814,11422,67785.2,4735.26,4499,68977.6,7798.86,791.06,0.639524
24932.8,22863,71469.1,10294.9,9535,70758.8,8356.08,210.9,0.639524
23525,16394,94042.8,20037,16179,81163.5,64710.8,8018.64,0.640578
12529.4,12091,67912.5,4283.86,4086,68709.5,10953.5,1256.52,0.641632
16092.8,14962,70489,8279.86,7454,72797,11535.1,2317.68,0.641632
9672.3,9299,68166.9,4015.24,3783,69559.3,10826.9,688.2,0.642685
20642.2,19720,68600.6,7042.58,6684,69051.8,30300.8,5956.26,0.642685
14432.2,13816,68459,5563.32,5292,68896,10415.5,828.06,0.643739
15358.2,14365,70067.2,5322.82,4733,73703,21853.7,3002.92,0.644792
20240.2,17841,74349.1,9907.86,8769,74047.4,25790.5,2612.94,0.645846
32505.7,23826,89410.4,18423,14574,82844.3,35889.3,3518.7,0.647953
20221.7,17158,77238.1,12762,11046,75717.3,8481.14,506.9,0.647953
10116.5,9851,67302.2,3966.4,3814,68154.7,13142.4,1522.18,0.647953
10582.4,10267,67549.5,4858.84,4651,68464.6,25512.2,3990.08,0.649007
14036.9,13503,68127.2,4672.36,4434,69059,9298.84,677.1,0.65006
9012.96,8754,67474.7,3771.04,3614,68383.8,7881,379.62,0.652167
19913.5,16436,79402.1,10752.2,9216,76460.1,13035.1,920.56,0.653221
18513,17635,68798.9,6822.06,6399,69868.8,11433.7,943.5,0.657435
15625.5,14763,69364.8,5360.56,4991,70388.6,9942.64,738.52,0.658489
19790.1,16739,77481.6,10015.2,8507,77154.5,10462.1,372.22,0.660596
15327.2,14770,68008.3,6962.66,6446,70788.9,7655.3,424.76,0.66165
16814.2,15732,70044,8157.02,7412,72123.4,11724.6,1431.16,0.66165
11900.5,10379,75142.9,5567.76,4966,73477.4,16460.6,2401.3,0.662703
8652.6,8475,66909.4,3429.16,3286,68391.2,20597.9,2995.52,0.663757
30391,24411,81590.5,17611.3,14431,79978.6,57760.7,6112.4,0.66481
28560.2,23911,78278.6,14141.4,12035,77006.3,31335.3,4468.12,0.667971
14811.1,14019,69238.7,5026.82,4819,68362.3,20248.6,2816.44,0.672185
13774.2,13131,68746.2,4908.42,4726,68065.6,8556.62,939.8,0.673239
11267.5,10654,69310,5467.12,5191,69022,9147.14,862.1,0.6764
14334.5,12870,72993.7,9394.3,8534,72142.6,13043.2,2000.22,0.677453
16406.9,15156,70945.2,7508.04,7088,69419.7,15795.3,2052.76,0.680614
17561.3,14703,78276.3,10649.3,8770,79579.8,44039.6,7108.44,0.681668
22840,19375,77256.3,16400.6,14418,74547.9,15887.1,1878.12,0.683775
15990.5,15343,68301.6,6947.86,6610,68885.8,8926.62,785.88,0.684828
15571.4,13434,75962.9,9016.16,7971,74129.1,35140.4,5550,0.685882
13266.7,12527,69405.6,6837.6,6431,69679.5,17854.7,1340.88,0.686936
53064.7,35030,99276.2,44249.8,26666,108751,83935.2,12292.1,0.687989
19224.5,17493,72022.9,10650.1,10005,69761.5,10061,1325.34,0.690096
16428.1,15226,70709.9,6950.08,6467,70431.5,28814.9,3874.64,0.69115
23971.2,21887,71776.7,8302.06,7531,72245.9,10793.6,1095.94,0.695364
15135.1,13834,71699.8,9642.94,8698,72655.8,25185.9,4912.86,0.696418
21041.5,19615,70302,10397,9858,69119.3,7082.54,1092.24,0.696418
17142.2,16222,69253.5,5877.08,5294,72754.1,8147.4,1289.08,0.697471
30006.2,22004,89369.6,17101.4,12704,88220.8,28140.7,947.2,0.698525
28609.7,19682,95262.9,16670.7,12874,84863.5,22950.4,1798.94,0.701686
10220.1,9950,67315,3486.88,3354,68132.4,11793.4,1125.54,0.703793
26269.3,19722,87292.7,18503.7,14855,81633,58474.1,7196.5,0.703793
49177.3,24282,132727,31058.5,15731,129391,48857,4712.32,0.703793
16388.5,14115,76091.7,8735.7,7627,75062.6,6495.72,472.12,0.704847
10839.2,10401,68297,5894.84,5573,69320.7,9748.76,496.54,0.704847
17086.7,15433,72558.6,8884.44,8189,71101.6,31840.7,2561.14,0.706954
33330,29556,73904.3,14449.2,12960,73066.8,6532.72,222,0.708007
18033.2,15570,75903.8,15440.1,13690,73914,23370.7,3258.96,0.710114
39686.5,31609,82283.3,17671.9,14153,81830.6,57191.6,8965.1,0.712222
19053.5,17470,71476.4,9392.82,8647,71188.6,28182.2,2335.44,0.713275
12330.8,11999,67348.1,4935.06,4738,68261.7,23651.1,1934.36,0.713275
50358.7,34872,94640.5,27394.8,19544,91861.7,19436.1,2140.08,0.719597
22311.3,19107,76526.6,10590.9,8715,79642.5,13307.4,992.34,0.72065
17269.6,15202,74449.3,10778.1,9762,72357.5,39595.2,11376.8,0.72065
18843.7,17393,71002,8439.7,7905,69968.9,9153.06,1053.02,0.72065
54194.6,42071,84421.5,39585.6,32703,79328.5,44368.2,3930.14,0.721704
27438.2,17688,101662,24024.8,18392,85607.4,7695.26,637.88,0.722757
19303,17378,72795.7,10754.4,9706,72615,20323.4,3363.3,0.723811
15007.7,13495,72882.3,9279.6,8395,72441.7,22503.4,4479.22,0.723811
21179.4,18155,76453.5,8487.06,7371,75459,12528.2,1556.22,0.726972
15531.8,14823,68669.7,5227.36,4747,72167.7,30297.1,5172.6,0.726972
18276.1,16459,72771.1,9554.88,8518,73513.6,6843.52,749.62,0.729079
17640.5,15744,73430.3,10795.9,9444,74917.1,39317.7,4286.82,0.729079
16383.2,13040,82338,12529.7,10756,76343,11108.9,956.08,0.730133
9036.06,8878,66702.8,3422.5,3303,67907,6063.56,261.96,0.731186
54372.1,32583,109362,37459.5,25259,97191,54932.4,3770.3,0.73224
20493,17545,76547.7,16117.9,14173,74529.4,34807.4,8404.18,0.7354
12448.3,12030,67814.6,4958.74,4743,68517,6332.18,298.22,0.737508
13101.7,12375,69384.3,5820.84,5499,69371.6,7916.52,379.62,0.738561
15535.1,14551,69968.2,7260.88,6891,69053.7,24867.7,1118.14,0.738561
50560.6,32313,102545,37396.6,24441,100275,124074,15319.5,0.739615
13868.6,13010,69861,7257.18,6842,69512.8,42023.1,4297.92,0.739615
33977.5,30292,73509.4,13806.9,12852,70405.4,14045.2,373.7,0.741722
18806,17543,70254.4,7650.86,7243,69226.4,17336,2248.86,0.742775
17749.4,16774,69346.8,4886.96,4678,68463.4,27768.5,5043.1,0.743829
20179.5,17739,74552.3,11247.3,9990,73783.8,8059.34,543.16,0.743829
18393.5,17294,69702.7,6365.48,6071,68714.9,10594.6,811.78,0.744883
10789,10463,67578.1,4408.18,4146,69680.3,16036.5,3306.32,0.745936
16879.5,14890,74292.5,7731.52,6995,72436.4,37020,2531.54,0.748043
17955.3,16923,69533.7,6486.1,6287,67611.4,9713.24,345.58,0.751204
9040.68,8722,67930.5,4176.56,3990,68600.3,11447.8,927.22,0.753311
17241.8,15090,74881.5,10795.9,9514,74365.9,34692.7,4232.8,0.754365
20679.8,18055,75063.4,12696.9,11451,72666.6,40819.1,6956.74,0.754365
9904.62,9491,68392.1,5084.54,4839,68861.4,6838.34,584.6,0.756472
38225.9,28207,88813.8,21566.6,16578,85256.7,18222.5,3093.94,0.756472
16650.5,14186,76921.3,8806.74,7667,75278.3,13231.2,1112.22,0.757526
11746,11191,68786.3,3910.16,3799,67453.6,28014.2,3520.92,0.758579
23480.8,17439,88241.2,16044.7,13298,79072.4,21854.4,1972.1,0.759633
18658.2,16243,75280.7,9412.8,8471,72822.3,9740.62,962.74,0.759633
10700.6,9187,76333.2,9159.72,8243,72824.4,21961.7,3459.5,0.764901
16903.3,15911,69623,7220.18,6827,69310.4,8888.14,956.08,0.764901
16047.2,15406,68263.8,4434.82,4323,67231.2,6440.96,335.22,0.764901
16492.1,15922,67882.5,5421.24,5230,67932.4,13061,2239.98,0.765954
11616.7,11047,68915.5,4569.5,4379,68387,17552.1,2295.48,0.767008
32470,21651,98284.4,28215.5,22091,83705.1,25820.8,3486.14,0.767008
8574.06,8359,67222.1,2925.96,2839,67543.4,14907.3,2621.08,0.768061
32059.5,24781,84784.8,20262.7,17145,77453.2,35649.5,5612.16,0.768061
14423,13640,69298,6290,5992,68795.3,20412.9,3347.76,0.769115
6379.56,6211,67314.6,2154.14,2123,66497.3,7661.22,1195.1,0.770169
14729.9,14047,68722,5476,5250,68357.2,17627.5,1929.18,0.772276
52361.8,40818,84070.3,21246.1,14922,93311,25135.6,1677.58,0.77649
14159.6,11787,78727.9,8684.64,7558,75305.2,14660.9,1630.96,0.778597
22042,20187,71558.2,9015.42,8086,73068.8,6478.7,664.52,0.779651
18012.7,15963,73951.1,9025.04,7979,74127.7,21431.9,8088.94,0.779651
11674.7,11186,68399.4,4658.3,4462,68419.2,9784.28,401.82,0.784919
19035.1,17145,72760.7,10306.7,9229,73189,17669,1983.2,0.784919
9568.68,9272,67633,3498.72,3384,67757.7,16075,1773.04,0.787026
64993.5,38387,110960,65431.5,41315,103791,67969.7,10976.4,0.787026
10534.9,9959,69325.9,6056.9,5711,69505.3,13353.3,919.82,0.78808
12028.5,11426,68991.8,5947.38,5654,68936.6,17486.9,1898.84,0.789133
10090.7,9532,69377.5,5304.32,5020,69247.8,6042.84,242.72,0.793347
15494.2,14863,68319,5014.98,4779,68772.1,5975.5,304.14,0.795455
23605.6,21960,70446.9,7386.68,6972,69434,8238.42,232.36,0.795455
18105.8,16283,72872.4,12691.7,11318,73490.5,24955.8,2678.8,0.799669
18015.4,15776,74838.7,6505.34,5696,74848,26451.3,2782.4,0.799669
52718.8,39335,87834.8,31308.7,24239,84650.5,46135.3,8756.42,0.800722
9194.46,8971,67168.4,4115.14,3942,68414.5,16969.7,2024.64,0.800722
11612,11077,68701.5,6113.88,5765,69502,19448.7,2530.8,0.80283
12662.8,11814,70244.4,6860.54,6506,69107.4,12286.2,1014.54,0.803883
12427.1,11870,68612.1,5131.16,4883,68866.6,12428.3,1390.46,0.807044
21222.3,18421,75502.1,10649.3,9125,76483.9,43730.3,7188.36,0.808098
14279.8,13528,69177.9,5386.46,5096,69271.4,21476.3,6916.78,0.808098
8791.2,7711,74716.6,8364.96,7394,74142,17903.6,2774.26,0.809151
13860,13000,69871.5,6793.94,6364,69963.5,23205.7,3212.34,0.809151
13038.3,11637,73427.7,7604.24,6753,73797.1,17657.9,2376.14,0.813365
14816.3,13891,69901.6,6449.84,6011,70320.5,15588.1,1488.14,0.815473
21597.8,20139,70283.3,9879.74,9190,70454.7,14625.4,1434.86,0.816526
