"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
13926,13027,70058.7,9132.34,8471,70652.5,9271.46,10.36,0.572467
25547.9,21882,76515.4,18321.7,15943,75313.8,28554.4,87.32,0.580294
16750.8,13162,83405.3,12856,10739,78455.4,52918.9,140.6,0.581412
18244.4,14119,84684.7,11724.6,9787,78510.4,12900.4,25.9,0.581412
47198.6,26763,115578,35946.2,21791,108108,68411.5,230.88,0.584766
15562.8,14816,68839.3,7291.22,6932,68932.1,6872.38,99.16,0.587002
9835.98,8874,72640.4,8310.2,7383,73766.4,18165.5,-16.28,0.58812
16967.9,14570,76322,10515.4,9191,74979.6,12417.9,51.8,0.591475
13528,13038,67999.1,4664.22,4487,68124.4,20082.9,11.84,0.594829
18095.2,13654,86852.8,11879.2,9354,83228.2,36017.3,120.62,0.594829
12584.9,11359,72608.8,6598.58,5979,72327.2,26679.2,46.62,0.595947
18404.1,17063,70686.9,7007.8,6335,72496.2,41729.3,195.36,0.598183
28318,22930,80935.3,10640.5,8574,81331.1,16911.2,111,0.600419
13744.5,12394,72677.1,8273.2,7518,72119.2,35527.4,94.72,0.602655
26984.1,22189,79698.5,19200,15373,81850.9,40620.1,52.54,0.602655
14895.5,13534,72129,6208.6,5475,74317.2,22578.9,-19.98,0.60601
13359.1,12790,68451.9,6628.18,6326,68666.5,15565.9,-23.68,0.612718
16963.3,14774,75247.6,10332.6,9162,73909.5,10693,46.62,0.612718
36657.7,27270,88096.8,21531.8,17102,82511.2,26879,132.46,0.612718
15657.2,14168,72424.4,8573.64,7624,73699.1,34811.8,7.4,0.613836
20347.1,19218,69386.5,13622.7,12386,72079.3,25624,81.4,0.614955
9228.78,8881,68102.4,3437.3,3297,68324.8,8919.96,-15.54,0.617191
13077.2,12584,68104.7,5454.54,5148,69438.4,16763.2,103.6,0.618309
44806.1,33296,88191.1,25346.5,18224,91149.4,75668,179.82,0.619427
13782.8,13071,69104.8,6358.82,6002,69432.1,6069.48,-8.14,0.619427
14171.5,13350,69568.9,7242.38,6794,69861.1,14882.1,46.62,0.622781
33423.7,30440,71959.8,16921.6,15160,73151.2,20628.2,51.06,0.622781
50677.4,34785,95477.8,25609.2,17025,98579.9,39923,142.08,0.622781
17607.5,16753,68878.6,6038.4,5813,68077.2,14406.3,25.9,0.623899
22515.2,19543,75503.2,10423.6,9063,75375,25592.2,31.82,0.623899
13951.1,13370,68384.3,4883.26,4666,68587.5,8857.8,58.46,0.623899
14321.3,13527,69384.4,7285.3,6863,69568.6,16103.1,37,0.625017
10448.5,10189,67204.9,3769.56,3597,68680,12790.9,-22.2,0.627254
48021.6,29987,104950,37945,24095,103207,32195.9,93.24,0.628372
69932.9,50490,90772.9,36524.2,25767,92895.9,30924.6,126.54,0.628372
42671.6,28028,99776.2,32135.2,22600,93186.5,21820.4,94.72,0.62949
16052.5,15291,68799.8,6913.08,6630,68334.2,10792.2,5.92,0.631726
12825.1,12398,67793.8,5908.9,5610,69027.7,19543.4,58.46,0.631726
13279.2,12762,68192,6345.5,6039,68862.2,17692.7,16.28,0.632844
7117.44,7126,65457.3,2905.98,2762,68952.3,10318.6,22.2,0.633962
17117.1,16202,69237.5,6571.94,6279,68593.5,32508.9,79.92,0.63508
21643.4,19938,71141.6,8695,7682,74178,13417.7,50.32,0.636198
33926.6,22471,98946,25467.1,17231,96861,27535.4,97.68,0.639553
11620,11297,67409.6,5269.54,4753,72658.2,13775.8,57.72,0.647379
19503,17470,73162.5,10516.9,9511,72467.1,23654.8,60.68,0.650734
23084.8,20851,72557,8608.42,7635,73891.5,18157.4,78.44,0.650734
31119.7,24519,83178.7,21454.1,17655,79638.3,31324.2,76.22,0.650734
17585.7,16030,71896.2,11841.5,10567,73440.3,26702.9,90.28,0.650734
40010.5,29634,88483.8,30231.2,24426,81111.6,21295,136.16,0.65297
16778.5,16122,68204.8,5820.1,5598,68136.1,14654.2,5.92,0.65297
44729.5,29099,100739,26464.6,17494,99141.7,97042.9,140.6,0.65297
10491.4,10278,66896.5,3621.56,3534,67159.8,22821.6,81.4,0.655206
16643.9,15619,69836.3,7789.98,7347,69487.4,19273.3,33.3,0.655206
12443,11960,68182.5,4389.68,4268,67404.4,15791.6,18.5,0.659679
23824.7,20709,75395.9,11282,9937,74406.8,29230,19.98,0.659679
15048,14175,69572.2,9112.36,8271,72202.6,10439.2,25.9,0.660797
16964,14007,79371.1,10166.1,8795,75752.9,18965.5,52.54,0.663033
23750.1,20142,77275.7,15935.2,13774,75818.7,11648.3,68.08,0.665269
19751.2,17767,72854.9,13229.7,12263,70702.3,28606.9,75.48,0.666387
12514.9,12039,68126.7,6541.6,6267,68407.6,20244.2,24.42,0.668623
13430.3,12707,69266.6,5965.14,5627,69474.2,9820.54,-2.96,0.67086
16828.7,15703,70234,6577.86,6139,70221,8013.46,19.24,0.679804
13705.6,11847,75817.3,5588.48,4943,74094,7247.56,17.76,0.683159
7937.82,7607,68386.1,3857.62,3631,69626.3,19724,-28.12,0.684277
9514.56,9247,67432.3,3749.58,3602,68221.1,32904.1,56.24,0.686513
12965,11781,72122.6,10673,9477,73806.8,13086.2,37.74,0.689867
12771,11704,71510.6,5340.58,4796,72977.5,7075.88,-23.68,0.695458
62558.8,32363,126683,47675.2,32870,95054.6,84450.3,312.28,0.696576
9397.08,9072,67884.4,3125.76,2992,68465.9,11919.2,48.84,0.69993
14887,13594,71769.3,7543.56,6714,73633.4,17476.6,28.86,0.704403
16719.8,15775,69461,5474.52,5231,68586.9,28641,6.66,0.704403
16563.4,15850,68485.6,5225.88,4915,69681.2,8412.32,-16.28,0.708875
6926.04,6782,66927.9,2467.9,2375,68099.5,16061,44.4,0.714465
13465.3,12923,68286.3,4769.3,4566,68454,11004.5,43.66,0.714465
6293.1,6194,66584.5,2530.8,2450,67697.4,19344.3,44.4,0.721174
22548.9,18850,78396,11978.4,9978,78674.6,24946.9,77.7,0.721174
8488.92,8067,68963.7,4011.54,3807,69057.1,13000.3,-11.84,0.72341
13817.1,13245,68366.7,4714.54,4521,68341.5,30798.1,76.96,0.725646
17480.1,16743,68421.2,6403.96,6123,68543.2,13981.6,43.66,0.730119
13742.5,13478,66822.2,3031.78,2930,67812.5,9535.64,-32.56,0.731237
18299.8,14983,80043.9,14267.9,12511,74739.3,19773.5,97.68,0.736827
