"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
18354.1,12961,92805.7,19407.4,15433,82413.1,17056.6,9802.8,0.53716
19530.3,19583,65359.8,5988.48,6098,64359,18238.7,9883.8,0.546403
26230.5,16862,101948,22037.1,16787,86032.3,25609.6,10771.8,0.54743
20269.3,19486,68170.3,10560,10538,65672.8,6108.8,2330.4,0.553593
22901.9,19151,78371.8,18833.9,16923,72936.2,8357.12,5238.6,0.55462
15432.1,15376,65774.9,8204.16,8012,67107.8,13871.4,85213.8,0.55462
20435.1,14727,90937.6,23969.3,18243,86107,6999.04,5350.2,0.560782
16512.6,15885,68125.3,7197.44,6944,67927.9,12006.4,7024.8,0.564891
14198.4,14438,64448.4,4191.36,4358,63030.1,9479.68,4113,0.565918
20087.1,19965,65936.9,6526.08,6688,63949.3,6466.56,3616.8,0.566945
12199.7,12203,65518.4,5733.12,5670,66265.6,15665.9,7033.8,0.585432
12189.3,12527,63769.2,4327.68,4395,64532.2,10542.1,10.2,0.585432
16700.5,14931,73302.9,9951.36,9467,68889,6444.8,2727.6,0.586459
20715.3,19685,68966,10577.3,10265,67529.7,22836.5,6988.8,0.587486
23110.1,22536,67205.5,9418.88,9493,65024.3,6967.68,3388.8,0.587486
15984.2,14014,74749.7,8107.52,7338,72408.6,16832.6,7915.8,0.587486
15511.5,15782,64412.8,5219.2,5426,63038.2,8420.48,3649.2,0.588513
10374.5,10735,63334.9,3507.84,3659,62828.6,10080,4833,0.595703
12815.7,13007,64572,5071.36,4987,66644.6,7384.32,4495.8,0.601865
40322.8,25262,104607,39616.6,26739,97098.5,9486.08,5655,0.605973
12763.5,12698,65873.9,8497.28,8382,66437.3,10323.8,6962.4,0.605973
16557.3,16523,65671.9,6577.92,6539,65926.1,9956.48,3783,0.613163
13351,12740,68679.2,6334.08,6076,68319.7,8997.76,5166,0.615217
23650.7,19677,78770.6,12735.4,11232,74307.7,26712.3,14043,0.620353
14164.8,13995,66331,7473.92,7103,68958.3,19324.2,12454.8,0.636786
32905.7,28190,76499.1,16860.2,15834,69783.2,15772.8,7996.8,0.637813
20311.6,18781,70877,10877.4,9984,71400.6,9255.68,5241.6,0.642948
52263.2,28730,119218,38371.2,24602,102215,14738.6,7750.8,0.647056
9710.94,8851,71903.3,9429.76,8759,70554.7,11241,6748.8,0.649111
15774.8,15823,65336.5,8755.84,8683,66085.8,8303.36,7080,0.651165
12001.4,11357,69254.3,9606.4,8960,70264,17621.1,9389.4,0.653219
14935,14138,69230.5,8155.52,7630,70049.8,8808.32,4637.4,0.655273
13867.8,14294,63581.9,5383.04,5422,65065.1,6385.28,3215.4,0.657327
24545,24019,66971.3,10123.5,9907,66968.3,14231.7,8801.4,0.658354
12381.3,12253,66222,8438.4,8016,68989.4,13554.6,8226,0.659381
13192.7,13479,64143.9,6453.12,6591,64165,16355.2,7537.2,0.660408
28360.3,19811,93817.5,26296.3,21091,81710.5,28348.2,16418.4,0.667598
15143.2,14247,69658.6,5673.6,5287,70328.2,8763.52,5632.8,0.679923
12901.5,13199,64058.9,4807.68,4683,67280.8,9883.52,6235.2,0.679923
32888.3,23059,93471.9,24590.1,20363,79140.4,31685.8,14670,0.688139
15803.8,15615,66328.6,7179.52,7311,64357.4,7674.24,3472.8,0.689166
16037,16455,63871.2,4786.56,4851,64665.4,13033.6,7378.8,0.693275
16952.2,16574,67031.6,8969.6,9150,64243.9,16594.6,6221.4,0.694302
31796.8,22276,93546.1,31150.7,22220,91876.4,22638.1,11974.2,0.695329
18660.3,17439,70125.8,10538.9,9663,71476.4,10565.8,4943.4,0.696356
20315.1,17927,74266.1,13118.7,11895,72278.1,18830.7,9147,0.69841
16882.6,13196,83845.2,11886.1,10293,75679.2,20478.7,8451.6,0.701491
14609,13987,68450.6,5312.64,5071,68658.9,19226.9,9148.8,0.701491
18736.3,15987,76806.4,11461.8,10455,71846.8,17992.3,9103.2,0.701491
58755.7,46818,82246.5,35689.6,29702,78747.3,6930.56,2281.8,0.702518
18814,18446,66843.6,10407.7,9863,69155.2,8847.36,4468.2,0.703546
20732.1,17295,78560.2,13221.1,11867,73014.2,10915.8,6001.8,0.708681
20906.1,18147,75500.2,10959.4,10115,71006.7,14030.1,6859.2,0.709708
26225.9,20203,85073.4,21586.6,17515,80770.6,8991.36,4648.2,0.709708
18949.8,19103,65010.3,6851.2,7010,64051.4,7366.4,3345,0.717925
25836.1,19462,87000,24422.4,20114,79573.8,13037.4,8524.8,0.719979
18592.5,16456,74044.5,11038.7,10129,71422,17897.6,8709.6,0.721006
17148.9,15820,71040.9,8903.04,8485,68764.8,7611.52,3508.8,0.725114
11738,10353,74303.5,6774.4,6201,71596,6426.24,3378.6,0.726141
11666.7,11577,66043.8,7268.48,7428,64128.6,6169.6,55.8,0.729222
7515.64,7931,62103.8,3157.76,3279,63112.8,10633,4119,0.733331
18854.1,15713,78636.8,14378.2,12429,75814,6970.88,3373.8,0.733331
16586.8,16333,66554.5,7549.44,7328,67516.4,12001.9,8904.6,0.733331
21026.2,19511,70625.3,9667.2,8695,72863.7,20131.8,9351.6,0.737439
10467.3,10775,63664.3,3503.36,3635,63162.6,14419.8,5657.4,0.74052
13002.4,13327,63940,4629.76,4594,66046.1,8387.84,5431.2,0.741547
8561.38,8811,63679.3,3641.6,3771,63287.2,9262.08,3792.6,0.743601
14085.3,14303,64538.5,4431.36,4511,64379,13331.8,5166.6,0.743601
23574.1,20903,73910.5,17134.7,15239,73688.6,11506.6,5529.6,0.748737
15347.4,15580,64557.5,5376,5473,64374.5,6412.8,3870.6,0.752845
32113.4,26611,79087.1,22418.6,20203,72723,12764.8,5317.8,0.754899
10542.7,10642,64924.2,3589.12,3734,62993.2,9875.2,4372.2,0.756953
11261.9,11378,64867.1,6467.84,6210,68257.1,6179.84,3222,0.75798
39810.6,22741,114728,43526.4,28141,101366,8322.56,2215.8,0.759008
11841.3,11959,64890.9,4080.64,4263,62732.5,13197.4,7172.4,0.759008
16691.8,15169,72115.2,10720.6,10061,69832.8,12380.8,4944,0.762089
32533.4,23019,92623.8,26337.3,21343,80871.5,19255.7,7017,0.764143
7271.46,7598,62719.5,2637.44,2739,63106,6602.24,4303.2,0.766197
13926.4,12862,70959.4,6702.08,6247,70310.2,18705.9,9769.8,0.768251
12337.2,12682,63754.1,4259.2,4455,62655.6,8591.36,4671,0.769278
15458.7,15322,66120.9,7753.6,7534,67446.2,7680.64,3543.6,0.778522
13137,13551,63533.8,5437.44,5579,63873.1,15397.1,8564.4,0.779549
11378.4,11687,63805.7,5521.28,5699,63492.3,12695,4754.4,0.786738
11335.5,11839,62748.9,3943.04,4187,61717.5,7896.32,2784.6,0.787766
13525.6,12283,72165.9,8698.24,7926,71921.3,11706.2,6447.6,0.78982
18298.4,18451,64994.1,7018.24,7311,62911.7,6951.04,2656.8,0.791874
15930.9,15935,65519,6489.6,6495,65481.5,10944.6,4242.6,0.798036
23280,20922,72922.3,10467.8,9678,70884.5,12284.2,6146.4,0.80009
42348.7,34453,80555.1,26809,23117,76002.6,10474.9,4656.6,0.803172
20694.4,20155,67289.9,8193.28,8107,66233.5,7576.32,3896.4,0.805226
32924.3,25291,85315.9,19009.9,15446,80657.4,16150.4,6672.6,0.806253
17781.6,16722,69688.9,10224,9914,67585.2,8656,3502.8,0.80728
16741.1,14611,75090.4,8777.6,8019,71735.7,13161.6,6439.2,0.810361
14453.6,13721,69035.1,8364.16,8132,67407,10089.6,4942.8,0.813442
23946.5,22208,70666.2,13230.7,12808,67699,9981.44,4521,0.814469
7038.3,7343,62816.6,2709.76,2779,63903.1,10295.7,3471,0.815497
19389.4,19551,64994.3,5073.92,5186,64119.6,7690.88,4723.8,0.815497
11027,11301,63946.8,3535.36,3597,64412.9,7402.24,3393,0.819605
27239.7,19805,90137.9,15797.1,13168,78620.9,19283.8,9833.4,0.820632
22283,20905,69856,12425.6,11796,69033.9,6289.28,2267.4,0.821659
16967.9,17171,64760.8,4784.64,4951,63333.9,17127.7,6880.2,0.823713
21935.6,20293,70840.8,11979.5,11209,70041,8481.28,3222.6,0.823713
14709.4,14567,66176.6,6930.56,6647,68331.8,9296.64,3169.2,0.823713
17639.5,17715,65256.8,6241.92,6067,67425.5,10397.4,5239.2,0.828848
49346.4,30455,106188,30066.6,18235,108058,19116.2,12013.8,0.828848
9920.9,10320,63001.6,2906.24,3048,62488,9336.96,3465,0.830903
25411.5,23423,71099.8,10659.8,9826,71097.4,21614.1,12022.8,0.832957
36236.7,26207,90617.2,24204.8,19183,82692.3,6645.76,3410.4,0.836038
14931.5,15217,64306.5,5235.84,5373,63863,12455.7,6213,0.837065
19939.8,19446,67200.3,10255.4,10134,66320.8,6746.24,3402.6,0.838092
16600.8,15283,71186.8,11625,11379,66952.6,9312.64,3756,0.844255
15069.6,13903,71034.9,9753.6,8971,71253.1,11072.6,4222.2,0.846309
22980.2,22910,65736.8,8856.96,8858,65528.3,7130.24,3976.2,0.846309
23703.4,21061,73758.5,13020.2,11929,71530.7,10966.4,5371.8,0.848363
31446.4,25810,79847.9,20409.6,17306,77289,16289.9,6853.8,0.848363
16231.3,16442,64696.2,6306.56,6362,64964.9,6346.88,3070.2,0.851444
8915.18,9155,63819.3,3101.44,3203,63458,6448.64,2639.4,0.852471
18838.4,18404,67082.9,7994.24,8088,64776.3,6592,2037,0.857607
13991.9,14110,64987.6,5262.08,5226,65988.5,7319.68,4468.2,0.857607
19105.2,18474,67775.2,9807.36,9338,68830.1,6767.36,4292.4,0.860688
21444.9,20192,69602.5,13284.5,12236,71151.7,9253.76,5029.2,0.863769
38569.4,29462,85794.8,19914.9,16418,79494.5,7134.08,25.8,0.864796
15974.4,15207,68843,10898.6,10023,71260.9,26526.1,15571.2,0.865823
16689.5,16670,65612.7,7370.24,7230,66807.2,13212.8,7199.4,0.86685
19009.5,19292,64576.3,9390.08,9201,66882.8,11319.7,6016.8,0.867877
31369.9,28107,73143.9,21542.4,19551,72211.3,14298.2,9243,0.867877
25889.5,24751,68550.4,13000.3,12319,69160.6,7111.68,4028.4,0.868904
12869.6,13086,64452.3,6428.8,6494,64878,18138.9,8065.8,0.870959
14206.5,12871,72336.1,12441,11491,70953.9,8268.16,4015.2,0.870959
25044.4,22222,73859.7,14945.9,13070,74942.3,14463.4,93,0.870959
10379.7,9874,68892.3,6526.08,6034,70880.5,7216,2699.4,0.87404
20890.4,20743,66001.8,8257.28,8411,64338.3,7528.96,2392.2,0.876094
10180.7,10489,63610,3010.56,3076,64141.8,9866.88,3736.2,0.877121
37660,28413,86864.6,26972.2,23280,75929.9,10339.8,6235.2,0.883283
13768,12943,69713.5,8120.32,7698,69131.4,7778.56,4128,0.887392
50268.6,34447,95636.9,43275.5,31195,90915.4,41605.1,21157.2,0.890473
17499.8,17405,65892.8,4817.28,4944,63856.2,6979.84,3349.8,0.8915
11712.5,12011,63907.4,3564.8,3759,62150.2,8131.2,3112.8,0.893554
29774.3,21099,92482.5,17785,14022,83123.3,41035.5,22617.6,0.894581
10992.7,11326,63607.6,3564.16,3671,63628.7,7451.52,3930,0.903825
18277.5,16991,70498.3,11381.8,11071,67375.6,13833,7084.2,0.904852
13223.4,13423,64561.6,6056.32,5919,67056.4,14894.7,9633.6,0.904852
20085.4,20035,65700.9,10159.4,10051,66242.5,12806.4,6539.4,0.90896
15943.6,14846,70381.3,9764.48,9107,70267.4,12995.2,6820.2,0.90896
11005.5,10947,65886.2,5989.12,6011,65297.4,8849.92,5005.2,0.913069
16474.9,16807,64241,6570.88,6471,66547.5,6470.4,3545.4,0.91615
11600.6,11990,63407.5,4593.92,4682,64303.1,7952.64,2814,0.917177
17693.5,17650,65697.4,7743.36,7846,64678.7,16504.3,8721.6,0.923339
9734.14,9284,68713.5,8394.24,7724,71222.8,10138.2,6676.2,0.923339
