"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
10237.6,10327,64968.5,4328.32,4455,63672.5,11672.3,840,0.551489
21453.6,20826,67511,7705.6,7690,65668.9,15971.2,379.8,0.552556
24756.7,18923,85739.9,15057.3,12815,77003,8377.6,590.4,0.552556
13619.6,12550,71121.2,7175.68,6742,69751.6,6635.52,225,0.55789
22006.9,21115,68304.4,12793,12415,67531.2,17047.7,847.8,0.558956
17123.3,16699,67201.3,10333.4,9451,71655.1,7927.68,564,0.562156
16619.9,15914,68443,10156.2,9507,70011,34249.6,3418.8,0.566423
31381.5,24047,85524.9,17111,13979,80219.5,28330.2,1906.8,0.57069
20633.5,17273,78286.2,9236.48,8282,73088.9,13001.6,889.8,0.58029
17846,17640,66301.4,7319.68,7141,67175.8,9783.68,1468.8,0.590958
44090.4,28280,102175,32828.2,23713,90727.7,35027.2,1501.8,0.602691
56634.1,49383,75158.9,23792,20999,74252.7,18222.7,1470.6,0.602691
23240,22543,67562.3,8286.08,8255,65782.8,11050.2,253.2,0.611225
32455.1,23926,88898.1,22009.6,18402,78383.9,18986.2,625.8,0.613358
22063.2,21434,67459.8,8250.24,7914,68320.4,20827.5,1661.4,0.615492
14139.2,14327,64677.1,4899.84,5027,63878.2,10542.7,429.6,0.621892
15838.1,12867,80668.6,15900.8,13047,79870.8,27049,2120.4,0.626159
12419,13076,62243,3511.04,3516,65443.6,10946.6,822,0.633626
46202.2,38160,79347.7,22864,18812,79652.1,47328,2680.2,0.633626
12990.8,12503,68093.1,10508.2,10159,67788.5,9287.68,555.6,0.634693
11518.2,12310,61320.7,4082.56,4122,64908.9,9731.2,414,0.635759
27620.8,22018,82212.5,12819.8,10646,78918,14961.3,1063.8,0.635759
19566.3,19592,65450,8872.32,8785,66187.4,17902.7,862.8,0.641093
11729.3,11770,65309.6,4790.4,4483,70029.8,16678.4,666.6,0.641093
9347.28,9723,63003.5,4787.84,4639,67638.7,10835.8,826.8,0.643226
37765,24407,101404,26560.6,19619,88724.1,19751.7,851.4,0.64536
15057.4,13051,75611.1,9721.6,8763,72705.1,22502.4,1444.2,0.65176
19891.1,18267,71362.7,8024.96,7147,73586.7,29025.3,1891.2,0.65496
16646.6,15786,69108.7,8686.72,8126,70058.2,17014.4,1801.8,0.659227
20747.2,20148,67485,8707.84,8732,65354.7,12665,381,0.660294
21216.4,19123,72710.3,9494.4,8703,71495.5,30136.3,1433.4,0.662427
28844.6,20763,91044.5,23554.6,18070,85427.3,22580.5,1510.8,0.669894
16339.8,16612,64462,6621.44,6764,64154.7,6012.16,151.8,0.674161
13672.9,13233,67714.7,9935.36,9401,69261.1,14874.9,849,0.677361
12727.5,12947,64425,4524.16,4627,64079.4,25043.2,2160.6,0.679495
13163.1,12271,70300.5,5670.4,5199,71478.2,8856.96,567,0.682695
18460.8,16898,71597.1,10183.7,9618,69390.5,12067.2,546.6,0.683761
8361.86,8715,62880.4,3198.72,3243,64641.2,11457.9,705,0.686962
16090.4,16151,65289.9,8593.92,8487,66361.6,6569.6,259.2,0.690162
42170.6,33259,83096.2,31665.9,26486,78353,53271.7,3767.4,0.690162
56071.5,44058,83406,41029.1,32014,83990.9,19640.3,1382.4,0.691228
10733.5,10954,64216.7,3507.2,3523,65242.1,16857,1849.8,0.695495
14810.3,13171,73692.8,8961.92,8307,70702.8,11711.4,333,0.699762
22060.3,18634,77586.3,14670.1,13178,72956.3,32839.7,3369.6,0.705096
12327.9,12575,64248.2,4659.2,4731,64541.4,13093.1,696.6,0.708296
15780.6,15351,67370.2,6693.76,6487,67624.8,23189.1,1924.8,0.709362
9938.88,10382,62738.8,2801.92,2842,64611.8,8605.44,884.4,0.712563
13498.9,13204,66999.8,7102.72,6956,66918.3,17859.2,741,0.714696
32996.8,25119,86089.3,28982.4,25647,74059,33689.6,2431.8,0.724296
52304.4,38520,88988.1,30675.2,22565,89090.6,41656.3,3784.8,0.72643
22274.3,20594,70883.3,6176,5494,73671.3,40382.1,3477,0.730697
20534.3,19060,70605.3,7455.36,7068,69127.7,10240,640.8,0.73283
26238,20666,83206,27288.3,23674,75541.4,21459.2,1251,0.737097
9697.02,9841,64577.2,3740.16,3817,64216.7,6336,315,0.737097
24168,23862,66376.5,5081.6,5254,63385.6,11388.2,692.4,0.737097
34423,29051,77654.7,16144,14127,74893,23130.9,899.4,0.738164
13495.4,12950,68296.3,6690.56,6514,67312.3,7811.84,250.2,0.738164
27436.9,23830,75455.5,17006.7,15218,73239.1,8353.28,433.2,0.741364
10902.8,11171,63962.8,3480.96,3563,64027,8299.52,463.2,0.744564
26066.4,15689,108884,12080,8692,91080.9,14410.2,1267.8,0.747764
29678.6,24211,80336.1,14416.6,12527,75421.8,35027.2,3238.8,0.748831
17718.4,17052,68097.3,6746.88,6325,69907.3,13754.9,969,0.753098
23646,16658,93028.3,22195.2,17202,84559,21019.5,1626,0.756298
19117.4,15193,82464.1,12865.9,11028,76458.2,9694.08,306,0.758431
15139.7,15262,65011,5941.76,5854,66518.5,9160.96,1155.6,0.758431
24966.1,24319,67279.8,9546.88,9247,67661.3,26153.6,1459.2,0.760565
14805.1,15047,64482.3,5776.64,5859,64614.8,7805.44,262.8,0.763765
11320.4,10407,71288.2,6119.68,5731,69980.7,24809.6,2863.8,0.766965
10754.4,10731,65678.7,4526.72,4486,66130.9,7175.68,349.8,0.771232
10721.3,10918,64355.3,4296.96,4450,63282.1,18421.1,1632,0.777632
38756.2,27090,93758.8,25004.8,18622,87998.8,7375.36,352.8,0.782965
16098.5,16291,64761.5,5317.12,5395,64590,6366.72,155.4,0.782965
61471.9,32828,122719,38972.2,21989,116153,58201.6,4585.2,0.784032
22116,18850,76890.9,10011.5,8934,73440.2,9516.16,465.6,0.788299
25718.4,22474,74996.8,10257.9,9555,70357.2,22762.9,830.4,0.789366
18834.9,16916,72970.3,9717.12,8924,71360.5,9888.64,418.8,0.798966
26784.4,23047,76163.6,11970.6,10903,71952.9,22054.4,1923,0.800033
13703.1,13923,64500.8,4792.96,4739,66282.2,6035.84,172.8,0.802166
17883.1,18091,64783,6467.84,6619,64039.3,6352.64,294.6,0.8075
18172,17175,69340.3,8599.68,7827,72005.7,19999.4,1605,0.8107
15885,13918,74798.2,9908.48,8935,72676.2,8075.52,160.8,0.821367
14530.7,14154,67280.4,10585.6,9902,70060.4,24910.7,1597.2,0.827767
19428.8,18242,69799.8,12543.4,12082,68038.5,10959.4,579.6,0.834168
13855,13974,64978.1,5024,5090,64686.2,27271.7,1946.4,0.835234
6599.24,6838,63247.7,2385.28,2458,63597.1,10981.1,652.2,0.839501
20241.4,18474,71805.9,11081,10282,70628.5,18846.7,1486.8,0.839501
10209.7,10507,63681.9,5730.56,5679,66131,12912.6,1727.4,0.850168
9938.88,9563,68111.9,7481.6,7131,68758.1,15047,1055.4,0.855502
41419.5,32740,82909.9,25110.4,18104,90899,12681.6,705.6,0.858702
60946.4,32822,121692,41405.4,25442,106656,14638.7,534,0.861902
15940.1,16227,64377.5,5040,5119,64524.6,8295.04,425.4,0.861902
