"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
13725.7,13603,66127.1,5508.48,5531,65269.2,6028.8,12.6,0.580276
28210,25192,73387.3,10599.7,9237,75204.1,43636.5,13.2,0.583488
9277.1,9287,65466.1,4924.16,4899,65872.6,35772.8,-10.2,0.584558
19135.9,17882,70131.6,8177.28,7642,70126.4,30269.4,40.8,0.5867
22925.7,18683,80418.4,12085.8,10207,77598.9,50228.5,44.4,0.5867
15504,14826,68532.9,7298.56,7150,66897.7,14532.5,27.6,0.589911
13643.3,12650,70682.2,9113.6,8446,70716.2,43770.2,-22.2,0.590982
29225,25037,76498.5,14643.2,13088,73323.4,35053.4,34.8,0.593123
22419.9,21409,68630.5,8730.88,8553,66899,22693.8,22.8,0.593123
24076.4,19446,81141.1,19274.9,16306,77468.3,51035.5,84.6,0.595265
12489.1,12380,66113.8,4794.24,4869,64529.7,25176.3,4.8,0.595265
51325.9,39350,85481.5,28294.4,22658,81838.7,68842.9,98.4,0.598476
19662,18888,68221.6,6870.4,6839,65836.9,17828.5,66,0.598476
18289.1,15782,75947.1,8894.08,7634,76353.5,55427.8,31.8,0.598476
22401.3,20744,70772,13345.9,12289,71172.4,20899.8,60.6,0.599547
16622.8,16450,66224.4,6140.8,6086,66126.1,19893.1,16.2,0.602759
14719.2,14035,68731,7377.92,7395,65384.6,15315.8,31.8,0.60383
13005.9,12800,66590.3,4298.88,4156,67789.1,8786.56,-18,0.60383
16278.3,15990,66717.5,5681.28,5750,64752.8,30487.7,51,0.605971
24631.4,21914,73662.8,13206.4,11882,72840.8,9564.16,59.4,0.607041
18338.4,18147,66227.4,7863.04,7799,66074.1,17126.4,15,0.610253
30889.1,26547,76255.1,21447,19627,71613.3,39362.6,39,0.611324
16904.1,16907,65524.8,6016.64,6079,64863.7,16835.2,55.2,0.613465
19615.6,19471,66022.7,6007.68,5999,65630.8,12308.5,10.2,0.613465
