"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
16607,14516,74976.2,13263.1,11584,75035.5,24101.2,193.39,0.567301
15151.8,14917,66567.4,6679.14,6609,66231.5,23204.2,202.52,0.569495
33444.4,23961,91474.3,25507.6,19657,85041.6,8056.62,111.22,0.572787
10862.3,10648,66855.1,6322.68,6044,68557.8,17696.6,488.04,0.572787
32258.5,19163,110322,40594.3,28271,94103.1,29335.8,322.87,0.573884
9439.08,8463,73094.6,8136.96,7483,71263.4,11531.5,74.7,0.574982
14242.6,13437,69465.1,6923.28,6333,71644.4,14503.3,419.15,0.574982
11581.8,11420,66464.3,4875,4780,66838.5,8197.02,53.12,0.574982
13663.9,12712,70443.6,6854.64,6332,70945.3,31066.6,217.46,0.576079
19060.4,18464,67652.9,10284.3,9940,67806,18937.6,254.81,0.578274
13416.4,12951,67891.1,6120.66,5943,67495.1,10523,223.27,0.579371
14802.2,14133,68639.3,7101.9,6837,68075.2,17034.4,130.31,0.580468
19467.7,18992,67177.6,6966.96,6896,66210.4,14189.8,137.78,0.581565
17899.6,17260,67964.7,9585.42,9137,68752.3,20884.5,235.72,0.581565
13521.8,12664,69975.1,6296.94,5809,71040.8,22792.4,250.66,0.584857
35197.5,25933,88948.5,27594.1,20029,90289.3,26150.3,240.7,0.585955
13467.4,12817,68861.6,6926.4,6757,67179,9108.06,102.09,0.587052
14699.6,14016,68732.2,7899.06,7680,67405.3,19936.8,135.29,0.587052
10675.3,10675,65538,3591.12,3619,65031.1,6913.92,109.56,0.587052
12225.7,12034,66580.1,4024.02,4022,65568.9,25338.3,448.2,0.588149
11897.3,11724,66504.6,4573.14,4529,66174.7,22627,162.68,0.590344
12151.6,11956,66608.2,6230.64,5952,68604,19521.1,256.47,0.591441
12638.5,12108,68407.3,6979.44,6643,68855.1,7404.54,366.86,0.592538
19618,18224,70549,11147.8,10340,70655.7,17521.9,123.67,0.593636
28404.3,21359,87153.1,17452.5,14143,80871.6,52999.4,561.08,0.593636
14647.9,14213,67541.2,8523.84,8117,68820.8,12688.3,180.94,0.594733
15102.8,14849,66656.1,5667.48,5627,66007.5,9111.96,281.37,0.596928
17240.7,16620,67983.6,8870.16,8648,67219.6,15515,185.09,0.599122
12626.9,12036,68753.6,7296.9,7092,67429.4,29583.8,322.04,0.599122
9857.28,9807,65872,4247.88,4219,65984.6,13466.7,117.86,0.600219
13543.6,13063,67946.9,7390.5,7203,67241.9,35886.2,557.76,0.601317
15944.6,14965,69826.1,8797.62,8349,69057.5,28413.8,214.14,0.602414
14373.2,12432,75768.9,9458.28,8296,74717.7,27050.4,138.61,0.602414
28028.2,25288,72637.6,19229.3,16968,74270,26780.5,253.15,0.603511
15487,13421,75624.5,9274.2,8189,74220.8,22617.7,192.56,0.604609
25972.6,21761,78219.8,12838,10985,76591,56481.4,454.84,0.604609
18224.7,15688,76132.9,9946.56,8807,74015.9,21576.4,404.21,0.607901
8475.52,8457,65679.5,3264.3,3277,65282,12763.1,193.39,0.608998
15738.6,15216,67786.9,6289.14,6160,66909.9,11593.1,234.89,0.611192
16158.8,15898,66611.3,4382.82,4410,65132.1,28781.2,158.53,0.61229
23328.8,17064,89596.4,20752.7,16760,81148.4,53229.5,471.44,0.613387
19645.2,17646,72960.9,8831.94,7933,72962.3,9223.5,139.44,0.614484
10839.9,9696,73267.6,5578.56,5128,71294.2,11686.7,468.12,0.614484
9451.32,9389,65971,3567.72,3577,65366,28335.1,215.8,0.614484
9412.56,9417,65505.1,4103.58,4093,65705.4,22852.4,156.04,0.615582
11164.2,10191,71794.7,7261.02,6699,71034.2,39064.7,145.25,0.615582
13944.1,13853,65966.9,4671.42,4553,67240.5,14826.2,289.67,0.616679
10894.3,10717,66620.1,4914.78,4797,67145.1,24231.5,175.96,0.616679
12051,11882,66467.9,5318.82,5226,66700,22709.7,143.59,0.617776
14270.5,14116,66253.2,5685.42,5644,66017,14799.7,48.14,0.617776
37053.9,25628,94754.3,21456.2,15537,90503.7,20206.7,127.82,0.618873
9546.52,9544,65553.3,3811.86,3772,66228.5,17405.7,166.83,0.619971
13315.1,13189,66162.5,5512.26,5513,65527.2,5917.08,217.46,0.622165
14681.9,14090,68289,7449.78,7262,67230.6,27346,104.58,0.622165
18702.7,18338,66839.4,6048.9,5846,67810.6,13208.5,253.98,0.62436
9086.16,9046,65827,4304.04,4262,66182.4,17105.4,25.73,0.626554
20405.4,19828,67444.6,3715.92,3680,66175.7,14299,210.82,0.630944
17444.7,14853,76971.5,13079.8,11109,77162.6,42387.5,756.96,0.632041
10004.8,9948,65910.5,4644.9,4552,66873.5,11296,156.04,0.632041
18688.4,17416,70324.2,12518.2,11720,69999.5,38292.5,230.74,0.634236
13780.2,13301,67897.1,7551.96,7201,68730.1,9203.22,24.07,0.635333
10936.4,10996,65181,2447.64,2400,66836.9,21645,123.67,0.635333
16640.3,15837,68860.1,7162.74,6713,69926.6,11643.1,321.21,0.63643
12199.2,12309,64951.4,4073.16,4085,65346.1,10254.7,107.9,0.640819
80030.6,52945,99062.9,46563.7,32525,93823.1,111425,1747.15,0.640819
21987.8,17116,84189.8,13522.9,11420,77603.7,10315.5,356.07,0.641917
17176.8,16247,69286.6,9821.76,9383,68600.5,27672.8,944.54,0.643014
30935.2,29261,69285.8,18684.9,17465,70113.6,12699.2,208.33,0.645208
10095.3,10077,65654.9,3914.04,3833,66921.6,13449.5,71.38,0.646306
7425.6,7497,64911.9,3187.08,3149,66328.5,9647.82,230.74,0.647403
16626.7,15336,71051.5,7656.48,7029,71386.4,30006.6,532.03,0.647403
25022.6,21034,77963.5,11845.1,10138,76571.2,11034.7,402.55,0.649598
6555.2,6669,64417.7,2831.4,2813,65964.7,6918.6,35.69,0.649598
23695.3,19628,79116.3,11930.9,9909,78908.3,30870.8,325.36,0.650695
45016.7,30392,97072,26715.8,18104,96710.4,25893.7,906.36,0.651792
14529.6,13856,68721.8,8051.94,7700,68531.4,23706.5,501.32,0.651792
8416.36,7201,76596.9,7762.56,7057,72088.3,18082.7,223.27,0.65289
17492.3,16309,70291,8704.8,8017,71158.5,19900.1,101.26,0.65289
14134.5,14036,65995.8,5560.62,5552,65637.8,10313.2,301.29,0.653987
11445.1,11509,65172,3663.66,3649,65799.3,10782.7,80.51,0.653987
18242.4,16525,72346.8,9217.26,8297,72804.9,21038.9,180.94,0.653987
8675.44,8800,64608.4,3805.62,3828,65152.8,6952.14,174.3,0.658376
13997.1,13665,67128.8,6790.68,6401,69525.7,9232.86,249.83,0.658376
15935.1,16017,65201,5182.32,5161,65806.7,19590.5,263.11,0.659473
16337.7,14940,71667.1,8626.8,7832,72186.7,47958.3,278.88,0.659473
17495,16581,69148.7,7449,7073,69019.9,37637.3,151.89,0.660571
22014.3,20196,71436.4,14445.6,13508,70084.9,14812.2,76.36,0.660571
11815,11448,67637,6995.04,6760,67814.6,17992.3,161.85,0.662765
17220.3,17040,66229.5,5273.58,5252,65805.3,6137.04,111.22,0.662765
23766,22845,68178.1,8960.64,8569,68531.3,20996,230.74,0.663863
10588.3,10220,67897.6,4117.62,3848,70127.9,7456.02,230.74,0.663863
14677.8,14113,68158.7,7880.34,7525,68630.7,8675.94,95.45,0.663863
16447.2,16006,67342.3,7395.96,6818,71091.5,23445.2,415,0.66496
7393.64,7561,64085.4,2910.18,2909,65562.6,17690.4,31.54,0.66496
12124.4,12088,65733.4,4165.2,4124,66190.7,8572.98,260.62,0.667154
8890.32,8942,65157.2,4288.44,4206,66820.5,9109.62,163.51,0.668252
16430.8,15028,71653.7,8976.24,8084,72769.3,18362,85.49,0.668252
19035.9,16152,77237.4,11056.5,9736,74424.7,27328.1,210.82,0.669349
16454,15524,69461.9,11865.4,11092,70105.3,14892.5,663.17,0.671544
5828.96,5997,63699.6,2864.94,2841,66088.2,12980.8,19.92,0.673738
19522.1,18848,67880,12061.9,11396,69365.6,19223.1,410.85,0.674835
33505,29187,75231.5,30803.8,27015,74727.2,57566.3,511.28,0.674835
12403.9,12132,67004.7,7193.94,7012,67236.5,35355.1,120.35,0.675933
8347.68,8458,64681.2,3331.38,3322,65721,13510.4,215.8,0.675933
19412.6,19064,66734.5,7626.06,7432,67247.2,17974.3,274.73,0.675933
12292.4,12281,65596.6,5272.02,5172,66803.4,21205.9,75.53,0.678127
16709.6,15525,70536.7,11164.1,10445,70048.2,27657.2,414.17,0.680322
16156.1,15632,67733.3,5818.02,5616,67893.5,32727.2,297.97,0.680322
15529.8,15323,66420.6,6209.58,6011,67701.1,20588.9,123.67,0.682517
7845.84,7892,65152.7,3246.36,3220,66072.5,14155.4,186.75,0.683614
7023.72,7119,64658.9,2651.22,2587,67162.9,15110.9,35.69,0.684711
19244.7,18877,66812.5,7007.52,6797,67565.8,39767.5,864.03,0.685808
23508.3,22577,68239.3,7143.24,6905,67797.2,12887.2,108.73,0.701171
7989.32,7949,65868.4,4078.62,4000,66824.1,19086.6,263.11,0.702268
12036,11344,69533.8,5652.66,5216,71022.4,7853.82,332,0.702268
14916.5,14844,65856,6805.5,6529,68311.4,8357.7,191.73,0.703365
14484.7,13709,69244.1,4923.36,4521,71368.6,39539,1588.62,0.707754
10377.5,10207,66630.6,5889,5599,68930.4,9909.9,171.81,0.708852
8814.16,8744,66061.9,4428.06,4360,66559,23747.1,534.52,0.709949
28987.7,21491,88397,20682.5,15539,87228.7,20861.1,164.34,0.709949
27546.8,20459,88240.3,23790,18207,85632,28820.2,341.13,0.712143
14330.3,14113,66545.2,5883.54,5781,66698.4,12365.3,84.66,0.713241
21026.3,16796,82042.1,14062.6,12165,75759,21457,309.59,0.714338
20685.6,19165,70735.8,8455.2,7792,71114,45227.5,566.89,0.714338
27461.1,20941,85941.1,15749.8,13136,78576.1,62309.5,798.46,0.715435
15482.2,14022,72360.9,7900.62,7026,73694.1,48677.5,465.63,0.715435
34989.4,28731,79811.5,22484.3,19179,76830.4,43917.1,297.97,0.71763
11167.6,10983,66637.8,4555.2,4551,65596.5,6289.92,106.24,0.718727
15928.3,15049,69365.3,10954.3,10557,68002.5,19266.8,420.81,0.719824
18795.2,17840,69045,10126,9488,69942.6,7167.42,124.5,0.719824
12140,11385,69882.3,7867.08,7305,70578.6,26467,346.94,0.720922
25699.9,19889,84683.5,18195.1,15245,78217.9,6148.74,146.91,0.722019
10205.4,9273,72125.9,8183.76,7529,71235.3,17997.7,176.79,0.724214
5867.72,5872,65488.2,2113.02,2120,65320.2,22271.3,153.55,0.726408
14582.6,14328,66700.5,6850.74,6744,66573.3,7657.26,48.97,0.727506
46884.6,31629,97146,40929.7,30096,89127.1,24832.9,317.89,0.727506
10614.1,10708,64961.4,4239.3,4236,65587.1,15109.4,170.98,0.728603
11582.4,11453,66276.7,4499.82,4413,66825.3,28458.3,156.04,0.728603
25450.4,20685,80634,13309.9,11497,75870.1,9017.58,172.64,0.730797
15516.9,15313,66408.7,5428.8,5397,65922.2,6262.62,48.97,0.731895
9075.28,9034,65835.5,3797.04,3790,65657.7,18641.2,39.84,0.731895
43147.4,30609,92381.5,34937,26621,86008.4,20630.2,180.94,0.732992
13972.6,13902,65869,3809.52,3790,65873.5,12093.9,215.8,0.734089
22855.5,21369,70094.8,12457.4,12057,67712.3,14726.4,252.32,0.734089
24854.7,18557,87776.9,9110.4,6624,90135.7,16709.2,85.49,0.735187
46749.3,30005,102108,49123.6,33893,94986.1,24598.1,394.25,0.737381
13351.8,12228,71559,7264.14,6688,71181.6,33614.9,606.73,0.738478
11042.5,9968,72600.6,7453.68,7104,68761.9,16984.5,177.62,0.738478
11686.5,11659,65690.5,4310.28,4267,66200.7,13054.9,156.04,0.738478
18710.2,17904,68487,8611.98,8392,67253.9,28296.1,190.9,0.739576
22408.7,18295,80272.1,15933.8,13431,77748.5,60459.4,1809.4,0.740673
28247.9,21100,87737.1,18671.6,15557,78656.8,22949.9,200.86,0.74177
12036,12065,65378.5,2735.46,2689,66668.3,24041.9,183.43,0.74177
39857.5,28940,90259.2,31711.7,24524,84743.8,25682.3,195.88,0.742868
14280.7,13805,67794.2,7172.88,6928,67852.5,5855.46,138.61,0.743965
14522.8,14425,65980.1,5542.68,5529,65698.1,7568.34,90.47,0.743965
14078.7,13941,66183.4,4942.08,4897,66139.3,11611.9,113.71,0.747257
36295.7,26797,88766.4,23269,18224,83678.4,28248.5,166.83,0.747257
15233.4,14232,70147.1,10019.9,9404,69828,18437.6,305.44,0.747257
