"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
15820.9,14600,71016.2,8048.82,7365,71620.8,14272.4,13.28,0.589893
17425.7,17152,66581.7,7015.32,6912,66515.6,13210.9,-8.3,0.589893
9581.88,8994,69819.7,7171.32,6786,69257.2,28519.1,69.72,0.592128
16641,16361,66657.4,5906.16,5613,68958.9,42541.2,50.63,0.593245
51508.6,40152,84072.3,36986,31612,76677.1,51766.3,102.92,0.593245
14423.5,13740,68796,6570.72,6120,70362.5,9622.08,38.18,0.594362
12293.7,11214,71846,9019.92,8410,70288.9,17298.8,59.76,0.594362
20277.6,16029,82906.8,16685.8,14153,77264,17954,85.49,0.59548
24634.4,19631,82239.2,26764.1,21503,81570.7,18185.7,84.66,0.597714
16371,13042,82264.2,16789.5,14674,74984.1,13951.9,115.37,0.602183
13235.5,13161,65907.1,4428.06,4381,66240,9795.24,14.11,0.605535
16199.6,15732,67484.1,6654.96,6468,67430.3,28931.8,-17.43,0.605535
12828.2,12188,68978.4,8452.08,7960,69587.4,16818.4,-10.79,0.610003
36701,26802,89740.9,22161.4,16662,87166.4,22418.8,79.68,0.612238
8808.04,8086,71388,6111.3,5782,69268.4,8226.66,-0.83,0.612238
30632.6,24489,81977.3,18337.8,15373,78175.1,20985.9,57.27,0.621176
11649.1,11441,66727.9,5858.58,5729,67018.3,10594.7,-11.62,0.622293
52496,45396,75785.9,27730.6,24244,74960.8,23589.5,136.95,0.622293
9415.96,9336,66097.3,4272.06,4060,68959,7404.54,-43.99,0.62341
16304.4,16160,66121.4,5574.66,5472,66765.5,6715.02,39.84,0.624527
35996.5,32350,72923.2,22188.7,20334,71513.5,10660.3,77.19,0.625645
28405.6,19480,95564.3,28929.4,20021,94696.5,42180.1,151.06,0.626762
15807.3,15221,68060.3,9077.64,8413,70713.4,13918.3,40.67,0.626762
11512.4,11424,66043.1,4785.3,4792,65444.4,9799.14,-23.24,0.630113
10242.8,10333,64964.2,4402.32,4400,65570.6,12559.6,-2.49,0.631231
10478.1,10475,65555.5,4646.46,4591,66327.7,8434.92,29.88,0.631231
18132.2,17424,68199.7,9650.94,8944,70716,8510.58,29.88,0.631231
13784.3,12257,73702.1,8694.66,7969,71503.7,59241,73.87,0.633465
19109.4,17176,72912.8,6806.28,6040,73850.4,11799.1,86.32,0.636817
10298.6,9776,69039.4,5743.14,5536,67988.1,18108.5,63.08,0.642403
24682,23338,69310,11727.3,11258,68267.9,18480.5,44.82,0.644637
14966.8,14073,69698.3,8314.02,7780,70034.4,33307.6,34.03,0.649106
29240.7,22288,85979.8,18943.9,15392,80659.1,34229.5,73.87,0.650223
12422.9,11175,72854.5,8346,7623,71751.7,12444.9,-2.49,0.651341
13822.4,13444,67380.4,5080.92,4672,71272.1,14802.1,-12.45,0.652458
17045.6,14911,74917.7,9876.36,8619,75096.5,20005.4,82.17,0.652458
10421,10045,67989.1,6419.4,6032,69745,17466.5,-4.98,0.653575
18874.1,16180,76448.2,10448.9,9108,75184.2,19274.6,11.62,0.653575
16510.4,16193,66820.6,6763.38,6653,66623.3,16457.2,-25.73,0.653575
15660.4,15114,67905.3,8051.94,7694,68584.9,5589.48,0,0.653575
21785.2,18325,77910.6,13783.4,11809,76493.1,57820.6,30.71,0.656927
9718.56,9592,66400.7,4017,3960,66479.3,6124.56,14.11,0.658044
13935.2,12098,75488.5,17408.8,15746,72456.8,12788.9,11.62,0.658044
15034.1,14497,67964.1,6615.18,6389,67856.1,9722.7,0.83,0.659161
16024.9,15677,66990.3,7244.64,7168,66236.7,9297.6,24.9,0.661396
9633.56,9480,66597.6,4639.44,4636,65584.6,25071.5,25.73,0.661396
13157.3,11696,73724.2,7211.1,6532,72349.5,22851.7,29.05,0.665865
17578,15268,75451.4,8122.92,7396,71977.3,14460.4,19.09,0.670333
14695.5,14487,66479.1,5742.36,5687,66174,5757.18,23.24,0.671451
16515.2,15696,68956.3,9774.96,9104,70366,32837.2,72.21,0.672568
13800.6,13713,65954.7,5772,5765,65615.6,27861.6,-5.81,0.672568
8353.8,7723,70888.9,7239.96,6687,70955.3,13684.3,-8.3,0.673685
13863.2,13677,66428,5981.04,5961,65756.3,7046.52,-6.64,0.674802
8301.44,8321,65381.9,3268.98,3253,65857.9,15997,-8.3,0.678154
9751.88,9805,65180.9,3295.5,3296,65526.1,5585.58,15.77,0.682623
26619.3,23403,74542.6,15759.1,13851,74564.3,44141,159.36,0.682623
15181,14096,70580.5,7466.16,7252,67471.4,20797.9,34.86,0.692678
17134.6,16625,67545,8103.42,7925,67011.4,13158.6,34.86,0.69603
19630.2,18953,67877.8,9732.06,9236,69055.9,5586.36,0.83,0.697147
10646.1,10704,65181.4,3716.7,3700,65831.8,10097.1,34.86,0.698264
13572.8,13368,66540,5123.04,5048,66510.2,11392.7,63.91,0.700498
13932.5,13933,65533.7,5258.76,5241,65758.1,23126.2,6.64,0.704967
9124.24,9187,65088.3,3793.14,3827,64956.2,7871.76,5.81,0.706085
14433.7,14365,65849.3,5592.6,5520,66397.9,8512.14,-27.39,0.706085
9153.48,8978,66816.9,4791.54,4674,67184.1,8327.28,3.32,0.710553
9540.4,8286,75457.4,9496.5,8606,72317.3,47267.2,25.73,0.71614
15427.2,15117,66880.6,5692.44,5552,67193.8,11048.7,28.22,0.718374
16183.3,15657,67739,7418.58,7229,67254.7,6125.34,40.67,0.719491
15328.6,14331,70097.9,8445.84,7784,71108.2,35809,11.62,0.72396
14365,13982,67331.2,7381.14,7034,68770.3,13946.4,4.15,0.72396
16865.4,16615,66523.5,5611.32,5463,67315.3,16964.2,35.69,0.726195
9711.76,9344,68115.4,6712.68,6448,68226.1,38902.5,21.58,0.727312
14018.2,13753,66799.7,6549.66,6372,67363.2,6473.22,17.43,0.727312
14424.8,12405,76206.9,9945.78,9037,72126.4,40708.2,9.96,0.728429
20842.7,20140,67822.5,8775.78,8568,67125.3,32724.9,25.73,0.730663
25818.9,21022,80490.4,19670,17134,75236.1,9234.42,86.32,0.731781
14965.4,14505,67616.4,6465.42,6365,66570,21972.6,27.39,0.73625
21282,20293,68729.8,9607.26,9313,67606.7,17010.2,71.38,0.738484
13958.4,13819,66196.9,5931.9,5851,66442.1,7614.36,-0.83,0.738484
29829.6,22270,87782.2,20728.5,16346,83106.8,39327.6,69.72,0.739601
19038.6,18728,66623,9019.14,8780,67321,13207,11.62,0.740718
19694.8,19325,66790.2,6147.96,6128,65749.5,8701.68,-5.81,0.742953
12479.4,12429,65801.5,4485,4457,65947.7,19539,-2.49,0.746305
26015.4,22746,74955.9,15842.6,14078,73750.5,59592,56.44,0.746305
8107.64,8136,65307.6,3690.96,3637,66508.3,37829.2,-0.83,0.746305
12658.9,12328,67295,6224.4,5985,68157.4,15453.4,59.76,0.747422
31603.7,24495,84555.2,17121,13935,80519.7,28515.2,69.72,0.747422
16129.6,15873,66595.4,6505.98,6385,66777.8,13267.8,3.32,0.751891
10669.2,10753,65025.3,4750.2,4197,74174.2,7452.12,-74.7,0.751891
14085.5,13572,68015.7,7231.38,6996,67741,41342.3,92.96,0.753008
13072.3,12997,65915.8,4878.12,4757,67204.6,11859.1,24.07,0.753008
9254.8,9220,65783.4,3371.16,3368,65597.5,10047.2,-4.98,0.754125
8753.64,8821,65035.5,3733.86,3713,65904.2,14764.6,26.56,0.757477
9917.8,9949,65330.5,4484.22,4365,67326,16756,2.49,0.757477
20079,10348,127165,11323.3,7032,105529,65701,70.55,0.757477
14885.2,14721,66267,6944.34,6821,66721,40115.4,58.1,0.757477
10277.5,10389,64832.8,3864.9,3881,65264.1,7012.2,6.64,0.758594
24591.5,23537,68472.2,8959.08,8781,66865.1,37087.4,32.37,0.758594
10338.7,10329,65597.7,4863.3,4845,65783.5,22211.3,4.98,0.758594
47863.2,36572,85769.4,27402.2,22725,79024.4,11612.6,87.15,0.759711
16668.8,14989,72880.7,9597.9,8365,75195.2,8499.66,15.77,0.760828
14972.2,14893,65884.7,6335.16,6221,66738.6,6503.64,-9.13,0.760828
21528.8,20411,69125.1,13604.8,13183,67632.7,7006.74,63.08,0.763063
10591.7,10637,65256.8,3343.86,3360,65221.2,30183.7,39.84,0.767532
13741.4,13652,65965.4,4296.24,4256,66155.6,7437.3,35.69,0.767532
10250.3,10345,64936.2,3803.28,3817,65300.4,11503.4,-14.94,0.768649
13094.8,12629,67953,7137,6965,67154.4,13394.2,-27.39,0.768649
7684,7700,65399.8,3114.54,3064,66617,23119.2,47.31,0.769766
14499,13204,71963.3,9772.62,8768,73045,27699.4,42.33,0.769766
13753,13650,66030.5,4085.64,4086,65530.2,38441.5,1.66,0.774235
36265.1,28969,82041.8,20965.6,17021,80724,30112.7,104.58,0.774235
