"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
8672.72,8432,67406.9,3670.68,3476,69206.5,13323.2,7970.49,0.606174
14710.4,13768,70022,6282.9,5937,69354.2,12412.9,8475.96,0.610723
19348.7,18393,68941.3,5973.24,5661,69150.7,11273.3,7092.35,0.61186
18793.8,17361,70944.8,9079.2,8421,70658.4,39592,14260.2,0.612998
13115.2,11095,77468.7,10468.4,9059,75732,31208.6,9458.68,0.614135
14276.6,13658,68504.3,6212.7,5966,68246,11728.1,5059.68,0.614135
17414.8,16605,68732.1,6297.72,6045,68275.8,9489.48,5163.43,0.614135
10623,10236,68013.5,4454.58,4261,68513.3,11764,1599.41,0.616409
17434.5,14524,78669,11139.2,9592,76106.9,24082.5,8246.88,0.617547
7762.88,7537,67500.1,3183.96,3065,68079.6,16889.3,9866.21,0.618684
21564.8,20209,69932.9,8882.64,8281,70297.4,31449.6,13121.5,0.619821
16981,15909,69951.9,8123.7,7661,69494.2,16439.3,9289.36,0.620959
23902,21312,73500.5,15813.7,13732,75471,21961.7,11792.6,0.622096
19114.1,15587,80365.9,14293.5,11667,80289.6,9155.64,3964.91,0.623233
12939,11262,75295.1,6784.44,5966,74526.5,6539.52,1038.33,0.62437
13797.9,13017,69467.5,5579.34,5273,69343.4,21556.9,2250.96,0.625508
17588.2,16576,69537.9,6865.56,6480,69435.4,6645.6,1234.21,0.626645
19756,16993,76192.1,14115.7,12229,75646.7,8079.24,1899.04,0.626645
11899.3,11345,68738.1,4306.38,4101,68818.1,7822.62,942.05,0.62892
24585.4,19703,81775.8,15788,13347,77521.6,33750.6,18020.1,0.631194
16938.8,15037,73824.6,11048.7,9785,73999.8,45640.1,6773.63,0.631194
10430.5,10109,67620.4,4708.86,4521,68259.2,10204.7,6558.66,0.632331
11600.1,11097,68507.3,4227.6,4041,68562.2,5776.68,1440.05,0.633469
12794.9,11911,70399.2,9090.12,8195,72694.3,37942.3,5514.52,0.634606
12843.8,12257,68673.7,5237.7,5001,68637.9,27109.7,13723.2,0.635743
7543.24,7200,68660.3,3967.08,3812,68202.1,9039.42,3285.97,0.636881
12242.7,11413,70300.4,7757.1,7169,70912.2,9155.64,3031.16,0.636881
23109.8,19367,78201.3,15836.3,13879,74778.5,22338.4,5419.9,0.638018
18455.2,16145,74913.6,11859.9,10081,77100.5,21150.5,3540.78,0.639155
15579.5,13167,77543.6,10675.1,9183,76184.5,22090.4,2625.29,0.640292
17333.9,16065,70712.3,7952.1,7225,72131.3,7427.16,1783.67,0.640292
16321.4,14108,75817.7,11005,9480,76078.6,31277.2,6454.08,0.64143
14221.5,13180,70714.8,7371.78,6837,70662.1,15151.5,6551.19,0.64143
13841.4,13001,69772.3,6857.76,6413,70081.1,17611.6,3150.68,0.64143
17938.4,16817,69906.1,7835.88,7401,69386.9,26906.1,3971.55,0.642567
15652.9,14712,69727.4,5928.78,5576,69682.3,43180.8,6590.2,0.642567
13978.1,13149,69668.2,5253.3,4976,69188.2,17726.3,7675.01,0.644842
18221.3,17144,69654.1,6981,6524,70126.7,21288.5,2927.41,0.647116
10421.7,9955,68608.3,4701.06,4403,69972.4,18370.6,4234.66,0.649391
20599.9,16044,84145.9,15240.4,12136,82300.3,38298,23153.7,0.65394
22091.2,19493,74271.1,12004.2,10421,75492.5,17392.4,3731.68,0.65394
12260.4,11445,70205.1,6678.36,6181,70809.4,19745.7,4923.56,0.658489
28693.3,25758,73004.2,15690.5,14142,72711.9,39016.4,13120.6,0.661901
14326.2,13736,68352.1,5122.26,4661,72021.5,17134.3,2140.57,0.661901
7358.28,7233,66671.1,2785.38,2703,67533.4,7743.06,1755.45,0.663038
18405.6,17153,70321.6,7087.08,6469,71797.6,7942.74,1763.75,0.665313
14800.2,12917,75090.6,8800.74,7729,74623.5,13231.1,1343.77,0.665313
7748.6,7580,66993.7,3241.68,3080,68976.2,20618.5,3589.75,0.66645
12367.2,11713,69196.1,5361.72,4961,70829.6,26242.3,12904,0.66645
18357.3,16413,73299.4,10789,9312,75930.6,47357.7,4946.8,0.667587
8342.92,8059,67844.9,3649.62,3487,68592.3,23134,4062.85,0.667587
13145.1,12675,67966.5,4288.44,4055,69308.8,11791.3,7898.28,0.669862
14195.7,13702,67897.2,4140.24,3926,69112.3,22947.6,14721.7,0.670999
17211.5,16356,68963.8,6933.42,6544,69435.9,8153.34,4169.92,0.673274
9315.32,8901,68586.5,5404.62,5045,70207.6,7853.04,4164.94,0.673274
12949.9,12204,69541.6,5992.74,5557,70674.9,22975.7,2665.13,0.677823
11254,10821,68158.4,4952.22,4685,69274,19236.4,5567.64,0.677823
21086.8,18328,75400.7,13302.1,11397,76491,32430.1,4090.24,0.677823
19832.9,18653,69681.4,7609.68,6809,73242.5,27552.7,5175.05,0.677823
17888.1,16566,70766.2,5970.12,5334,73351.7,11618.1,8497.54,0.67896
18430,16225,74442.6,10211.8,8917,75051.9,19977.4,7347.16,0.67896
16372.4,13992,76685.2,12015.9,10604,74262,48327.2,6898.96,0.680097
26532.9,23556,73818.2,10842.8,9840,72214.7,8448.96,2487.51,0.681235
12122.4,11029,72032.9,7983.3,7101,73678.9,26849.9,5678.03,0.683509
11619.2,11125,68447,4212.78,3985,69282,24350,5869.76,0.684647
21302.4,15568,89675.7,19904.8,14496,89989.1,62352.4,16243.1,0.684647
