"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
10947.3,10579,67817.7,4294.68,4055,69409.7,7927.14,69.72,0.656402
20242.9,18616,71263.4,11428.6,10396,72045.2,25515.4,168.49,0.656402
52997.8,24408,142300,69191.5,39740,114105,44859.4,1217.61,0.656402
7993.4,7876,66512.9,2308.02,2252,67166.3,6583.98,149.4,0.660124
30145.8,24321,81231.5,19001.6,15333,81216.2,16389.4,325.36,0.662606
21441.8,16360,85892.9,16591.4,13432,80950.9,10774.9,565.23,0.666328
14247.4,12997,71840.8,8146.32,7249,73648.4,11729.6,128.65,0.670051
25990.3,20206,84296.7,15915.9,12958,80495.8,9143.16,194.22,0.672532
9378.56,9061,67832.8,3462.42,3293,68907.7,15131.2,176.79,0.678737
17366.5,15823,71929,8469.24,7675,72317.9,9342.84,190.07,0.679977
12339.3,11453,70607.4,8452.08,7801,71005.7,6786,242.36,0.682459
15151.8,14261,69629.5,7740.72,7217,70291.8,11288.9,271.41,0.6837
15525.1,14847,68529.1,9118.2,8415,71012.5,9248.46,146.08,0.684941
25005.6,19561,83777.4,13307.6,10857,80328.4,8767.2,87.15,0.686182
13372.2,12680,69113.6,5612.1,5240,70189.8,5594.16,112.05,0.687422
16815,13611,80963.2,11105.6,9307,78201.3,21652.8,210.82,0.688663
17027.2,16161,69048.6,7366.32,6853,70444.9,13441,296.31,0.692386
19221.6,17953,70166.8,10876.3,9909,71933.6,9209.46,102.92,0.694867
21392.1,14194,98770.9,8236.02,5014,107650,14032.2,89.64,0.696108
15394.5,15003,67246.2,2705.82,2619,67708.5,11266.3,126.99,0.69859
6859.16,6677,67323.9,3105.18,2945,69100.5,6002.88,115.37,0.701072
23391.3,18239,84049.2,18172.4,14795,80496.7,9791.34,218.29,0.702312
52171,35585,96082,27973.1,18081,101391,37417.4,605.9,0.706035
13257.3,12588,69020.4,6389.76,6037,69365.5,8182.2,23.24,0.706035
8630.56,8354,67705.6,3610.62,3382,69966.2,6816.42,64.74,0.709757
20650.9,19180,70562,8297.64,7784,69860.5,7926.36,141.1,0.710998
10401.3,9880,68993.8,4679.22,4376,70077.1,10119.7,65.57,0.712239
15469.3,14777,68606.4,4660.5,4397,69463.4,6396,116.2,0.71348
9817.84,9172,70150.7,6492.72,5980,71155,6981.78,182.6,0.719684
12468.5,11849,68962.3,5709.6,5241,71395.6,6254.04,210.82,0.723407
14262.3,13136,71155.3,8919.3,8224,71076.8,9432.54,73.87,0.72837
19557.5,18211,70381.6,7796.88,7223,70743,5838.3,6.64,0.729611
25107,18382,89512,19769.1,15374,84271.4,49195.4,397.57,0.732092
16745.7,16017,68517.5,5837.52,5553,68893.9,7638.54,173.47,0.734574
23165.6,18711,81138.3,13157.8,10979,78541.8,8757.06,221.61,0.738297
8300.08,8072,67387.8,3676.92,3525,68360.5,8611.2,29.05,0.74326
15481.6,14629,69355.4,7812.48,7377,69404.7,11597,176.79,0.744501
25943.4,20487,82990.4,15486.9,12727,79747.7,12872.3,239.87,0.749464
28919,22217,85305.8,12660.2,10105,82107.6,20048.3,277.22,0.751946
8721.68,8509,67174.1,2745.6,2624,68573,8935.68,54.78,0.753187
16078.6,13840,76136.4,7331.22,6292,76360.3,5702.58,341.96,0.756909
13778.8,13031,69297.1,6220.5,5799,70299.5,7363.98,103.75,0.756909
35373.6,24044,96416.8,23089.6,17576,86094.5,5644.08,209.16,0.761873
12023.1,11521,68392,6051.24,5793,68457.5,7635.42,167.66,0.761873
13954.3,13306,68729,6510.66,6126,69651.1,5785.26,205.01,0.766836
18185.9,17208,69260.4,6646.38,6245,69748.1,21378.2,177.62,0.768077
18091.4,13479,87961.9,15281,11847,84532.3,23471,210.82,0.769318
17042.2,15568,71741.7,8972.34,7984,73648.7,14532.2,209.99,0.770558
14026.4,12796,71837.4,10652.5,9560,73025.1,8725.86,157.7,0.771799
18311,17381,69042.8,7589.4,7041,70640.4,20951.6,139.44,0.771799
38169.8,26983,92706.3,25585.6,18259,91832.8,32879.3,240.7,0.774281
16772.2,15781,69652.3,7600.32,7073,70422,23237.8,135.29,0.775522
15272.1,11488,87123.4,13391,10820,81108.6,6924.06,190.9,0.775522
13320.5,12604,69261.6,7986.42,7288,71816.4,8484.84,190.07,0.779244
25039,18640,88034,26797.7,20960,83788.8,10330.3,312.08,0.786689
12056.4,11419,69194.2,6220.5,5807,70202.6,7090.2,57.27,0.789171
10100.7,9729,68040,4974.06,4661,69937.8,13765.4,180.11,0.790412
12475.3,10380,78764.9,9057.36,7797,76129.7,7674.42,117.03,0.791653
10671.2,10344,67609.3,4704.96,4504,68460.1,8948.16,62.25,0.800338
10249.6,9864,68098.2,4438.98,4168,69796.8,8009.82,131.97,0.800338
18868,16482,75023.1,11431.7,9966,75174.3,11209.4,186.75,0.807783
20658.4,18168,74519.4,13094.6,11468,74831.7,10686,194.22,0.807783
11394.8,10345,72186.3,7205.64,6468,73010,7056.66,90.47,0.809024
9016.8,8904,66366.3,3864.9,3669,69035.2,9962.16,58.1,0.810265
26718.6,19933,87845.7,15634.3,12800,80047.7,7271.94,165.17,0.811506
16700.1,15669,69848.7,6406.14,5909,71049.7,5691.66,175.96,0.815228
13357.9,11676,74976.4,10540.9,9704,71188.1,8694.66,160.19,0.816469
15718.2,13985,73658.1,9836.58,8573,75195.4,13052.5,188.41,0.823914
11402.9,10725,69678.5,7834.32,7269,70632.8,5835.96,83.83,0.823914
12143.4,10894,73052.4,8034,7134,73803.8,9406.02,131.97,0.827637
19305.2,16457,76878.3,12099.4,10324,76805.9,8633.82,274.73,0.830118
33996.6,26519,84015.3,26734.5,21395,81891.7,6836.7,173.47,0.830118
12242,11724,68431.8,3575.52,3285,71331.9,12458.9,321.21,0.833841
10994.2,10430,69081.4,5736.9,5390,69753.9,5883.54,85.49,0.833841
14252.1,13673,68311.8,6636.24,6061,71755.9,6247.02,190.07,0.840045
16254.7,14453,73705.8,13150.8,11769,73230.6,10101.8,209.99,0.841286
12513.4,11890,68971.9,4584.84,4358,68947.2,7922.46,95.45,0.843768
34878.6,23577,96950.5,31534.6,22660,91202.7,12323.2,232.4,0.845008
15164,13677,72661.3,10026.1,8797,74692.7,9348.3,250.66,0.84749
14278,13416,69746.6,7093.32,6648,69926,9474.66,160.19,0.849972
17882.6,17044,68760.7,6481.02,6124,69356.7,16153.8,200.86,0.851213
19072,17469,71549.6,9760.92,8685,73654.8,9026.16,232.4,0.861139
15374.1,13356,75438.6,10778,9468,74603.9,8265.66,216.63,0.864862
15593.1,13401,76256.1,9285.9,8125,74899.8,11003.5,80.51,0.867343
15636.6,14579,70290.2,8624.46,8035,70343.8,19530.4,268.92,0.871066
16241.1,15129,70353.5,4575.48,4093,73261.3,12323.2,321.21,0.871066
20106.2,16961,77689,12393.4,10641,76328.8,10705.5,192.56,0.874788
14609.1,14097,67916.8,3093.48,2981,68008.8,9597.12,48.97,0.874788
9635.6,8609,73351,6235.32,5621,72698.4,7655.7,254.81,0.876029
34131.9,22121,101120,26204.1,18793,91380.4,22795.5,900.55,0.87727
13113.1,12561,68416.6,5626.92,5297,69617.9,5592.6,70.55,0.878511
11934,11531,67826.4,4608.24,4395,68715.7,7246.98,74.7,0.879752
20287.1,17992,73896,7736.82,6840,74128.7,17388.5,201.69,0.880993
21576.4,18376,76949.9,15504.8,13525,75129.4,16777.8,108.73,0.887197
13066.2,11090,77214.3,11089.3,9602,75686.9,6040.32,144.42,0.897124
16849.7,15752,70103.1,6589.44,6028,71639.9,6115.2,137.78,0.900846
18194.8,16120,73971,11742.1,10056,76524.6,6968.52,76.36,0.900846
