"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
17170.7,15998,70339.9,8108.88,7482,71026.9,25610.5,8.3,0.606018
16244.5,15699,67813.3,5904.6,5655,68428.6,41133.3,37.35,0.606018
26376.5,23933,72227.1,12765.5,11853,70581.2,18573.4,44.82,0.606018
8933.84,8684,67421.5,3049.02,2924,68338.1,11350.6,-16.6,0.60714
12135.3,11777,67529.8,5343,5093,68753,11521.4,33.2,0.608263
19030.5,15226,81911.3,9286.68,7694,79102.1,54352,-4.98,0.609385
13034.9,11881,71901.1,9680.58,8825,71889.7,24333.7,46.48,0.610507
18154.6,16419,72463.8,11519,10080,74892,51058.8,81.34,0.611629
14714.5,14060,68586.8,10556.5,9960,69461,7377.24,115.37,0.611629
9145.32,8941,67033.6,4063.8,3917,67992.1,14373.8,-7.47,0.613874
9204.48,8276,72888.5,5180.76,4644,73110.7,8735.22,39.01,0.613874
10495.1,10304,66751.6,3557.58,3400,68573.4,14471.3,24.07,0.614996
24565.7,20679,77853.7,16624.9,14147,77015,7686.12,100.43,0.614996
25515.6,23232,71978,12830.2,11892,70706.5,10352.2,22.41,0.614996
17701.1,16779,69137.5,6126.12,5755,69762.2,31299.8,4.98,0.616118
42711.5,26532,105501,49524.5,34272,94702.4,21776,200.03,0.617241
19760.8,18441,70226.3,10711,9453,74257.2,32006.5,35.69,0.618363
15697.8,15083,68207.3,5948.28,5691,68498.8,28081.6,77.19,0.618363
13116.5,12681,67786.8,6164.34,5901,68460.6,45475.6,29.88,0.619485
45481.1,35666,83571.2,35673.3,29330,79709.7,118062,131.14,0.619485
15593.1,14525,70355.1,9117.42,8393,71192.6,35738.8,39.84,0.619485
20305.5,17924,74243.5,7837.44,6768,75891.6,44231.5,71.38,0.619485
74784.4,50252,97529.8,56852.6,41100,90654.4,106995,185.92,0.62173
16629.4,15347,71012.2,8675.94,8099,70204.5,34260.7,49.8,0.62173
11636.8,10423,73168.2,10501.9,9271,74237.3,6154.2,15.77,0.622852
45476.4,26225,113645,43946,27193,105911,173262,153.55,0.623974
9877.68,9476,68314,4849.26,4624,68728.6,37174,82.17,0.626219
23132.2,20585,73645.6,15011.9,13588,72403.5,9487.14,84.66,0.626219
27863,19845,92014.6,21415.7,15537,90332.6,36042.2,73.87,0.628463
24170.6,21765,72779.4,14784.1,13301,72843.5,29122.1,-14.11,0.628463
13753.7,13296,67791.9,5573.1,5256,69489.9,24043.5,80.51,0.628463
14538.4,12222,77956.9,7986.42,6718,77909.8,25314.1,83,0.63183
19169.2,16052,78262.7,10448.9,8868,77219,66846,88.81,0.63183
12577.3,12152,67829.6,5839.86,5576,68637.2,12344.3,-17.43,0.632952
16389.4,15325,70087.6,9079.98,8480,70172.8,30250.7,10.79,0.632952
30720.4,21768,92488.5,26992.7,19148,92385.2,39917.3,124.5,0.632952
33420.6,23003,95216.1,22341.5,16527,88592.9,58551.5,51.46,0.635197
15407.4,14542,69436.3,8751.6,8202,69927.4,26658.8,62.25,0.635197
45413.8,33537,88744.9,18844,14737,83800.1,113283,150.23,0.637441
15775.3,14690,70377.9,8283.6,7746,70084.4,21942.2,69.72,0.638564
56391.7,36585,101016,38787.1,24925,101984,151403,217.46,0.639686
13260.7,12720,68321.7,7407.66,6864,70726.8,18251.2,34.86,0.640808
21302.4,19689,70906.2,11866.1,10761,72266.5,21741.7,47.31,0.643053
14624.1,13728,69813.8,7288.32,6752,70741.6,7768.8,8.3,0.644175
11836.1,11477,67586.4,4411.68,4181,69151.8,17034.4,21.58,0.646419
13230.8,12831,67577.8,5532.54,5263,68892.4,10161.8,34.03,0.647542
15903.8,15144,68824.2,7714.98,7345,68837.2,11503.4,-23.24,0.650908
24322.2,19565,81471.1,13956.5,11757,77796.7,6620.64,83.83,0.650908
17492.3,15080,76019.7,15358.2,13457,74794.9,35433.8,79.68,0.650908
14478.6,13495,70312.5,8221.2,7719,69799.8,14153.9,44.82,0.653153
17772.5,16867,69054.2,6591,6183,69860.6,20100.6,-11.62,0.654275
27097.3,18164,97767.6,22286.2,14700,99356.9,112415,83,0.654275
10096.6,9292,71211.1,7361.64,6568,73455,27342.9,-8.3,0.654275
10841.9,10142,70058.8,6335.16,5934,69966.5,16407.3,39.01,0.654275
