"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
25716.9,22591,74604.2,20730.1,18027,75362.8,19784.7,129.48,0.605346
26543.8,19872,87539,25885.1,20512,82703,12961.3,241.53,0.607547
28030.3,22219,82676.6,15416.7,12687,79636.5,7166.64,137.78,0.607547
10277.5,9809,68666.3,6381.96,5905,70829.5,8090.16,89.64,0.615252
18800,17746,69428.3,6518.46,6178,69147.6,18106.1,88.81,0.615252
13419.8,12817,68618.2,4265.04,4029,69375.4,8941.92,168.49,0.615252
24652,19083,84661.5,16654.6,13243,82418.9,14478.4,224.93,0.617453
16862.6,15929,69377.2,6042.66,5732,69087.9,6023.16,48.97,0.618553
11842.2,10665,72769.9,8511.36,7645,72962.8,15831.7,208.33,0.620755
25311,23077,71880.2,9958.26,9089,71803.8,6810.96,92.13,0.625157
12333.2,11543,70022.2,5092.62,4711,70844.8,6679.92,53.12,0.626258
18919,16139,76824.7,8746.14,7339,78101.5,55996.2,252.32,0.627358
16196.9,15108,70259.6,5484.18,5052,71142.4,6794.58,95.45,0.627358
12671.8,11064,75059.6,7488.78,6401,76673.1,10226.6,263.11,0.632862
10265.3,10077,66760.5,3927.3,3693,69693.9,8852.22,14.11,0.635063
28160.8,21996,83903.8,17270.8,13256,85384.5,20251.1,235.72,0.636164
17208.8,13597,82944.3,15569.6,12617,80872.5,33160.9,399.23,0.636164
40832.6,31542,84839.5,28034.8,20566,89336.1,51508.1,337.81,0.636164
10896.3,10513,67925.5,4001.4,3765,69650.9,11870,34.03,0.638365
12928.2,12001,70599.1,6407.7,5665,74128,11704.7,111.22,0.639465
17102,15160,73931.2,9174.36,7800,77083.4,20183.3,203.35,0.640566
23182.6,17569,86475.7,22096.6,17733,81662.7,14259.2,349.43,0.642767
8487.76,8073,68903,4843.8,4397,72195.4,11994.8,4.15,0.643868
15211.6,14359,69427.4,5364.84,4935,71244.2,5612.1,106.24,0.643868
13148.5,12533,68754.4,5770.44,5369,70436.1,6658.86,41.5,0.649371
9237.12,8896,68049,4410.12,4128,70014.9,9185.28,78.02,0.651572
29269.2,22593,84901.9,21451.6,17093,82247.1,17743.4,226.59,0.651572
16588.6,15094,72025.3,12730.4,11238,74239,19519.5,213.31,0.652673
16777,15765,69742.8,5690.1,5317,70134.7,5634.72,78.85,0.654874
25154.6,21821,75547.8,10048.7,8608,76504.9,7286.76,200.86,0.654874
16185.4,15280,69419.1,4713.54,4368,70720.4,16311.4,126.16,0.657075
10567.2,10111,68492.9,4275.96,3995,70145,20585.8,41.5,0.661478
11889.8,11366,68556.2,4302.48,4006,70386.3,25013,737.87,0.663679
8585.68,8337,67490.8,2609.1,2421,70627.8,12817.7,127.82,0.666981
16968.7,16057,69257.1,5837.52,5469,69952,6377.28,139.44,0.669182
12262.4,11545,69608.6,5799.3,5289,71859.1,12843.5,166,0.669182
12986.6,12408,68592.2,3620.76,3377,70266.5,13982.3,28.22,0.672484
37400,21233,115436,31255.4,18353,111609,78992.2,1279.86,0.673585
7745.88,7441,68221.2,2877.42,2689,70128.1,8236.8,52.29,0.673585
11404.3,10777,69350.6,4466.28,4121,71027,18058.6,105.41,0.679088
15056.6,13832,71338,7945.08,7288,71444.7,19672.4,78.02,0.680189
22018.4,20100,71790.9,4779.06,4288,73041.2,8906.04,119.52,0.683491
16493.4,15642,69103.2,6425.64,5998,70208.5,12088.4,97.94,0.686792
60651.2,49968,79547.7,27747.7,22080,82358.5,57440.8,581,0.687893
10374.8,9868,68901.5,4244.76,3976,69965.9,19475,135.29,0.688994
10271.4,9873,68180.5,4086.42,3801,70457.1,10641.5,57.27,0.688994
15804.6,14162,73137.1,9494.16,8466,73495.1,14315.3,168.49,0.688994
27019.8,20185,87727,18720.8,14589,84096.6,36490,572.7,0.692296
18694.6,16713,73306.2,8635.38,7620,74268.8,6820.32,75.53,0.694497
19851.2,17532,74205.5,12874.7,11080,76151.2,22857.9,117.03,0.694497
10423.7,9941,68718.3,4052.1,3765,70533.4,6149.52,104.58,0.695597
23671.5,19368,80097.8,13373.1,10380,84433.5,25829.7,116.2,0.698899
26693.4,16100,108657,28091.7,18960,97100.1,55550.8,412.51,0.702201
19373.2,18136,70006.7,7512.18,6936,70980.1,14447.2,180.11,0.703302
17344.1,16417,69236.9,6130.8,5701,70476.8,8283.6,97.11,0.707704
13914.8,12142,75104.8,9352.98,8094,75729.8,20351,157.7,0.711006
9613.16,9113,69132.9,5683.08,5085,73244.1,5593.38,152.72,0.711006
15761.7,12933,79870.1,9412.26,8013,76980.1,28158,160.19,0.713208
12981.2,12081,70419.3,7223.58,6649,71199.4,6713.46,103.75,0.714308
39027.9,30268,84502.9,26098.8,20504,83418.4,36367.5,446.54,0.71761
12650,11892,69713.5,5467.02,5056,70863.6,5970.12,88.81,0.719811
19133.2,17899,70054.8,9576.84,8671,72382.4,11665.7,60.59,0.724214
13607.5,12925,68996.5,5364.06,5017,70069.6,13125.8,371.01,0.726415
11211.8,10613,69233.9,4251,3977,70051.2,15776.3,138.61,0.733019
19395,16857,75403,10726.6,9581,73371.9,5842.98,68.06,0.734119
45839.5,32609,92126,33504.9,24185,90790.9,34356.7,373.5,0.738522
28377.1,25784,72126.9,14100.8,12824,72061.2,16500.1,199.2,0.744025
6785.04,6557,67815.2,2799.42,2633,69678.2,7108.92,111.22,0.745126
19709.8,18290,70623.4,7925.58,7298,71171.7,30147.8,203.35,0.745126
26449.3,23580,73510.6,12482.3,11224,72883.3,16970.5,159.36,0.746226
18275,17233,69498.7,5725.2,5293,70887.3,11085.4,41.5,0.746226
14482,12438,76305.6,9424.74,8146,75823.7,11935.6,152.72,0.747327
19943,18129,72093.7,9939.54,8705,74830.3,15620.3,222.44,0.749528
11396.8,10876,68674.2,5228.34,4897,69970.3,10257,121.18,0.749528
32287.8,27334,77413.1,10261.7,8678,77495.9,47372.5,477.25,0.749528
11739.5,11052,69612.9,5646.42,5276,70137.2,8257.08,104.58,0.750629
22231.9,20515,71020.8,6658.08,5987,72881.9,25220.5,194.22,0.75283
28644.3,22113,84892.8,15909.7,12789,81527.5,37392.4,261.45,0.756132
23761.9,21891,71137,13682,12455,71992.1,7167.42,162.68,0.756132
14609.8,13016,73560.8,8853,7720,75154.2,15042.3,102.92,0.758333
13273.6,12709,68447.5,4924.14,4641,69534.2,11603.3,24.9,0.758333
23353.9,17708,86431.1,15852.7,11896,87333.9,17887.7,137.78,0.762736
14868.9,13924,69983.3,5643.3,5272,70151.6,24546.6,275.56,0.766038
15801.2,13294,77895.7,8727.42,7390,77396.5,6207.24,166,0.767138
19237.9,16793,75077.3,12883.3,10729,78694.9,12048.7,200.03,0.768239
11861.2,11277,68931.3,5080.92,4752,70072.2,13508.8,86.32,0.768239
19891.4,18561,70233.3,7458.36,6693,73030.2,21052.2,166.83,0.76934
16697.4,14741,74233.8,7415.46,6377,76208.2,11202.4,132.8,0.771541
9222.84,8733,69212,2973.36,2813,69272,7423.26,51.46,0.771541
9753.92,9377,68170.3,3547.44,3349,69419.2,7598.76,117.03,0.774843
16840.9,15676,70406,8103.42,7276,72988.7,7513.74,62.25,0.777044
16532.2,15644,69256.7,7101.9,6545,71112.3,11129,90.47,0.777044
53881.8,32582,108379,48498.1,29654,107182,74075.8,381.8,0.779245
10417.6,9710,70311.8,5637.06,5082,72693.9,14258.4,193.39,0.781447
13495.3,12005,73671.5,8334.3,7157,76316.4,25403,168.49,0.781447
11853.1,11243,69092.2,6095.7,5615,71146.5,6162,56.44,0.782547
13790.4,12808,70562.8,7473.96,6824,71778.1,10538.6,109.56,0.783648
13794.5,12444,72648.3,9014.46,8184,72186.2,19683.3,51.46,0.78695
15659.7,14285,71842.9,8723.52,7904,72331,20800.3,149.4,0.78695
13874,13005,69915.4,5669.82,5216,71238,6792.24,35.69,0.790252
10610.7,10197,68195,4360.2,4069,70226.1,17729.4,28.22,0.791352
12664.3,11683,71040.7,6372.6,5767,72418,9549.54,37.35,0.792453
17215.6,15849,71186.8,7245.42,6637,71543.8,28733.6,288.84,0.792453
16172.4,15089,70241.7,5840.64,5361,71399.4,25720.5,114.54,0.792453
20665.9,19144,70745.9,6096.48,5649,70727.4,8087.04,131.14,0.793553
14246.7,13508,69119.8,5415.54,5040,70419.2,12458.2,145.25,0.796855
15606,14773,69231.4,5233.8,4753,72165.4,12706.2,354.41,0.796855
21868.8,17791,80557.2,11884.9,9660,80630,8750.82,234.89,0.800157
22239.4,19587,74410.7,10293.7,8787,76773.1,26108.9,93.79,0.800157
15328.6,13193,76144.4,8458.32,7124,77810.8,20735.5,282.2,0.801258
43722,32736,87529.4,27681.4,21692,83631.3,62329.8,646.57,0.80456
14018.2,13113,70060,5587.92,5156,71026,24906.2,214.97,0.807862
9435,8965,68971.8,3499.86,3237,70857.8,15749.8,197.54,0.811163
29216.9,20940,91440.2,20670,15249,88834,56573.4,391.76,0.813365
78567.9,46279,111261,59556.1,33223,117481,89178.2,597.6,0.816667
15179,13257,75037.2,12028.4,10605,74332.1,34048.6,217.46,0.816667
9823.28,9319,69082.4,3696.42,3491,69392.3,5904.6,109.56,0.818868
8933.16,8372,69928.8,4686.24,4292,71555.8,17241.9,50.63,0.819969
21473.7,17601,79955.8,13417.6,11253,78142.1,24901.5,186.75,0.82327
27263.9,19329,92439.8,20730.8,15893,85485.2,11498.8,184.26,0.82327
21260.2,19328,72087.6,11210.2,10228,71829.2,23336,112.88,0.82327
14184.8,13122,70844,5573.1,4994,73135.5,14563.4,92.13,0.826572
50751.8,29149,114106,32958.9,20845,103622,18777.7,292.99,0.826572
15425.8,14221,71088.2,10614.2,9629,72241.7,8494.2,114.54,0.827673
12027.8,10751,73319.4,6555.9,5743,74812.4,11909.8,131.14,0.827673
10658.3,9989,69927.3,5289.96,4989,69489.4,9461.4,19.09,0.828774
28291.4,18593,99720.6,18965.7,14041,88521.9,34889.4,332,0.832075
14452,13413,70612.8,9445.8,8613,71872.8,17273.9,159.36,0.832075
10926.9,10312,69444,4391.4,4085,70451.6,26111.3,74.7,0.833176
17344.1,16132,70460.1,6131.58,5652,71096.8,9399.78,154.38,0.837579
11675.6,11025,69403.4,4745.52,4411,70506.1,5920.2,78.02,0.843082
28806.8,22904,82426,13185.9,10604,81492.9,23834.5,293.82,0.843082
18344.4,15908,75573,13210.1,11512,75202.9,9953.58,182.6,0.844182
17446.1,16349,69933.7,7220.46,6477,73058.5,24146.5,264.77,0.846384
18043.1,15068,78475.8,12239,10581,75805.1,6566.04,95.45,0.847484
16479.8,13989,77205,14044.7,12341,74583.3,36475.1,323.7,0.848585
6903.36,6672,67808.5,3336.84,3144,69555.7,14494,86.32,0.849685
17665.7,14190,81588.5,12879.4,9546,88420.5,25767.3,184.26,0.849685
12174,11564,68993.2,7051.98,6353,72746.5,10725.8,292.16,0.851887
13947.5,12014,76083.1,9380.28,8074,76139,12121.2,73.04,0.854088
9491.44,9076,68535.8,3211.26,3012,69871.5,10184.5,8.3,0.855189
10518.2,9989,69008.3,5133.18,4765,70599.8,11093.9,74.7,0.856289
20683.6,18892,71750.9,9025.38,8012,73825.2,25520,203.35,0.859591
10982.7,9935,72447,7952.1,7019,74248.3,15901.9,121.18,0.861792
16643.7,15465,70530.9,6530.94,6057,70664,7651.8,51.46,0.862893
12610.6,11033,74906.9,7732.14,6777,74772.5,7948.2,135.29,0.863994
19440.5,18136,70250,6287.58,5852,70414,7227.48,70.55,0.863994
11687.2,10223,74922.2,7225.92,6383,74190.5,15848,95.45,0.866195
19350.1,18016,70388.9,9326.46,8384,72903,32579.8,205.84,0.868396
17487.6,16397,69894.8,7394.4,6832,70930.8,14433.9,163.51,0.871698
11477,11077,67902.8,3580.98,3425,68520.6,9504.3,39.84,0.873899
13306.9,12112,72001.5,7346.82,6512,73937.5,7984.86,108.73,0.873899
19966.8,15981,81881.4,16646.8,13773,79210.2,20551.4,473.1,0.875
10529.1,9897,69721.8,6253.26,5533,74067.2,5688.54,55.61,0.879403
40493.3,30163,87981,20535.1,15479,86942.7,22336.1,432.43,0.880503
18013.9,16772,70388.6,7153.38,6596,71074,15646,153.55,0.881604
24274,19413,81946,13003.4,10753,79251.3,7731.36,156.87,0.882704
16146.6,15245,69411.8,5700.24,5309,70365.6,9390.42,40.67,0.883805
32150.4,26761,78734.3,16571.9,14025,77437.1,18760.6,368.52,0.888207
9945,9617,67771.2,3800.16,3557,70016.1,14298.2,232.4,0.890409
15214.3,14140,70515.3,7654.14,6949,72186.2,24811,73.87,0.890409
36035.9,24425,96689.9,31395.8,21956,93712.6,38516.4,331.17,0.891509
17002,15154,73528.2,9971.52,8466,77190.3,12156.3,84.66,0.89261
13993.7,13428,68297,4417.14,4172,69386.8,11731.2,115.37,0.89261
44810.6,30948,94891.8,26252.5,18580,92598.6,18551.5,284.69,0.89261
21604.3,19436,72847.2,10767.9,9832,71774.3,6970.86,29.88,0.894811
26988.5,22676,77999.6,12163.3,9972,79937.4,11965.2,399.23,0.895912
14118.8,12956,71418.1,8038.68,7132,73867.5,8030.1,234.06,0.897013
11443,10643,70462.4,5626.92,5159,71480.1,10599.4,37.35,0.898113
40328.8,26794,98641,30296.8,20467,97011.2,19687.2,258.13,0.898113
20439.4,17631,75975.2,13145.3,11195,76953.4,9252.36,138.61,0.899214
13712.9,12929,69509.4,5228.34,4805,71310,11625.1,165.17,0.899214
18663.3,17313,70647.3,7090.98,6497,71527.5,8909.94,113.71,0.899214
11866.7,11358,68471.1,4807.92,4509,69880.7,9227.4,53.12,0.902516
13629.9,11279,79195.9,10212.5,8863,75515,9050.34,224.1,0.904717
24688.8,21529,75154.6,15125.8,13661,72562.9,5631.6,116.2,0.912421
8123.96,7780,68433.4,3606.72,3356,70432.1,5997.42,46.48,0.912421
23742.2,21491,72401,10735.9,9651,72903.3,13664.8,120.35,0.915723
24832.9,18139,89721.1,21751.9,17391,81969.4,10033.9,211.65,0.917925
24331.8,21706,73463.8,11293.6,10170,72776.7,8425.56,74.7,0.917925
18288.6,16784,71411,6158.1,5620,71810.9,7899.84,53.95,0.919025
12353.6,11841,68372.9,3112.2,2949,69162.8,10274.9,123.67,0.924528
46369.9,30097,100970,29342.8,19937,96454.4,18648.2,310.42,0.92673
15478.8,14528,69825.3,6739.98,6244,70741.7,6725.16,114.54,0.928931
21486.6,17676,79664.4,9115.08,7692,77660.7,9210.24,76.36,0.930031
18111.1,16727,70959,7342.14,6759,71190.2,17916.6,158.53,0.930031
20056.6,18401,71432.5,8604.96,7861,71738.3,9267.18,165.17,0.931132
10434.6,9196,74363,6954.48,6065,75147.4,9347.52,68.89,0.932233
20219.8,18783,70549.2,8704.8,8059,70787.7,12753,51.46,0.933333
14779.8,13704,70680.8,7063.68,6396,72377.3,12500.3,38.18,0.935535
49174.9,32736,98445.9,36270.8,25160,94477,15505.6,234.89,0.936635
16360.8,15017,71400.5,8324.94,7597,71815.6,13598.5,168.49,0.937736
15591.7,14572,70122.1,6471.66,5992,70782.2,12775.6,187.58,0.938837
19009.4,16976,73386,12463.6,11284,72387.1,19801.9,202.52,0.939937
11399.5,10837,68937.8,4483.44,4161,70614.4,14054.8,106.24,0.941038
12845.2,11817,71238.3,7677.54,6845,73507,10909.1,149.4,0.941038
49667.2,34536,94249.2,26639.3,19000,91886.1,61758.8,641.59,0.942138
56069.4,38109,96422.5,46367.9,33904,89628.5,51291.2,895.57,0.943239
14766.9,13489,71744.5,8452.86,7585,73034.5,13152.4,81.34,0.943239
11963.2,11277,69524.1,4979.52,4633,70437.7,8908.38,70.55,0.94544
29190.4,20764,92131.5,21953.9,16885,85209.9,26932.6,385.12,0.946541
20962.4,14745,93169.8,18427.5,14804,81576.9,8749.26,97.94,0.946541
17646.7,15761,73376.9,10816.3,9633,73586.1,22886.8,107.9,0.947641
17291,15148,74807.6,8062.86,6920,76359.5,36338.6,310.42,0.952044
21253.4,19589,71104.3,7385.04,6801,71163.9,13454.2,58.1,0.953145
19066.5,17563,71146.4,6267.3,5599,73358.4,9460.62,263.11,0.954245
22631.8,20837,71180.8,7594.86,6773,73488.4,18708.3,100.43,0.955346
16815.7,14277,77189.5,12513.5,10753,76265.9,8647.08,85.49,0.955346
5566.48,5490,66449,2531.88,2386,69542.9,11947.3,19.09,0.956447
18022.7,16661,70892.3,8979.36,8161,72107.7,11547.9,161.02,0.96195
19318.1,16462,76906.4,11505,9806,76890.9,11051,161.85,0.96195
11230.9,10741,68525,5119.14,4785,70112.4,10048.7,74.7,0.96305
10374.1,9937,68418.6,4098.12,3825,70215.5,7041.06,117.03,0.964151
43976.3,31993,90083.1,34971.3,26701,85835,12415.3,255.64,0.966352
16373,14223,75442.9,10297.6,8587,78591,12262.4,219.95,0.966352
16069.1,14945,70465.3,6049.68,5597,70836.5,9068.28,268.92,0.967453
