"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
48985.2,30060,106796,41712.8,28481,95983,43283,148.57,0.572463
16204.4,15296,69428.1,10890.4,9972,71571.5,6507.54,34.03,0.574628
39364.5,28585,90249.9,18997.7,13913,89487,11902.8,3804.72,0.57571
15036.8,14369,68582,4690.14,4365,70417.6,10951.2,-29.88,0.578956
21361.5,18524,75574.9,10338.1,8952,75683.5,8281.26,15.77,0.58112
17697.7,16708,69418,7724.34,7252,69804.5,7231.38,47.31,0.584367
17389,16214,70285.1,9354.54,8582,71435.5,8743.8,22.41,0.586531
8098.8,7868,67458.4,3504.54,3324,69095.5,8201.7,-14.11,0.586531
13453.8,12873,68492.8,5133.96,4841,69502,7300.8,-7.47,0.588696
28212.5,22035,83909,23364.9,19011,80545,36603.8,55.61,0.593024
12743.2,12192,68498.9,6176.82,5680,71268.3,7308.6,-24.9,0.595189
15469.3,14720,68872.1,6518.46,6048,70633.9,11378.6,4.15,0.597353
6298.16,6072,67977,3313.44,3093,70206.8,10258.6,-5.81,0.598435
34635.1,25318,89653.5,21812.7,16630,85960.1,12583.7,97.94,0.600599
22954.8,17557,85684.5,15115.6,12273,80715.2,21099,61.42,0.602764
11198.2,10336,71003.1,6250.14,5504,74420.3,20445.4,29.05,0.603846
11796.6,11248,68732.6,5671.38,5284,70340.6,16175.6,9.96,0.604928
23946.2,19952,78655.7,15060.2,12328,80060.7,17985.2,52.29,0.604928
8490.48,8348,66654.5,1850.94,1761,68883.1,6439.68,-9.96,0.60601
20615.6,19177,70452.2,8320.26,7769,70186.2,6984.12,17.43,0.608175
17796.3,16755,69608.9,6395.22,5971,70192.1,10923.9,4.15,0.608175
17425.7,16673,68494.5,7980.18,7609,68733,14402.7,8.3,0.611421
16972.8,14952,74393.4,10328.8,8965,75505.4,20030.4,77.19,0.613585
17709.2,16669,69625.8,6377.28,6057,69001.4,17344.9,47.31,0.61575
20534,19306,69704.4,7660.38,7246,69283.8,8111.22,31.54,0.616832
11420.6,10971,68221.7,4612.92,4367,69226.5,7571.46,49.8,0.617914
18662.6,17592,69524.3,7483.32,7048,69583.8,15461.2,8.3,0.622243
12970.3,12253,69372.6,6527.04,5981,71519.2,10473.8,70.55,0.622243
