"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
9348.64,8932,68593,3265.08,2992,71517.5,12576.7,4.98,0.623119
31597.6,25838,80144.7,16573.4,13466,80659.2,28334.3,71.38,0.623119
12150.2,11588,68715.8,4967.82,4564,71334.6,6637.8,-39.84,0.62536
24044.8,21254,74141.3,10781.9,9538,74083.2,6876.48,65.57,0.626481
31965.4,25104,83448.3,23129.3,17960,84398.9,35968.9,73.04,0.626481
19947.8,17948,72838.2,10774.1,9564,73828.3,10241.4,16.6,0.628722
12602.4,12140,68032.4,5754.06,5292,71258.1,27504.4,0.83,0.633205
18636.1,16804,72681.2,9343.62,8100,75598,26685.4,4.15,0.633205
82822,52047,104287,54366,33471,106448,73016.6,208.33,0.634326
14459.5,13748,68927.8,6800.04,6100,73056.9,6666.66,13.28,0.634326
11886.4,11320,68815.1,4605.9,4257,70907.3,22304.1,-22.41,0.634326
15845.4,15071,68903.3,6034.86,5583,70840.2,9873.24,-0.83,0.637688
10308.1,9053,74622,8041.8,7165,73555.8,8111.22,-13.28,0.638809
15820.2,14289,72558.8,6203.34,5377,75607.6,32044,18.26,0.643292
12778.6,12088,69279.9,4277.52,3800,73771.5,16556.3,-3.32,0.643292
20525.8,18664,72073.5,8268.78,7564,71642.3,6130.8,23.24,0.644412
13088.6,12184,70401.9,6905.34,6129,73837.2,8773.44,34.86,0.646654
18690.5,16376,74798.4,8191.56,6929,77477.6,9659.52,22.41,0.646654
12763.6,10801,77444.2,8608.86,7373,76521.1,29535.5,38.18,0.648895
10532.5,10009,68963.9,5290.74,4868,71227.2,13254.5,-46.48,0.652257
16753.2,14692,74730.1,10243,8840,75936.9,17424.4,39.01,0.653378
19469.8,17423,73234.8,13264.7,11743,74028.3,11039.3,117.86,0.654499
12675.2,10634,78115.7,13949.5,12282,74433.8,10030,57.27,0.65674
14135.8,13281,69754.3,4479.54,4137,70962.3,13130.5,56.44,0.657861
19898.2,16457,79239.6,9576.06,7860,79844.4,17158.4,49.8,0.657861
13519.1,12820,69109.7,4695.6,4336,70971.1,5690.1,38.18,0.662344
18287.9,15896,75397.4,6495.84,5512,77233.6,16873.7,14.11,0.664585
13591.8,12940,68837.3,4926.48,4588,70370.9,8321.04,49.8,0.669068
17772.5,16459,70766,7229.82,6687,70855.9,9269.52,39.84,0.669068
12223.7,10860,73765.3,6213.48,5400,75408.6,15782.5,42.33,0.669068
12436.5,11763,69288.4,5340.66,4995,70071.2,7913.1,54.78,0.67131
16194.9,15084,70362.5,6841.38,6248,71760,12735.8,13.28,0.674672
10861,10434,68217.7,3829.8,3622,69295.9,11028.4,7.47,0.674672
20914.1,18632,73563,9926.28,8892,73158.9,7277.4,74.7,0.676913
14247.4,13352,69930.7,4513.86,4181,70753.5,7770.36,36.52,0.679155
13362.7,12496,70081.4,5129.28,4724,71158.4,6849.96,45.65,0.680275
27825.6,20840,87503.8,15603.1,12428,82279.2,14515,69.72,0.682517
22762.3,17003,87734.6,11919.2,9515,82095.1,14352.8,19.09,0.683637
19867.6,16968,76735.1,9207.12,7788,77477.9,17740.3,-14.11,0.685879
22993.5,17557,85829.2,13865.3,10765,84410.1,18176.3,68.89,0.685879
13901.2,13253,68741.6,3839.16,3541,71054.3,6852.3,-2.49,0.68812
10102.1,9684,68365.3,3006.9,2816,69978.8,16539.1,-2.49,0.690362
13333.4,12701,68799.3,4687.02,4329,70956,5853.9,17.43,0.697086
17361.8,16469,69088.6,5846.1,5361,71466.1,13734.2,-10.79,0.699328
9364.28,8924,68769.3,4404.66,4065,71012,6224.4,9.96,0.700448
22467.2,19197,76700,10986.3,8889,80998.8,11986.3,29.05,0.70269
44855.5,33413,87979.3,27088.6,19941,89026.6,28472.3,73.87,0.706052
