"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-530_30 Blue E-A","Comp-582_15 YG D-A","Time"
113635,61206,121674,149680,50282,195089,7398.09,3974.51,0.228
79598.6,58939,88508,41380.6,32431,83621.1,1756.18,724.924,0.228
80591.9,54132,97570.2,53830.1,41020,86002.2,6810.46,3148.28,0.239
77654.5,56226,90512.7,28364.7,22054,84289,23049.5,3301.97,0.242
68114.2,51350,86931.5,36018.1,27986,84345,21613.9,2930.54,0.254
74944.4,53291,92164.8,40617.7,31375,84842.2,2240.82,1133.52,0.254
103363,69337,97696.8,52592.3,36852,93527.8,3271.5,1604.62,0.261
84170.8,56809,97101.1,46288.3,34132,88877,4378.93,1256.87,0.263
66964.4,47599,92198.9,43302.5,33026,85928.4,3969.34,1970.28,0.272
62893.8,44838,91926.7,35715.4,26182,89399,1109.79,554.307,0.272
66905.8,46574,94145.7,60872,44618,89410.2,3760.54,1702.11,0.273
82162.1,57150,94218.3,46517.6,30878,98729.8,5632.93,3427.14,0.273
64375.8,47877,88120.2,26662.7,19869,87944.5,2983.53,1159.44,0.283
83375.8,61503,88843.1,40117.7,30594,85937,5484.04,1747.05,0.29
59764.1,47831,81886.2,38076.5,31471,79291.4,1970.76,1140.96,0.299
84024.1,58950,93411.4,26055.1,19786,86300.8,1019.3,361.393,0.303
73071.7,52908,90512.4,36876.8,28929,83541.1,2800.82,1586.64,0.307
79808.4,50082,104435,48867,33662,95138.4,4171.39,518.066,0.31
86487.2,56898,99617.3,36050.8,25938,91087.5,19448.2,981.871,0.325
76582.2,55251,90838,51578.3,38527,87736.8,1453.46,470.544,0.327
83908.6,60637,90687.7,41475.7,30384,89460,10343,2798.78,0.335
97324.8,71946,88653.7,49718.8,37866,86050,1144.4,574.445,0.337
68093,54481,81910,31730.4,26693,77903.7,6437.22,2036.37,0.353
83489,58257,93920.7,32773.3,23705,90606.5,4516.49,2535.22,0.353
66161,47982,90365.8,34835.6,26663,85623.7,4588.89,1186.9,0.354
81032.7,57409,92504,38457.9,27849,90501.5,2646.6,1512.98,0.366
60973.3,46802,85379.8,21622.4,17750,79833.5,1408.62,744.027,0.382
83128.8,57597,94587,30988.6,22544,90084.7,1768.58,953.884,0.382
59346.9,43362,89695.1,27171.3,22254,80017,1225.41,579.209,0.385
69216.2,49345,91927.4,28730.5,22669,83059.8,25405.7,3211.72,0.399
114194,56390,132715,59169.2,31498,123110,2432.39,1017.44,0.422
68255.6,45633,98025.5,57166.2,41925,89360.6,21469.3,2782.15,0.429
65942.2,47415,91143.8,31838.8,24531,85059.3,1425.52,819.286,0.435
83282.3,54787,99622,31891.1,23699,88190,1388.84,658.699,0.441
79652.6,55119,94706.2,37766.8,29167,84859.1,1466.16,590.324,0.447
83119.7,48213,112985,59404,37609,103515,5631.58,2612.53,0.449
69378.9,54171,83934.5,27204.1,22075,80763.1,12113.2,3847,0.449
83356,60159,90806.4,51827.9,36923,91991.2,1014.89,446.723,0.461
110850,71218,102006,50051.8,31586,103850,2671.1,1048.16,0.464
77646.2,54225,93842.7,33576.7,26425,83272.7,3633.59,1404.26,0.468
77969.9,56318,90731.9,58097.5,42302,90007.1,4036.77,1794.31,0.471
77015.4,50663,99624.6,42307.2,29075,95361.8,11717.3,3831.66,0.472
90649,61695,96292.6,44617.6,31090,94051.4,3454.45,1877.03,0.483
79077.2,51238,101144,35344.9,25338,91418.6,3046.25,726.96,0.484
121854,80295,99455.9,64782.9,46087,92121.7,27278.1,3679.06,0.487
78721.6,52917,97494.1,29087.8,21389,89125,9504.97,3486.77,0.493
72623.3,47969,99219.1,54975.2,39149,92029.3,4043.78,2052.95,0.498
63862,45372,92243.3,25335.2,19365,85740.6,1673.79,648.61,0.501
99937,69150,94713.9,59153.6,41651,93075.6,2180.77,1133,0.502
63420.5,47107,88231.6,22247.9,17235,84597.7,1270.09,570.196,0.504
85383.7,56251,99477.5,60077.9,42859,91865.6,4834.66,1183.7,0.514
80288.7,58910,89319.3,26243.1,20206,85116.7,1301.41,500.764,0.529
96551.2,68511,92358.5,38342.5,28059,89554.6,1619.54,924.213,0.53
70412.5,49254,93688.9,40780.7,28030,95348.1,1140.78,627.445,0.542
79959.6,49289,106316,36768.4,26772,90006.5,9397.31,2842.83,0.544
75911.8,52748,94315.6,37790.2,29349,84385.2,9429.71,2954.13,0.553
88755.1,64526,90144.3,44569.2,36126,80852.8,10596.1,2716.61,0.559
102527,65128,103169,54376.9,36881,96625.5,1593.41,424.425,0.574
65291.6,45937,93148.2,28257.8,21501,86131.1,2514.33,1144.63,0.587
76067.6,53058,93957,34261.5,25578,87784.9,19370.8,2567.64,0.59
78632.6,54652,94292.4,32777.9,24501,87675.4,7204.58,2623.03,0.591
