"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-530_30 Blue E-A","Comp-582_15 YG D-A","Time"
96651.5,63246,100151,46999.7,32698,94200.6,67130,-4.4139,0.208
115277,68687,109988,70183.6,43506,105722,52253.4,15.1143,0.21
117266,79367,96830.9,61734.7,42439,95333.1,31037.6,6.96923,0.244
83692,60466,90709.4,42049.8,32054,85972.9,38079,-8.33375,0.255
78958.7,50819,101825,32721.8,24215,88558.9,31452.5,10.122,0.273
113618,77494,96085.5,113073,76242,97194.9,92461.7,9.8205,0.277
164447,93650,115079,135052,81602,108463,67586.9,1.91606,0.284
155467,91410,111461,126926,88742,93735.1,39770.5,6.92503,0.29
78172.1,46661,109794,52055.6,35501,96096.4,33384.7,2.0449,0.31
99996.2,70322,93190.7,64864,46838,90758.1,33025.3,-4.82146,0.31
99079.7,71814,90418.1,47839.7,35874,87395.5,31041.1,-10.521,0.312
103673,73551,92375.6,57954.8,40587,93579.8,31188.3,-0.460678,0.315
84514.3,50609,109442,56778.5,38397,96909.6,35733.1,10.9005,0.318
66354.8,49557,87750.1,38599.1,29629,85376.8,55596.8,3.23443,0.326
101267,61207,108429,71165.6,43147,108094,48476.9,5.82257,0.331
109844,73854,97472.1,54539.2,39006,91634.1,37127.5,21.4088,0.333
113481,77730,95678.4,66190.8,47086,92126.8,66713.1,12.5735,0.35
111221,68205,106869,77362,48848,103791,33723,11.5627,0.351
102887,72982,92389.5,48151,33998,92817.9,43332.7,6.69081,0.353
87735.2,59884,96015.8,47086.3,34385,89743.9,35565.9,-11.3485,0.361
78055,47231,108306,68180.6,38450,116210,43401.6,-1.26372,0.373
103590,60366,112462,58908.7,38583,100061,37656.7,3.88401,0.377
71232.5,53516,87231.8,28618.2,22501,83352.9,44681.6,-3.99788,0.384
82747.3,58308,93004.8,38762.9,28764,88317.5,29442.7,-2.4659,0.39
102206,71976,93061.5,60056.9,41525,94783.6,39550.1,-6.84048,0.393
88458.7,53202,108966,59249.6,39206,99040.5,36668.1,-12.481,0.396
106546,66670,104734,55789.5,36126,101207,50727.3,-1.2154,0.397
135714,77152,115281,75370.6,47092,104890,52713.2,-1.34597,0.401
131219,79237,108529,78151.3,49861,102720,35797.3,-1.29373,0.401
88517.2,63962,90695.5,45459.2,34147,87246.7,28773,-13.5519,0.405
112355,79136,93046.4,44336.8,29800,97505.2,32570.5,-2.14156,0.413
104543,71884,95310.5,51204.7,35121,95548.2,36494,-6.10954,0.424
107668,71632,98505.7,49145.5,35116,91718.8,36957.2,0.22001,0.427
98295.4,63433,101554,88705.5,64372,90309.5,32890.3,-0.0425842,0.428
70320.5,47217,97603.1,80049.8,59485,88192.8,46197.2,-6.74754,0.435
89533.3,58423,100434,38931.4,26003,98119.7,29297.6,-2.98636,0.436
77316.3,51033,99288.8,46964.6,32596,94424.8,34985.4,-2.83034,0.443
134972,79474,111301,92696.8,59126,102746,32774.2,-5.86495,0.448
72079.9,54235,87099.3,41657.5,32383,84305.5,38450,3.83185,0.45
110527,77548,93406.5,59850.2,42837,91564.3,28796.8,1.81657,0.453
88888.1,60727,95927.2,42351.7,29419,94345.8,42292.9,10.9992,0.465
92571,67802,89477.2,55075,42926,84084.2,50805.7,15.2094,0.471
89079.6,55618,104965,52323.2,34218,100212,52518.9,2.9068,0.477
95228.8,67540,92403.2,40539.7,28164,94333.6,40260.4,2.65282,0.479
123487,65398,123748,64055.9,32882,127668,56238.3,20.1522,0.483
86082.9,58421,96566.8,51242.9,38205,87900.9,42190.1,3.58594,0.489
73100.6,45451,105404,91620.4,56911,105506,54639.5,11.2474,0.497
149625,86506,113354,107390,56963,123552,64159.1,-7.39856,0.499
122453,77342,103761,60678.5,40734,97624.3,54116.5,-4.08824,0.502
107139,73853,95073.9,59417.3,42032,92643,34474.6,-5.44675,0.51
77396.1,47103,107684,49420.8,31410,103115,42220.8,-7.01608,0.529
97219.2,71553,89043.9,47447.4,35721,87050,31045.3,9.61872,0.531
98904.9,63710,101740,75138.2,51342,95910.9,35783.1,8.77721,0.535
110734,75498,96122.2,62026.4,43374,93718.8,31165,-2.57914,0.549
87931.2,62092,92808.5,42150.4,32193,85806.5,30699.3,-4.13853,0.551
89540.2,62774,93479.9,45351.5,32562,91276.9,31947.2,1.60942,0.562
75086.5,51381,95772.1,45970.9,33545,89812.1,43023.2,-0.178843,0.569
73482.9,54397,88530.1,33000.2,24656,87715.1,40534.9,3.69477,0.577
98306,68182,94491,53575.9,39270,89410.4,42532.6,0.913418,0.592
85952.2,63168,89174.3,52109.5,39212,87091.8,37520.5,-5.64703,0.6
82542.8,60825,88935.9,45047.3,35828,82399.9,45244.6,2.8551,0.606
108602,77305,92068.1,60308.8,44708,88404.7,44170.5,5.57572,0.615
62185.5,47902,85077.6,34738.1,27146,83864.8,32362.2,0.522137,0.617
86144.5,63571,88807.2,62929.6,46527,88640,60181.8,-5.54704,0.619
87378,65101,87961.8,55328.5,43136,84060,36034.5,-4.48933,0.623
100893,65026,101684,65712.7,45958,93706.1,59690.8,12.5052,0.625
84650.3,58799,94349.3,35943.2,26562,88682,31275.7,-3.64643,0.626
113172,63130,117486,43794.7,28051,102318,34917.7,-10.7759,0.628
75397.3,53922,91636.8,37928.3,28930,85920.1,29263.4,-4.04411,0.633
134184,72604,121121,72877,41633,114718,59567.8,0.323327,0.634
128045,86228,97318.1,60435.2,43352,91361,44101.8,5.58024,0.643
87773.2,46798,122918,127467,50542,165282,44328.1,5.03536,0.646
133483,81087,107884,72717.8,45311,105176,29518.2,3.88913,0.65
114660,63487,118361,54821.5,33234,108106,40495.8,9.52734,0.655
131896,84231,102622,73294.3,49251,97529.2,29486.1,11.8412,0.667
66921.8,46132,95070.4,34250.6,25976,86412.3,29656.3,4.94006,0.669
91680.3,65583,91614.6,50754.6,38143,87204.8,76662.9,6.0893,0.672
55581.1,42117,86486.7,46380.4,37657,80717.6,117551,-3.48914,0.683
111803,66852,109602,98512.4,60800,106186,31029.9,3.78974,0.687
83562.8,56634,96697.6,43002.2,31299,90040.9,46675.2,1.17104,0.689
96596,53326,118713,116169,51466,147927,45403.9,-2.98537,0.693
80729.5,55543,95253.9,39493.7,30267,85514.3,29251.2,14.5067,0.701
106104,64279,108179,122268,76043,105374,81782.1,4.6927,0.703
119438,76891,101800,80343.9,52123,101019,31479,10.6502,0.706
85976.5,60759,92736.2,62687.8,44767,91770.9,30625.1,2.22635,0.724
84320.5,54607,101196,34532.9,24063,94051.1,33196.7,4.70727,0.729
98885.1,65209,99381,41630.2,27668,98607.6,46994.4,-7.85995,0.73
87880.3,67447,85390.4,39115.4,29695,86326.6,31126.3,14.9134,0.739
137918,75063,120413,79390.7,43607,119315,35889.3,2.41022,0.742
101306,72174,91988.4,49190.7,33203,97092.5,44616.4,14.0264,0.75
