sample_id	construct	solute	replicate	concentration	concentration_float	bin	sample_name	P5	P7	col_i	row_i	cell count
1	CH65	MA90	a	1	5.987162775	1	CH65_a_1_1	3	1	1	1	2845
2	CH65	MA90	a	1	5.987162775	2	CH65_a_1_2	3	2	1	2	530580
3	CH65	MA90	a	1	5.987162775	3	CH65_a_1_3	3	3	1	3	505318
4	CH65	MA90	a	1	5.987162775	4	CH65_a_1_4	3	4	1	4	475777
5	CH65	MA90	a	2	6.737162775	1	CH65_a_2_1	3	5	1	5	3630
6	CH65	MA90	a	2	6.737162775	2	CH65_a_2_2	3	6	1	6	512756
7	CH65	MA90	a	2	6.737162775	3	CH65_a_2_3	3	7	1	7	522941
8	CH65	MA90	a	2	6.737162775	4	CH65_a_2_4	3	8	1	8	516372
9	CH65	MA90	a	3	7.487162775	1	CH65_a_3_1	3	9	2	1	5260
10	CH65	MA90	a	3	7.487162775	2	CH65_a_3_2	3	10	2	2	520024
11	CH65	MA90	a	3	7.487162775	3	CH65_a_3_3	3	11	2	3	440827
12	CH65	MA90	a	3	7.487162775	4	CH65_a_3_4	3	12	2	4	546012
13	CH65	MA90	a	4	8.237162775	1	CH65_a_4_1	3	13	2	5	5066
14	CH65	MA90	a	4	8.237162775	2	CH65_a_4_2	3	14	2	6	532657
15	CH65	MA90	a	4	8.237162775	3	CH65_a_4_3	3	15	2	7	501334
16	CH65	MA90	a	4	8.237162775	4	CH65_a_4_4	3	16	2	8	540613
17	CH65	MA90	a	5	8.987162775	1	CH65_a_5_1	3	17	6	1	10688
18	CH65	MA90	a	5	8.987162775	2	CH65_a_5_2	3	18	6	2	550140
19	CH65	MA90	a	5	8.987162775	3	CH65_a_5_3	3	19	6	3	535193
20	CH65	MA90	a	5	8.987162775	4	CH65_a_5_4	3	20	6	4	498947
21	CH65	MA90	a	6	9.737162775	1	CH65_a_6_1	3	21	6	5	29217
22	CH65	MA90	a	6	9.737162775	2	CH65_a_6_2	3	22	6	6	383932
23	CH65	MA90	a	6	9.737162775	3	CH65_a_6_3	3	23	6	7	401779
24	CH65	MA90	a	6	9.737162775	4	CH65_a_6_4	3	24	6	8	372011
25	CH65	MA90	a	7	10.48716278	1	CH65_a_7_1	4	1	7	1	175412
26	CH65	MA90	a	7	10.48716278	2	CH65_a_7_2	4	2	7	2	356100
27	CH65	MA90	a	7	10.48716278	3	CH65_a_7_3	4	3	7	3	350468
28	CH65	MA90	a	7	10.48716278	4	CH65_a_7_4	4	4	7	4	356877
29	CH65	MA90	a	8	11.23716278	1	CH65_a_8_1	4	5	7	5	396626
30	CH65	MA90	a	8	11.23716278	2	CH65_a_8_2	4	6	7	6	178479
31	CH65	MA90	a	8	11.23716278	3	CH65_a_8_3	4	7	7	7	200855
32	CH65	MA90	a	8	11.23716278	4	CH65_a_8_4	4	8	7	8	175416
33	CH65	MA90	a	9	11.98716278	1	CH65_a_9_1	4	9	9	1	681312
34	CH65	MA90	a	9	11.98716278	2	CH65_a_9_2	4	10	9	2	31374
35	CH65	MA90	a	9	11.98716278	3	CH65_a_9_3	4	11	9	3	39136
36	CH65	MA90	a	9	11.98716278	4	CH65_a_9_4	4	12	9	4	36423
37	CH65	MA90	a	0	0	1	CH65_a_0_1	4	13	9	5	1371248
38	CH65	MA90	a	0	0	2	CH65_a_0_2	4	14	9	6	574
39	CH65	MA90	a	0	0	3	CH65_a_0_3	4	15	9	7	330
40	CH65	MA90	a	0	0	4	CH65_a_0_4	4	16	9	8	318
41	CH65	MA90	a	F	NaN	1	CH65_a_F_1	4	17	10	1	405002
42	CH65	MA90	a	F	NaN	2	CH65_a_F_2	4	18	10	2	424707
43	CH65	MA90	a	F	NaN	3	CH65_a_F_3	4	19	10	3	431640
44	CH65	MA90	a	F	NaN	4	CH65_a_F_4	4	20	10	4	325246
45	CH65	MA90	a	unsorted	NaN	1	CH65_a_unsorted	4	21	10	5	0
1	CH65	MA90	b	1	5.987162775	1	CH65_b_1_1	1	1	1	1	2811
2	CH65	MA90	b	1	5.987162775	2	CH65_b_1_2	1	2	1	2	569520
3	CH65	MA90	b	1	5.987162775	3	CH65_b_1_3	1	3	1	3	526914
4	CH65	MA90	b	1	5.987162775	4	CH65_b_1_4	1	4	1	4	514712
5	CH65	MA90	b	2	6.737162775	1	CH65_b_2_1	1	5	1	5	3842
6	CH65	MA90	b	2	6.737162775	2	CH65_b_2_2	1	6	1	6	531254
7	CH65	MA90	b	2	6.737162775	3	CH65_b_2_3	1	7	1	7	518917
8	CH65	MA90	b	2	6.737162775	4	CH65_b_2_4	1	8	1	8	538278
9	CH65	MA90	b	3	7.487162775	1	CH65_b_3_1	1	9	2	1	4431
10	CH65	MA90	b	3	7.487162775	2	CH65_b_3_2	1	10	2	2	544536
11	CH65	MA90	b	3	7.487162775	3	CH65_b_3_3	1	11	2	3	525034
12	CH65	MA90	b	3	7.487162775	4	CH65_b_3_4	1	12	2	4	543054
13	CH65	MA90	b	4	8.237162775	1	CH65_b_4_1	1	13	2	5	4917
14	CH65	MA90	b	4	8.237162775	2	CH65_b_4_2	1	14	2	6	540417
15	CH65	MA90	b	4	8.237162775	3	CH65_b_4_3	1	15	2	7	546463
16	CH65	MA90	b	4	8.237162775	4	CH65_b_4_4	1	16	2	8	516929
17	CH65	MA90	b	5	8.987162775	1	CH65_b_5_1	1	17	3	1	11470
18	CH65	MA90	b	5	8.987162775	2	CH65_b_5_2	1	18	3	2	545858
19	CH65	MA90	b	5	8.987162775	3	CH65_b_5_3	1	19	3	3	541254
20	CH65	MA90	b	5	8.987162775	4	CH65_b_5_4	1	20	3	4	520164
21	CH65	MA90	b	6	9.737162775	1	CH65_b_6_1	1	21	3	5	54954
22	CH65	MA90	b	6	9.737162775	2	CH65_b_6_2	1	22	3	6	547767
23	CH65	MA90	b	6	9.737162775	3	CH65_b_6_3	1	23	3	7	536695
24	CH65	MA90	b	6	9.737162775	4	CH65_b_6_4	1	24	3	8	527298
25	CH65	MA90	b	7	10.48716278	1	CH65_b_7_1	2	1	4	1	259111
26	CH65	MA90	b	7	10.48716278	2	CH65_b_7_2	2	2	4	2	467217
27	CH65	MA90	b	7	10.48716278	3	CH65_b_7_3	2	3	4	3	449565
28	CH65	MA90	b	7	10.48716278	4	CH65_b_7_4	2	4	4	4	482680
29	CH65	MA90	b	8	11.23716278	1	CH65_b_8_1	2	5	4	5	486759
30	CH65	MA90	b	8	11.23716278	2	CH65_b_8_2	2	6	4	6	182110
31	CH65	MA90	b	8	11.23716278	3	CH65_b_8_3	2	7	4	7	197147
32	CH65	MA90	b	8	11.23716278	4	CH65_b_8_4	2	8	4	8	204294
33	CH65	MA90	b	9	11.98716278	1	CH65_b_9_1	2	9	5	1	1040627
34	CH65	MA90	b	9	11.98716278	2	CH65_b_9_2	2	10	5	2	42652
35	CH65	MA90	b	9	11.98716278	3	CH65_b_9_3	2	11	5	3	45503
36	CH65	MA90	b	9	11.98716278	4	CH65_b_9_4	2	12	5	4	50138
37	CH65	MA90	b	0	0	1	CH65_b_0_1	2	13	5	5	1329138
38	CH65	MA90	b	0	0	2	CH65_b_0_2	2	14	5	6	1065
39	CH65	MA90	b	0	0	3	CH65_b_0_3	2	15	5	7	308
40	CH65	MA90	b	0	0	4	CH65_b_0_4	2	16	5	8	563
41	CH65	MA90	b	F	NaN	1	CH65_b_F_1	2	17	6	1	345664
42	CH65	MA90	b	F	NaN	2	CH65_b_F_2	2	18	6	2	375307
43	CH65	MA90	b	F	NaN	3	CH65_b_F_3	2	19	6	3	346488
44	CH65	MA90	b	F	NaN	4	CH65_b_F_4	2	20	6	4	624513
45	CH65	MA90	b	unsorted	NaN	1	CH65_b_unsorted	2	21	6	5	0
46	CH65	SI06	d	1	6.036212173	1	CH65_d_1_1	2	22	6	6	197553
47	CH65	SI06	d	1	6.036212173	2	CH65_d_1_2	2	23	6	7	464108
48	CH65	SI06	d	1	6.036212173	3	CH65_d_1_3	2	24	6	8	467335
49	CH65	SI06	d	1	6.036212173	4	CH65_d_1_4	3	1	7	1	496793
50	CH65	SI06	d	2	6.786212173	1	CH65_d_2_1	3	2	7	2	665849
51	CH65	SI06	d	2	6.786212173	2	CH65_d_2_2	3	3	7	3	300846
52	CH65	SI06	d	2	6.786212173	3	CH65_d_2_3	3	4	7	4	330594
53	CH65	SI06	d	2	6.786212173	4	CH65_d_2_4	3	5	7	5	337065
54	CH65	SI06	d	3	7.536212173	1	CH65_d_3_1	3	6	7	6	1000570
55	CH65	SI06	d	3	7.536212173	2	CH65_d_3_2	3	7	7	7	203534
56	CH65	SI06	d	3	7.536212173	3	CH65_d_3_3	3	8	7	8	203972
57	CH65	SI06	d	3	7.536212173	4	CH65_d_3_4	3	9	8	1	201695
58	CH65	SI06	d	4	8.286212173	1	CH65_d_4_1	3	10	8	2	1113260
59	CH65	SI06	d	4	8.286212173	2	CH65_d_4_2	3	11	8	3	176100
60	CH65	SI06	d	4	8.286212173	3	CH65_d_4_3	3	12	8	4	179798
61	CH65	SI06	d	4	8.286212173	4	CH65_d_4_4	3	13	8	5	178631
62	CH65	SI06	d	5	9.036212173	1	CH65_d_5_1	3	14	8	6	1313205
63	CH65	SI06	d	5	9.036212173	2	CH65_d_5_2	3	15	8	7	105349
64	CH65	SI06	d	5	9.036212173	3	CH65_d_5_3	3	16	8	8	100340
65	CH65	SI06	d	5	9.036212173	4	CH65_d_5_4	3	17	9	1	103655
66	CH65	SI06	d	6	9.786212173	1	CH65_d_6_1	3	18	9	2	1361066
67	CH65	SI06	d	6	9.786212173	2	CH65_d_6_2	3	19	9	3	52958
68	CH65	SI06	d	6	9.786212173	3	CH65_d_6_3	3	20	9	4	53424
69	CH65	SI06	d	6	9.786212173	4	CH65_d_6_4	3	21	9	5	51194
70	CH65	SI06	d	7	10.53621217	1	CH65_d_7_1	3	22	9	6	1402692
71	CH65	SI06	d	7	10.53621217	2	CH65_d_7_2	3	23	9	7	18519
72	CH65	SI06	d	7	10.53621217	3	CH65_d_7_3	3	24	9	8	19268
73	CH65	SI06	d	7	10.53621217	4	CH65_d_7_4	4	1	10	1	20011
74	CH65	SI06	d	8	11.28621217	1	CH65_d_8_1	4	2	10	2	950952
75	CH65	SI06	d	8	11.28621217	2	CH65_d_8_2	4	3	10	3	1487
76	CH65	SI06	d	8	11.28621217	3	CH65_d_8_3	4	4	10	4	1624
77	CH65	SI06	d	8	11.28621217	4	CH65_d_8_4	4	5	10	5	1610
78	CH65	SI06	d	9	12.03621217	1	CH65_d_9_1	4	6	10	6	905347
79	CH65	SI06	d	9	12.03621217	2	CH65_d_9_2	4	7	10	7	126
80	CH65	SI06	d	9	12.03621217	3	CH65_d_9_3	4	8	10	8	120
81	CH65	SI06	d	9	12.03621217	4	CH65_d_9_4	4	9	1	1	282
82	CH65	SI06	d	0	0	1	CH65_d_0_1	4	10	1	2	1354438
83	CH65	SI06	d	0	0	2	CH65_d_0_2	4	11	1	3	310
84	CH65	SI06	d	0	0	3	CH65_d_0_3	4	12	1	4	241
85	CH65	SI06	d	0	0	4	CH65_d_0_4	4	13	1	5	292
86	CH65	SI06	d	F	NaN	1	CH65_d_F_1	4	14	1	6	427381
87	CH65	SI06	d	F	NaN	2	CH65_d_F_2	4	15	1	7	431298
88	CH65	SI06	d	F	NaN	3	CH65_d_F_3	4	16	1	8	403450
89	CH65	SI06	d	F	NaN	4	CH65_d_F_4	4	17	2	1	367374
90	CH65	SI06	d	unsorted	NaN	1	CH65_d_unsorted	4	18	2	2	0
1	CH65	SI06	e	1	6.036212173	1	CH65_e_1_1	4	19	2	3	162170
2	CH65	SI06	e	1	6.036212173	2	CH65_e_1_2	4	20	2	4	464444
3	CH65	SI06	e	1	6.036212173	3	CH65_e_1_3	4	21	2	5	485946
4	CH65	SI06	e	1	6.036212173	4	CH65_e_1_4	4	22	2	6	499122
5	CH65	SI06	e	2	6.786212173	1	CH65_e_2_1	4	23	2	7	613087
6	CH65	SI06	e	2	6.786212173	2	CH65_e_2_2	4	24	2	8	334057
7	CH65	SI06	e	2	6.786212173	3	CH65_e_2_3	5	1	3	1	347378
8	CH65	SI06	e	2	6.786212173	4	CH65_e_2_4	5	2	3	2	324116
9	CH65	SI06	e	3	7.536212173	1	CH65_e_3_1	5	3	3	3	946127
10	CH65	SI06	e	3	7.536212173	2	CH65_e_3_2	5	4	3	4	212095
11	CH65	SI06	e	3	7.536212173	3	CH65_e_3_3	5	5	3	5	227006
12	CH65	SI06	e	3	7.536212173	4	CH65_e_3_4	5	6	3	6	252306
13	CH65	SI06	e	4	8.286212173	1	CH65_e_4_1	5	7	3	7	1143534
14	CH65	SI06	e	4	8.286212173	2	CH65_e_4_2	5	8	3	8	167828
15	CH65	SI06	e	4	8.286212173	3	CH65_e_4_3	5	9	4	1	169448
16	CH65	SI06	e	4	8.286212173	4	CH65_e_4_4	5	10	4	2	176360
17	CH65	SI06	e	5	9.036212173	1	CH65_e_5_1	5	11	4	3	1268979
18	CH65	SI06	e	5	9.036212173	2	CH65_e_5_2	5	12	4	4	135698
19	CH65	SI06	e	5	9.036212173	3	CH65_e_5_3	5	13	4	5	136503
20	CH65	SI06	e	5	9.036212173	4	CH65_e_5_4	5	14	4	6	125764
21	CH65	SI06	e	6	9.786212173	1	CH65_e_6_1	5	15	4	7	1320387
22	CH65	SI06	e	6	9.786212173	2	CH65_e_6_2	5	16	4	8	52075
23	CH65	SI06	e	6	9.786212173	3	CH65_e_6_3	5	17	5	1	58276
24	CH65	SI06	e	6	9.786212173	4	CH65_e_6_4	5	18	5	2	63744
25	CH65	SI06	e	7	10.53621217	1	CH65_e_7_1	5	19	5	3	1315805
26	CH65	SI06	e	7	10.53621217	2	CH65_e_7_2	5	20	5	4	19303
27	CH65	SI06	e	7	10.53621217	3	CH65_e_7_3	5	21	5	5	18335
28	CH65	SI06	e	7	10.53621217	4	CH65_e_7_4	5	22	5	6	15616
29	CH65	SI06	e	8	11.28621217	1	CH65_e_8_1	5	23	5	7	1187022
30	CH65	SI06	e	8	11.28621217	2	CH65_e_8_2	5	24	5	8	3441
31	CH65	SI06	e	8	11.28621217	3	CH65_e_8_3	6	1	6	1	3271
32	CH65	SI06	e	8	11.28621217	4	CH65_e_8_4	6	2	6	2	4402
33	CH65	SI06	e	9	12.03621217	1	CH65_e_9_1	6	3	6	3	1186898
34	CH65	SI06	e	9	12.03621217	2	CH65_e_9_2	6	4	6	4	1840
35	CH65	SI06	e	9	12.03621217	3	CH65_e_9_3	6	5	6	5	1602
36	CH65	SI06	e	9	12.03621217	4	CH65_e_9_4	6	6	6	6	728
37	CH65	SI06	e	0	0	1	CH65_e_0_1	6	7	6	7	1197721
38	CH65	SI06	e	0	0	2	CH65_e_0_2	6	8	6	8	1437
39	CH65	SI06	e	0	0	3	CH65_e_0_3	6	9	7	1	1199
40	CH65	SI06	e	0	0	4	CH65_e_0_4	6	10	7	2	519
41	CH65	SI06	e	F	NaN	1	CH65_e_F_1	6	11	7	3	447270
42	CH65	SI06	e	F	NaN	2	CH65_e_F_2	6	12	7	4	453620
43	CH65	SI06	e	F	NaN	3	CH65_e_F_3	6	13	7	5	407321
44	CH65	SI06	e	F	NaN	4	CH65_e_F_4	6	14	7	6	335744
45	CH65	SI06	e	unsorted	NaN	1	CH65_e_unsorted	6	15	7	7	0
46	CH65	G189E	g	1	5.975514332	1	CH65_g_1_1	6	16	7	8	246832
47	CH65	G189E	g	1	5.975514332	2	CH65_g_1_2	6	17	8	1	450748
48	CH65	G189E	g	1	5.975514332	3	CH65_g_1_3	6	18	8	2	436947
49	CH65	G189E	g	1	5.975514332	4	CH65_g_1_4	6	19	8	3	411142
50	CH65	G189E	g	2	6.725514332	1	CH65_g_2_1	6	20	8	4	345633
51	CH65	G189E	g	2	6.725514332	2	CH65_g_2_2	6	21	8	5	416946
52	CH65	G189E	g	2	6.725514332	3	CH65_g_2_3	6	22	8	6	436037
53	CH65	G189E	g	2	6.725514332	4	CH65_g_2_4	6	23	8	7	410771
54	CH65	G189E	g	3	7.475514332	1	CH65_g_3_1	6	24	8	8	419042
55	CH65	G189E	g	3	7.475514332	2	CH65_g_3_2	7	1	9	1	394716
56	CH65	G189E	g	3	7.475514332	3	CH65_g_3_3	7	2	9	2	390503
57	CH65	G189E	g	3	7.475514332	4	CH65_g_3_4	7	3	9	3	406856
