sample_id	construct	solute	replicate	concentration	concentration_float	bin	sample_name	P5	P7	col_i	row_i	cell count
412	Omi-32	BA4	a	1	0	1	Omi32_a_1_1	1	1	1	1	387896
413	Omi-32	BA4	a	1	0	2	Omi32_a_1_2	2	2	2	1	15
414	Omi-32	BA4	a	2	6	1	Omi32_a_2_1	3	3	3	1	3786
415	Omi-32	BA4	a	2	6	2	Omi32_a_2_2	6	4	6	1	71412
416	Omi-32	BA4	a	2	6	3	Omi32_a_2_3	7	5	7	1	64230
417	Omi-32	BA4	a	2	6	4	Omi32_a_2_4	1	2	1	2	56554
418	Omi-32	BA4	a	3	7	1	Omi32_a_3_1	2	3	2	2	10470
419	Omi-32	BA4	a	3	7	2	Omi32_a_3_2	3	1	3	2	185058
420	Omi-32	BA4	a	3	7	3	Omi32_a_3_3	6	5	6	2	182375
421	Omi-32	BA4	a	3	7	4	Omi32_a_3_4	7	4	7	2	109631
422	Omi-32	BA4	a	4	8	1	Omi32_a_4_1	1	3	1	3	17588
423	Omi-32	BA4	a	4	8	2	Omi32_a_4_2	2	4	2	3	102192
424	Omi-32	BA4	a	4	8	3	Omi32_a_4_3	3	2	3	3	100130
425	Omi-32	BA4	a	4	8	4	Omi32_a_4_4	6	1	6	3	71866
426	Omi-32	BA4	a	5	9	1	Omi32_a_5_1	7	6	7	3	34596
427	Omi-32	BA4	a	5	9	2	Omi32_a_5_2	1	4	1	4	43165
428	Omi-32	BA4	a	5	9	3	Omi32_a_5_3	2	5	2	4	39514
429	Omi-32	BA4	a	5	9	4	Omi32_a_5_4	3	6	3	4	40869
430	Omi-32	BA4	a	6	10	1	Omi32_a_6_1	6	2	6	4	85589
431	Omi-32	BA4	a	6	10	2	Omi32_a_6_2	7	1	7	4	8839
432	Omi-32	BA4	a	6	10	3	Omi32_a_6_3	1	5	1	5	8859
433	Omi-32	BA4	a	6	10	4	Omi32_a_6_4	2	6	2	5	8276
434	Omi-32	BA4	a	7	11	1	Omi32_a_7_1	3	4	3	5	142726
435	Omi-32	BA4	a	7	11	2	Omi32_a_7_2	6	3	6	5	1746
436	Omi-32	BA4	a	F	NaN	1	Omi32_a_8_1	7	2	7	5	102337
437	Omi-32	BA4	a	F	NaN	2	Omi32_a_8_2	1	6	1	6	108655
438	Omi-32	BA4	a	F	NaN	3	Omi32_a_8_3	2	1	2	6	85970
439	Omi-32	BA4	a	F	NaN	4	Omi32_a_8_4	3	5	3	6	101197
