shortname,antigen,KD_titeseq,KD_titeseq_err,isogenic_rep1,isogenic_rep2,KD,KD_err
germline,MA90,8.542520677,0.070200491,7.71,7.75,7.73,0.02
somatic,MA90,10.10533033,0.020568366,10.01,10.11,10.06,0.05
germline,SI06,6,0,6,6,6,0
somatic,SI06,9.158028021,0.007895572,9.21,9.42,9.315,0.105
germline,G189E,6,0,6,6,6,0
somatic,G189E,9.583173004,0.128268829,9.65,9.52,9.585,0.065
"""0010000000100000""",SI06,6.659770498,0.111397575,6.55,6.53,6.54,0.01
"""0000001111100000""",SI06,7.560456844,0.149118075,7.61,7.49,7.55,0.06
"""0110010010111110""",SI06,7.288386332,0.043557155,7.14,7.1,7.12,0.02
i2,MA90,9.028739215,0.032177111,8.95,8.9,8.925,0.025
