sample_name	sample_id	construct	replicate	concentration	bin	mean_log10_PEs	std_log10_PEs	mean_log10_FITCs	std_log10_FITCs
CH65_a_1_1	1	CH65	a	1	1	2.330474637194325	0.1129955632364785	3.492445051859967	0.24086179212964096
CH65_a_1_2	2	CH65	a	1	2	4.081309652667985	0.17927072386750684	3.5132666230494825	0.19654827007039108
CH65_a_1_3	3	CH65	a	1	3	4.408687663070672	0.0707683359879118	3.835402903721688	0.13893987763405308
CH65_a_1_4	4	CH65	a	1	4	4.706703959266148	0.1324149839552391	4.147371514098393	0.15814874086142425
CH65_a_2_1	5	CH65	a	2	1	2.240987699483895	0.1756251891307368	3.5693202326613815	0.2938463047769862
CH65_a_2_2	6	CH65	a	2	2	4.04668454201864	0.17466438760219485	3.4978117815775462	0.1968625874231418
CH65_a_2_3	7	CH65	a	2	3	4.370922276982409	0.07075797171154556	3.8162462513814526	0.13914238465803125
CH65_a_2_4	8	CH65	a	2	4	4.669991847258976	0.13148307455834155	4.134817049404318	0.15671252932205282
CH65_a_3_1	9	CH65	a	3	1	1.988618341324105	0.4881189549511256	3.4827950604635878	0.2507933239983827
CH65_a_3_2	10	CH65	a	3	2	4.006543280012136	0.1801993241729156	3.423089907971079	0.18010316637394505
CH65_a_3_3	11	CH65	a	3	3	4.338998229455125	0.07575048106609261	3.71603885967092	0.14651217873259073
CH65_a_3_4	12	CH65	a	3	4	4.730974628535373	0.22385522407423378	4.004917301487342	0.19877727750525898
CH65_a_4_1	13	CH65	a	4	1	2.1897673156001316	0.17588241141140912	3.555011007318276	0.30331620859307196
CH65_a_4_2	14	CH65	a	4	2	3.8864018217415777	0.22764401673009527	3.535726503959857	0.24201575473420028
CH65_a_4_3	15	CH65	a	4	3	4.26123309373225	0.07642601497768099	3.8049113345714614	0.1751162292677051
CH65_a_4_4	16	CH65	a	4	4	4.578067440193995	0.1448639207448198	4.118975705563392	0.17969159121776945
CH65_a_5_1	17	CH65	a	5	1	2.2660159367884716	0.18206139676833868	3.4571514835020856	0.25987957442168863
CH65_a_5_2	18	CH65	a	5	2	3.6715434179193602	0.289994146047303	3.596760245709727	0.2933709480368254
CH65_a_5_3	19	CH65	a	5	3	4.1319850432168925	0.08200120712114747	3.7884844668669038	0.21825806019990368
CH65_a_5_4	20	CH65	a	5	4	4.463176604944044	0.1469377901337868	4.077603271870299	0.19977145124291232
CH65_a_6_1	21	CH65	a	6	1	2.3496641543857253	0.14389586637035093	3.5732772851635493	0.2839481710102143
CH65_a_6_2	22	CH65	a	6	2	3.288085721407959	0.2893853262263099	3.6928901962710614	0.3232320357144714
CH65_a_6_3	23	CH65	a	6	3	3.862805647658419	0.10650760199610633	3.7724967588684395	0.28444869937987816
CH65_a_6_4	24	CH65	a	6	4	4.261949424125064	0.15989048295747477	4.032065634519964	0.2187494558876397
CH65_a_7_1	25	CH65	a	7	1	2.3383437339281956	0.15811354613427844	3.687693953369506	0.30954774581213135
CH65_a_7_2	26	CH65	a	7	2	2.872292002702814	0.1616343041335019	3.7670316836868376	0.3333555558156565
CH65_a_7_3	27	CH65	a	7	3	3.3370219161854235	0.11659349765407194	3.803213693329579	0.30654657347363
CH65_a_7_4	28	CH65	a	7	4	3.8011097980303163	0.19083091858865442	3.9914507218801263	0.25116425679244936
CH65_a_8_1	29	CH65	a	8	1	2.314583192828111	0.15497606378687617	3.7366949068710187	0.32596258184075055
CH65_a_8_2	30	CH65	a	8	2	2.686339439319374	0.06953932012464746	3.774867841949226	0.31834000359438774
CH65_a_8_3	31	CH65	a	8	3	2.942528863367579	0.0797084654102412	3.8476595010971684	0.27606072387371117
CH65_a_8_4	32	CH65	a	8	4	3.3148720817830073	0.18312991321994845	4.028573667879879	0.2277581821708377
CH65_a_9_1	33	CH65	a	9	1	2.26530161630617	0.154506450369431	3.77312558010491	0.31259258220936265
CH65_a_9_2	34	CH65	a	9	2	2.601811867052055	0.02201116913186327	3.929295850628131	0.2417152385133023
CH65_a_9_3	35	CH65	a	9	3	2.696320934084475	0.034426040939524	3.9961919436595146	0.23189607524993178
CH65_a_9_4	36	CH65	a	9	4	2.912639114299448	0.14754843824073088	4.137817618405935	0.20741286051077268
CH65_a_0_1	37	CH65	a	0	1	2.123596015259343	0.12913943321950255	3.784002973144298	0.3131590166950083
