sample	fastq_file	total_reads_considered	reads_matching_pattern	fraction_of_fastq_accepted
CH65_a_1_1	results_CH65/grouped_fastq/CH65_a_1_1_R1.fastq.gz	1079903	1015873	0.9407076376304168
CH65_a_1_2	results_CH65/grouped_fastq/CH65_a_1_2_R1.fastq.gz	11822452	11214275	0.948557456608832
CH65_a_1_3	results_CH65/grouped_fastq/CH65_a_1_3_R1.fastq.gz	16463768	15399098	0.93533254355868
CH65_a_1_4	results_CH65/grouped_fastq/CH65_a_1_4_R1.fastq.gz	12591005	11787578	0.9361903994160912
CH65_a_2_1	results_CH65/grouped_fastq/CH65_a_2_1_R1.fastq.gz	1565799	1371201	0.8757196804953893
CH65_a_2_2	results_CH65/grouped_fastq/CH65_a_2_2_R1.fastq.gz	16823080	15696965	0.9330613062530762
CH65_a_2_3	results_CH65/grouped_fastq/CH65_a_2_3_R1.fastq.gz	17030273	16162398	0.9490392784660586
CH65_a_2_4	results_CH65/grouped_fastq/CH65_a_2_4_R1.fastq.gz	13085998	12450285	0.9514203654929492
CH65_a_3_1	results_CH65/grouped_fastq/CH65_a_3_1_R1.fastq.gz	852809	758474	0.8893832030384294
CH65_a_3_2	results_CH65/grouped_fastq/CH65_a_3_2_R1.fastq.gz	11589608	10958910	0.9455807305993438
CH65_a_3_3	results_CH65/grouped_fastq/CH65_a_3_3_R1.fastq.gz	12003202	11231564	0.935713986984473
CH65_a_3_4	results_CH65/grouped_fastq/CH65_a_3_4_R1.fastq.gz	15249713	13829321	0.9068577880777168
CH65_a_4_1	results_CH65/grouped_fastq/CH65_a_4_1_R1.fastq.gz	1253429	1063225	0.8482530721724166
CH65_a_4_2	results_CH65/grouped_fastq/CH65_a_4_2_R1.fastq.gz	7418760	6894593	0.9293457397193062
CH65_a_4_3	results_CH65/grouped_fastq/CH65_a_4_3_R1.fastq.gz	12415518	11822196	0.9522112569125186
CH65_a_4_4	results_CH65/grouped_fastq/CH65_a_4_4_R1.fastq.gz	15483464	14679346	0.9480660141684056
CH65_a_5_1	results_CH65/grouped_fastq/CH65_a_5_1_R1.fastq.gz	995092	930425	0.9350140489522576
CH65_a_5_2	results_CH65/grouped_fastq/CH65_a_5_2_R1.fastq.gz	15399873	14477492	0.9401046359278418
CH65_a_5_3	results_CH65/grouped_fastq/CH65_a_5_3_R1.fastq.gz	14643855	13702596	0.935723277784436
CH65_a_5_4	results_CH65/grouped_fastq/CH65_a_5_4_R1.fastq.gz	14293176	13358128	0.9345808097514506
CH65_a_6_1	results_CH65/grouped_fastq/CH65_a_6_1_R1.fastq.gz	3374818	2878543	0.8529476256201075
CH65_a_6_2	results_CH65/grouped_fastq/CH65_a_6_2_R1.fastq.gz	16376928	15015376	0.9168615750157784
CH65_a_6_3	results_CH65/grouped_fastq/CH65_a_6_3_R1.fastq.gz	15189136	14361956	0.9455413395468972
