sample	unmatched_reads	reads_with_err_in_mutation	reads_with_indels	reads_with_one_sub	reads_with_two_or_more_sub	reads_with_no_err	total_accepted	fraction_of_geno_accepted
CH65_a_1_1	535182	51129	995	27424	11774	153353	193546	0.2481813973587465
CH65_a_1_2	781937	2188407	42251	1157392	586329	5976826	7762798	0.7232549424949376
CH65_a_1_3	986933	2900100	59668	1423868	755314	8639004	10877854	0.7367380461496251
CH65_a_1_4	654087	2079172	44631	1119047	619193	6735654	8518525	0.7570821658147722
CH65_a_2_1	567690	113996	796	27823	34375	81366	144360	0.1747602433762768
CH65_a_2_2	1008851	2490424	61049	1520497	811429	9324613	11717588	0.770039659291143
CH65_a_2_3	1027139	2679713	60747	1490980	768905	9577131	11897763	0.7624515567990623
CH65_a_2_4	755780	2382867	45825	1205838	610291	7020879	8882833	0.7389134282966823
CH65_a_3_1	109449	74123	716	18075	12820	73003	104614	0.3630086124933203
CH65_a_3_2	681137	1999582	42230	1018018	495068	6490227	8045543	0.7500789184526725
CH65_a_3_3	717879	2228949	44370	1071549	575326	6341275	8032520	0.7316026416140557
CH65_a_3_4	1443652	2975159	47770	1498353	921274	6611206	9078603	0.6726179548171227
CH65_a_4_1	283029	88044	892	25096	31904	73388	131280	0.26133018017211
CH65_a_4_2	490742	1593474	23225	800295	517893	3315642	4657055	0.6908274418874423
CH65_a_4_3	733711	2109313	43517	1148134	611771	6954655	8758077	0.7549349841881386
CH65_a_4_4	819863	2524785	57089	1340363	622444	9047350	11067246	0.7679244657225484
CH65_a_5_1	356341	56113	3958	26703	12529	141302	184492	0.3090597809517109
CH65_a_5_2	903474	2447612	65562	1254110	585349	8589643	10494664	0.7579700630157269
CH65_a_5_3	826514	2674399	59518	1276434	700634	7653501	9690087	0.7345983625199
CH65_a_5_4	916843	2674570	57975	1379210	815156	6888335	9140676	0.7179242934918221
CH65_a_6_1	607980	335910	4840	127350	154551	444881	731622	0.436655780442038
CH65_a_6_2	883933	2598677	61601	1356647	770020	8044686	10232954	0.7460833546473189
CH65_a_6_3	943703	2512651	62800	1390345	746203	8439627	10638975	0.7547872774023224
CH65_a_6_4	938282	2775570	60636	1404282	721347	7913309	10099574	0.7311418615483226
CH65_a_7_1	1167983	1501632	30238	733131	411161	3730498	4905028	0.6475589674655294
CH65_a_7_2	707151	2193330	39303	1013935	569969	5263590	6886797	0.7036478375294949
CH65_a_7_3	1122272	3103972	55562	1373889	837944	6640711	8908106	0.6782296801897315
CH65_a_7_4	786066	2386258	54006	1236425	759380	6940842	8990653	0.7391819453411775
CH65_a_8_1	4047833	3857567	56223	1569694	2089003	5950490	9665410	0.5500833484625922
CH65_a_8_2	621225	1714795	33843	909333	570303	4489399	6002878	0.71986466317252
CH65_a_8_3	688668	1837845	45512	987529	565750	5876810	7475601	0.7474020991962299
CH65_a_8_4	488182	1498704	29529	706737	398676	3745979	4880921	0.7106957140758323
CH65_a_9_1	1459945	3851205	44617	1611216	1167259	6206569	9029661	0.6296478630113737
CH65_a_9_2	98907	300502	5306	141969	75372	885575	1108222	0.7350750946352257
CH65_a_9_3	223586	613108	8742	264101	162203	1202520	1637566	0.6618407119704477
CH65_a_9_4	152255	439810	7846	218586	137173	1200277	1563882	0.7253805404307249
CH65_a_0_1	4103985	4723496	46367	1801288	2487229	5897228	10232112	0.536848399648408
CH65_a_0_2	20263	60332	634	23923	17325	115192	157074	0.660893932317635
CH65_a_0_3	109492	238053	2653	104960	64282	440291	612186	0.6378724871865137
CH65_a_0_4	63196	152640	2326	63652	34018	397012	497008	0.6972184657512723
CH65_a_F_1	6783556	1084496	357726	456361	247445	2557499	3619031	0.3150522199587136
CH65_a_F_2	1332929	1990072	99940	1003330	501869	6529925	8135064	0.7099858483958679
CH65_a_F_3	857460	2409771	45806	1061509	635449	5213032	6955796	0.6804047372661737
CH65_a_F_4	772697	1910867	37154	900197	559038	4451153	5947542	0.6890822566656
CH65_a_unsorted	8888756	7963902	204398	3257325	4282198	11922390	19666311	0.5385231713414472
CH65_b_1_1	495674	33430	1036	15614	8226	65341	90217	0.1456708233694643
CH65_b_1_2	293798	926249	15274	462410	253717	2305551	3036952	0.7134020938224321
CH65_b_1_3	499254	1620047	19848	648131	431644	2458667	3558290	0.6267253136057176
CH65_b_1_4	312949	1170918	15161	564100	371857	1913537	2864655	0.658765208040801
CH65_b_2_1	320483	42275	735	16362	20641	54006	91744	0.2018560974429155
CH65_b_2_2	400370	1057395	15210	546961	357973	1974605	2894749	0.6650751726473482
CH65_b_2_3	291812	931377	15631	486598	281632	2375085	3158946	0.7208691653725866
CH65_b_2_4	278125	1050158	15291	517167	296106	2264656	3093220	0.6995856386391687
CH65_b_3_1	53756	16281	149	4744	3504	18124	26521	0.2746639325586694
CH65_b_3_2	254876	899394	13303	388208	210140	2119172	2730823	0.7028977169915881
CH65_b_3_3	298621	1131826	15993	474138	286370	2246314	3022815	0.6787866961342045
CH65_b_3_4	273860	1043467	14809	475439	301198	2057268	2848714	0.683794038512823
CH65_b_4_1	77652	18460	132	4390	6268	9888	20678	0.1770528298655707
CH65_b_4_2	135962	529520	5681	224705	168457	769049	1167892	0.6370178697854338
CH65_b_4_3	424401	1235439	14311	548887	368825	2129656	3061679	0.6484521189049541
CH65_b_4_4	306040	1123267	15194	535033	300217	2356133	3206577	0.6916862026746139
CH65_b_5_1	140883	29694	606	10852	6322	36610	54390	0.2417687927562709
CH65_b_5_2	406522	1230465	18504	521246	296094	2038685	2874529	0.6371536751726027
CH65_b_5_3	384964	1449451	19033	555979	381772	2026352	2983136	0.6192225053766945
CH65_b_5_4	354741	1263293	16497	539537	366555	1751686	2674275	0.6230387886799389
CH65_b_6_1	198668	139970	1628	48630	63420	146342	260020	0.4343381362981869
CH65_b_6_2	314948	1130145	18836	511422	325254	2466606	3322118	0.6968682527372924
