Params: 	576
Performance: 	0.9334146486539509
Term	Coefficient	Standard Error	p-value	95% CI lower	95% CI upper
Intercept	5.784587281631426
1	-0.02948539813446885	0.028074099000526695	0.29360185829969965	-0.1396847476034817	0.08071395133454402
2	0.1042010650205778	0.028150178910389297	0.00021460003296732753	-0.006296921158890592	0.21469905120004618
3	1.3804865709819971	0.028140694974906334	0.0	1.2700258121244317	1.4909473298395626
4	-0.04223367600249986	0.028024598710219104	0.1318151935739915	-0.15223872182563897	0.06777136982063924
5	-0.30174993404928263	0.028204126399729863	1.1465622055770802e-26	-0.41245968047903386	-0.1910401876195314
6	0.01885058552865798	0.02811218119505703	0.5025130355308202	-0.09149824809881414	0.1291994191561301
7	0.12220080988383836	0.028075561921306644	1.3497727486549069e-05	0.011995718007267828	0.23240590176040887
8	0.5356768618894754	0.028160104385383383	3.1457283425678062e-80	0.42513991521166655	0.6462138085672842
9	0.14454758517552713	0.0280742080186605	2.637855727707447e-07	0.03434780777728934	0.2547473625737649
10	0.2596734884029396	0.028175432907683026	3.2612087727732234e-20	0.14907637262813817	0.370270604177741
11	0.17064373250726078	0.02810443536788524	1.279581370345068e-09	0.06032530359964858	0.28096216141487296
12	0.05777367422137458	0.028068153476828263	0.0395661934906516	-0.05240233726468797	0.16794968570743712
13	0.06889907709466847	0.028085273557362418	0.014164166233685724	-0.041344135897582596	0.17914229008691954
14	-0.06841522499691755	0.028137583341006515	0.015043943409637554	-0.178863769748109	0.04203331975427391
15	0.0848914744104334	0.028095175243090326	0.002516721921045837	-0.025390605700076452	0.19517355452094326
1,2	0.3833243202378477	0.020463956363976035	7.278838201332298e-78	0.30299708769406714	0.46365155278162823
1,3	0.0858972755414146	0.02044424315328044	2.6583989609337635e-05	0.005647423325834761	0.16614712775699444
1,4	-0.11776402879184679	0.020417940913379812	8.112748936623409e-09	-0.19791063674207826	-0.03761742084161533
1,5	0.2661651175456804	0.020468211643281296	1.4644755103079466e-38	0.18582118174060408	0.3465090533507567
1,6	0.014801341945099966	0.02044669649604086	0.46913318195383125	-0.06545814038456538	0.09506082427476531
1,7	-0.046936123955932885	0.020428890671480196	0.021594732803662146	-0.12712571302621678	0.033253465114351
1,8	0.06420585300370948	0.020436300338620334	0.0016809463384189099	-0.016012821256400425	0.14442452726381938
1,9	-0.025833660979906498	0.02041695980266002	0.20577177673931302	-0.10597641777313106	0.05430909581331807
1,10	0.1677857388502489	0.02045325279762244	2.425685437759368e-16	0.08750052104927959	0.2480709566512182
1,11	0.05202818390654396	0.020444277203088168	0.010936354117998544	-0.028221801964853688	0.1322781697779416
1,12	0.01064210638364449	0.020435474210213113	0.6025332570264419	-0.06957332507201952	0.0908575378393085
1,13	0.022834542056360596	0.020434208611115647	0.26380351133533764	-0.05737592153916918	0.10304500565189037
1,14	0.009767157086506217	0.02045043497856301	0.6329372394699011	-0.07050699992041	0.09004131409342243
1,15	0.011972581281721642	0.02044255764288842	0.5581018906778183	-0.06827065479459331	0.09221581735803659
2,3	-0.02393314650534016	0.02047844677062913	0.24253368935265415	-0.10431725828811901	0.05645096527743869
2,4	-0.29544007321699817	0.020448876453150026	3.6732596539947097e-47	-0.37570811253918873	-0.2151720338948076
2,5	-0.046622904602634074	0.02050066933938518	0.022959863935419423	-0.12709424670473327	0.03384843749946512
2,6	0.04695257192745056	0.02047516898220646	0.021846131878001336	-0.03341867354208103	0.12732381739698215
2,7	0.015066714693801941	0.02045779143599506	0.4614453216960811	-0.06523631863870512	0.095369748026309
2,8	0.223328802293782	0.020462243693422807	1.1059625326141263e-27	0.1430082925011329	0.3036493120864311
2,9	0.07083069893935029	0.02044495955420465	0.000532011478749965	-0.009421965367039847	0.15108336324574043
2,10	0.13690428568964763	0.020482736495651004	2.3658348342336114e-11	0.05650333543569283	0.21730523594360243
2,11	0.10717717489381473	0.02047440932014312	1.66326100431616e-07	0.026808911328179502	0.18754543845944996
2,12	0.023626345708517404	0.020467474456301135	0.24837118011191167	-0.056714696414177534	0.10396738783121234
2,13	0.008218945424336072	0.020464148107000875	0.6879616172440159	-0.07210903976894543	0.08854693061761758
2,14	0.01994205973473831	0.020477629669860803	0.3301404752866799	-0.060438844679814085	0.1003229641492907
2,15	0.0645526944253294	0.020472026905290916	0.0016163531121863293	-0.015806217439762446	0.14491160629042127
3,4	-0.9627127082591485	0.020455295597340363	0.0	-1.043005944668302	-0.8824194718499949
3,5	0.14018520777362764	0.020485938527514572	7.897860850749523e-12	0.059771688573886275	0.22059872697336902
3,6	0.04233441540012067	0.020458694715557047	0.03852960981585022	-0.03797216357850375	0.1226409943787451
3,7	-0.06292156473307095	0.020439311720686387	0.002082544492452225	-0.14315205958071514	0.01730893011457324
3,8	0.10300025188179965	0.020450614314622268	4.7665976286017855e-07	0.022725390926483638	0.18327511283711567
3,9	0.012596381624518427	0.020428029425830906	0.5374882587497403	-0.06758982679549835	0.09278259004453521
3,10	-0.07406219313717047	0.020475738344152818	0.0002984236484996724	-0.15443567352494822	0.006311287250607284
3,11	0.10900658184715628	0.020453919828247652	9.923202438495995e-08	0.028718745748767247	0.1892944179455453
3,12	0.017850438599886248	0.02045097747400322	0.3827567814459911	-0.062425847866094716	0.09812672506586721
3,13	0.0031288908633965162	0.02044716023501004	0.8783809271632848	-0.07713241178230912	0.08339019350910215
3,14	-0.013206943631156876	0.02045916399949608	0.5185904241212151	-0.09351536469150924	0.06710147742919549
3,15	0.22514832334657692	0.020453119667673113	3.9367844332541255e-28	0.14486362812101816	0.3054330185721357
4,5	2.344627693345169	0.020430859896520843	0.0	2.264430374469614	2.4248250122207238
4,6	-0.04142062143246528	0.020429662059304143	0.042622339810795606	-0.12161323843381065	0.0387719955688801
4,7	-0.03207433071101158	0.020414310253694994	0.11615349931545041	-0.11220668722131605	0.048058025799292886
4,8	-0.41311662085319456	0.020430611465945207	2.4404300495173566e-90	-0.4933129645634265	-0.33292027714296263
4,9	-0.14291381493961205	0.020400470481380377	2.5121541207099614e-12	-0.22299184614794187	-0.06283578373128225
4,10	-0.5127378111556908	0.02045006261511652	2.2377357551142305e-137	-0.5930105065231945	-0.4324651157881871
4,11	0.015968680066904578	0.02042799876501297	0.4343935414098653	-0.06421740800010672	0.09615476813391588
4,12	-0.05338383961819271	0.020420844379095384	0.008948368051010194	-0.1335418445515671	0.02677416531518166
