geno	CH65_i_MI_neg_a	CH65_i_MI_pos_a	CH65_i_MI_neg_b	CH65_i_MI_pos_b	CH65_i_MI_neg_c	CH65_i_MI_pos_c	CH65_i_SI_G189D_neg_a	CH65_i_SI_G189D_pos_a	CH65_i_SI_G189D_neg_b	CH65_i_SI_G189D_pos_b	CH65_i_SI_G189D_neg_c	CH65_i_SI_G189D_pos_c	CH65_i_unsorted
0000000000000000	697	4	547	4	256	12	65	2	146	0	91	1	63
0000000000000001	575	2	438	3	232	13	71	0	113	1	106	1	45
0000000000000010	650	7	563	2	374	6	76	0	124	1	97	0	69
0000000000000011	742	6	562	18	337	19	72	1	136	0	116	2	62
0000000000000100	653	6	507	10	479	14	153	1	112	0	89	5	94
0000000000000101	541	8	497	6	424	12	94	0	117	0	91	3	48
0000000000000110	658	3	536	5	475	11	120	0	132	0	116	0	87
0000000000000111	563	5	487	9	356	4	81	0	104	1	80	6	52
0000000000001000	452	4	374	14	231	9	58	0	84	0	66	4	56
0000000000001001	458	4	410	5	423	6	122	0	94	0	69	5	73
0000000000001010	545	1	436	26	225	2	78	0	104	0	98	0	48
0000000000001011	594	2	467	1	290	5	76	2	104	0	96	2	41
0000000000001100	539	1	464	7	369	11	67	0	103	1	101	2	59
0000000000001101	494	1	406	11	337	13	93	1	98	1	71	0	60
0000000000001110	665	8	547	5	416	10	124	0	124	0	98	1	77
0000000000001111	649	8	514	4	231	7	93	1	104	0	92	1	40
0000000000010000	570	12	466	23	302	4	121	0	125	1	84	0	56
0000000000010001	564	9	441	6	276	3	79	2	89	0	95	1	58
0000000000010010	638	1	465	4	325	10	106	0	120	0	79	2	77
0000000000010011	623	5	444	3	331	14	87	0	86	1	94	10	57
0000000000010100	553	0	437	5	316	4	104	1	102	3	102	2	55
0000000000010101	574	5	463	5	291	16	97	2	94	1	99	2	56
0000000000010110	579	1	498	2	487	11	162	0	116	0	99	4	103
0000000000010111	510	4	456	2	291	14	122	0	106	1	74	0	41
0000000000011000	385	5	299	2	254	4	68	0	78	0	61	0	42
