geno,CH65_i_MI_neg_a,CH65_i_MI_pos_a,CH65_i_MI_neg_b,CH65_i_MI_pos_b,CH65_i_MI_neg_c,CH65_i_MI_pos_c,CH65_i_SI_G189D_neg_a,CH65_i_SI_G189D_pos_a,CH65_i_SI_G189D_neg_b,CH65_i_SI_G189D_pos_b,CH65_i_SI_G189D_neg_c,CH65_i_SI_G189D_pos_c,CH65_i_unsorted
0000000000000000,4,79,4,79,4,79,3,81,3,81,3,81,122
0000000000000001,6,103,6,103,6,103,4,100,4,100,4,100,149
0000000000000010,8,209,8,209,8,209,3,122,3,122,3,122,156
0000000000000011,1,245,1,245,1,245,8,297,8,297,8,297,294
0000000000000100,8,260,8,260,8,260,3,109,3,109,3,109,216
0000000000000101,2,152,2,152,2,152,6,140,6,140,6,140,197
0000000000000110,3,335,3,335,3,335,4,171,4,171,4,171,212
0000000000000111,3,249,3,249,3,249,7,239,7,239,7,239,141
0000000000001000,5,71,5,71,5,71,6,58,6,58,6,58,93
0000000000001001,4,116,4,116,4,116,3,111,3,111,3,111,196
0000000000001010,6,114,6,114,6,114,4,102,4,102,4,102,185
0000000000001011,4,292,4,292,4,292,2,198,2,198,2,198,134
0000000000001100,5,176,5,176,5,176,5,86,5,86,5,86,116
0000000000001101,1,143,1,143,1,143,6,96,6,96,6,96,127
0000000000001110,5,185,5,185,5,185,7,127,7,127,7,127,129
0000000000001111,4,252,4,252,4,252,1,175,1,175,1,175,145
0000000000010000,2,190,2,190,2,190,2,172,2,172,2,172,119
0000000000010001,3,146,3,146,3,146,0,190,0,190,0,190,90
0000000000010010,5,291,5,291,5,291,4,174,4,174,4,174,135
0000000000010011,7,367,7,367,7,367,5,384,5,384,5,384,199
0000000000010100,4,206,4,206,4,206,5,209,5,209,5,209,104
0000000000010101,2,286,2,286,2,286,2,263,2,263,2,263,140
0000000000010110,5,173,5,173,5,173,2,198,2,198,2,198,186
0000000000010111,1,276,1,276,1,276,4,286,4,286,4,286,84
0000000000011000,1,138,1,138,1,138,4,158,4,158,4,158,131
0000000000011001,1,170,1,170,1,170,5,206,5,206,5,206,108
0000000000011010,6,166,6,166,6,166,3,195,3,195,3,195,77
0000000000011011,2,287,2,287,2,287,3,284,3,284,3,284,160
0000000000011100,6,182,6,182,6,182,1,189,1,189,1,189,91
0000000000011101,0,185,0,185,0,185,2,215,2,215,2,215,128
0000000000011110,4,163,4,163,4,163,0,208,0,208,0,208,178
0000000000011111,4,271,4,271,4,271,3,294,3,294,3,294,90
0000000000100000,1,87,1,87,1,87,2,111,2,111,2,111,119
0000000000100001,1,73,1,73,1,73,0,110,0,110,0,110,80
0000000000100010,1,139,1,139,1,139,2,182,2,182,2,182,187
0000000000100011,0,183,0,183,0,183,1,251,1,251,1,251,86
0000000000100100,1,120,1,120,1,120,0,111,0,111,0,111,121
0000000000100101,0,126,0,126,0,126,0,133,0,133,0,133,162
0000000000100110,2,128,2,128,2,128,5,162,5,162,5,162,153
0000000000100111,0,205,0,205,0,205,3,247,3,247,3,247,184
0000000000101000,0,47,0,47,0,47,2,73,2,73,2,73,89
0000000000101001,2,111,2,111,2,111,0,86,0,86,0,86,110
0000000000101010,0,90,0,90,0,90,3,115,3,115,3,115,86
0000000000101011,2,322,2,322,2,322,0,170,0,170,0,170,95
0000000000101100,1,93,1,93,1,93,0,77,0,77,0,77,149
0000000000101101,3,98,3,98,3,98,0,99,0,99,0,99,103
0000000000101110,4,86,4,86,4,86,2,121,2,121,2,121,168
0000000000101111,2,104,2,104,2,104,1,169,1,169,1,169,100
0000000000110000,0,325,0,325,0,325,4,176,4,176,4,176,152
0000000000110001,0,135,0,135,0,135,1,194,1,194,1,194,89
0000000000110010,4,148,4,148,4,148,2,221,2,221,2,221,116
0000000000110011,0,226,0,226,0,226,1,285,1,285,1,285,154
0000000000110100,1,149,1,149,1,149,0,189,0,189,0,189,102
0000000000110101,0,299,0,299,0,299,0,218,0,218,0,218,155
0000000000110110,1,291,1,291,1,291,1,173,1,173,1,173,217
0000000000110111,0,207,0,207,0,207,1,331,1,331,1,331,141
0000000000111000,1,110,1,110,1,110,0,116,0,116,0,116,87
0000000000111001,1,169,1,169,1,169,2,172,2,172,2,172,206
0000000000111010,0,257,0,257,0,257,3,191,3,191,3,191,183
0000000000111011,1,118,1,118,1,118,0,266,0,266,0,266,86
0000000000111100,1,81,1,81,1,81,2,108,2,108,2,108,116
0000000000111101,0,181,0,181,0,181,1,161,1,161,1,161,142
0000000000111110,2,176,2,176,2,176,1,201,1,201,1,201,135
0000000000111111,2,322,2,322,2,322,3,280,3,280,3,280,181
0000000001000000,6,45,6,45,6,45,1,40,1,40,1,40,264
0000000001000001,1,108,1,108,1,108,2,54,2,54,2,54,223
0000000001000010,5,164,5,164,5,164,6,100,6,100,6,100,311
0000000001000011,2,159,2,159,2,159,7,195,7,195,7,195,315
0000000001000100,6,41,6,41,6,41,7,40,7,40,7,40,202
0000000001000101,7,30,7,30,7,30,5,56,5,56,5,56,247
0000000001000110,6,62,6,62,6,62,5,110,5,110,5,110,181
0000000001000111,5,223,5,223,5,223,4,192,4,192,4,192,197
0000000001001000,2,46,2,46,2,46,5,16,5,16,5,16,144
0000000001001001,3,43,3,43,3,43,2,40,2,40,2,40,176
0000000001001010,2,91,2,91,2,91,4,83,4,83,4,83,158
0000000001001011,4,141,4,141,4,141,3,144,3,144,3,144,163
0000000001001100,4,34,4,34,4,34,3,26,3,26,3,26,192
0000000001001101,1,50,1,50,1,50,4,29,4,29,4,29,115
0000000001001110,8,141,8,141,8,141,3,71,3,71,3,71,225
0000000001001111,3,112,3,112,3,112,6,126,6,126,6,126,132
0000000001010000,1,420,1,420,1,420,2,131,2,131,2,131,290
0000000001010001,2,107,2,107,2,107,1,131,1,131,1,131,132
0000000001010010,6,214,6,214,6,214,4,192,4,192,4,192,146
0000000001010011,2,337,2,337,2,337,1,304,1,304,1,304,160
0000000001010100,2,84,2,84,2,84,3,123,3,123,3,123,195
0000000001010101,3,110,3,110,3,110,3,175,3,175,3,175,154
0000000001010110,6,177,6,177,6,177,7,182,7,182,7,182,166
0000000001010111,2,283,2,283,2,283,2,298,2,298,2,298,257
0000000001011000,1,86,1,86,1,86,1,81,1,81,1,81,203
0000000001011001,2,82,2,82,2,82,0,122,0,122,0,122,166
0000000001011010,6,273,6,273,6,273,5,162,5,162,5,162,178
0000000001011011,3,225,3,225,3,225,4,225,4,225,4,225,168
0000000001011100,2,166,2,166,2,166,4,104,4,104,4,104,130
0000000001011101,4,112,4,112,4,112,2,118,2,118,2,118,200
0000000001011110,4,167,4,167,4,167,4,140,4,140,4,140,296
0000000001011111,0,167,0,167,0,167,2,233,2,233,2,233,136
0000000001100000,1,36,1,36,1,36,0,39,0,39,0,39,176
0000000001100001,4,40,4,40,4,40,3,36,3,36,3,36,192
0000000001100010,5,89,5,89,5,89,1,82,1,82,1,82,138
